Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
12 - 6,116,Rashid Shaheed,WR,Hall Pass,149.63,8.8,126.4,7.44,17,{9417088B-0880-4F8A-A127-759BF41D4603},75.18,C
9 - 8,88,Jacory Croskey-Merritt,RB,Case Closed ,151.27,8.9,132.9,8.31,16,{1EC10606-80E9-4A6D-A618-E448864CAA58},75.08,C
5 - 9,49,Kenneth Walker III,RB,Natural rack,216.01,12.71,161.1,10.07,16,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007},75.04,C
11 - 8,108,Khalil Shakir,WR,Case Closed ,156.8,9.22,130.4,8.15,16,{1EC10606-80E9-4A6D-A618-E448864CAA58},74.85,C
4 - 10,40,DeVonta Smith,WR,Chicken’s Cougars ,178.91,10.52,156.6,9.79,16,{E25AE41B-82C0-4A03-A531-4082EAFA9887},74.57,C
9 - 5,85,Jakobi Meyers,WR,Hall Pass,175.66,10.33,131.4,8.76,15,{9417088B-0880-4F8A-A127-759BF41D4603},74.37,C
6 - 8,58,DJ Moore,WR,Sacks in the City,193.93,11.41,143.58,8.97,16,{0C1EF165-EE98-44D3-9EF1-65EE9804D340},73.82,C
6 - 4,54,David Montgomery,RB,Jockstrap jubilee ,195.38,11.49,148.92,9.31,16,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B},73.43,C
11 - 1,101,Cam Skattebo,RB,Chicken’s Cougars ,125.35,7.37,115.7,14.46,8,{E25AE41B-82C0-4A03-A531-4082EAFA9887},73.4,C
3 - 5,25,Drake London,WR,Hall Pass,218.72,12.87,152.1,13.83,11,{9417088B-0880-4F8A-A127-759BF41D4603},73.38,C
12 - 9,119,Jordan Addison,WR,Hunks of Hanet ,137.95,9.85,112.8,8.68,13,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE},73.36,C
1 - 4,4,Saquon Barkley,RB,Big Ballsy Bozos,302.19,17.78,213.8,13.36,16,{9B611343-247D-458B-88C3-50BB33789365},73.21,C
13 - 8,128,Jayden Higgins,WR,Case Closed ,133.03,7.83,99.7,6.23,16,{1EC10606-80E9-4A6D-A618-E448864CAA58},73.12,C
