Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
17 - 8,168,Patriots D/ST,D/ST,Brown Munde,103.94,6.11,197.5,11.62,17,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},100.0,A+
2 - 7,17,Travis Kelce,TE,Wakanda Forever,184.29,11.52,261.3,15.37,17,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},100.0,A+
4 - 8,38,Josh Jacobs,RB,Bhambhwani Pawan Dilip,192.39,12.83,303.3,17.84,17,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},97.25,A+
1 - 6,6,Justin Jefferson,WR,Team HebAchi,238.6,14.91,304.66,17.92,17,{49094F84-F849-4173-B052-21E1CDEDB4EF},95.34,A
2 - 10,20,Tyreek Hill,WR,Team CTE,202.82,12.68,291.7,17.16,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},93.94,A
16 - 1,151,Eagles D/ST,D/ST,The Chase Is On,143.55,8.44,177.6,10.45,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},93.88,A
2 - 5,15,Davante Adams,WR,Team HebAchi,205.57,13.7,289.0,17.0,17,{49094F84-F849-4173-B052-21E1CDEDB4EF},92.58,A-
15 - 1,141,49ers D/ST,D/ST,Team CTE,131.71,7.75,178.4,10.49,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},91.61,A-
5 - 6,46,Patrick Mahomes,QB,Team HebAchi,330.12,20.63,396.9,23.35,17,{49094F84-F849-4173-B052-21E1CDEDB4EF},90.53,A-
1 - 4,4,Austin Ekeler,RB,Wakanda Forever,252.5,16.83,320.7,18.86,17,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},90.49,A-
3 - 8,28,A.J. Brown,WR,Brown Munde,184.73,11.55,257.6,15.15,17,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},90.0,A-
3 - 9,29,Nick Chubb,RB,THE BIGMADBLUE,203.45,13.56,268.4,15.79,17,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},89.74,B+
1 - 2,2,Christian McCaffrey,RB,Pain Inflictors,265.76,18.98,313.86,18.46,17,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},89.18,B+
14 - 9,139,Cowboys D/ST,D/ST,Pain Inflictors,126.5,7.44,172.3,10.14,17,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},88.62,B+
2 - 2,12,Stefon Diggs,WR,THE BIGMADBLUE,212.11,13.26,265.1,16.57,16,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},88.37,B+
6 - 9,59,Jalen Hurts,QB,Pain Inflictors,293.43,19.56,345.04,23.0,15,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},88.3,B+
6 - 8,58,T.J. Hockenson,TE,Bhambhwani Pawan Dilip,134.04,8.38,172.4,10.14,17,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},87.8,B+
7 - 5,65,Tony Pollard,RB,Stiff Armed and Dangerous,157.65,10.51,233.8,14.61,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},87.36,B+
11 - 8,108,Joe Burrow,QB,Brown Munde,256.36,16.02,324.7,20.29,16,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},86.81,B
13 - 1,121,Kenneth Walker III,RB,Team CTE,116.96,8.35,192.0,12.8,15,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},86.8,B
4 - 6,36,Josh Allen,QB,Stiff Armed and Dangerous,350.41,21.9,374.52,23.41,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},86.69,B
6 - 5,55,George Kittle,TE,Team HebAchi,138.52,9.89,172.0,11.47,15,{49094F84-F849-4173-B052-21E1CDEDB4EF},86.56,B
12 - 8,118,Daniel Carlson,K,Bhambhwani Pawan Dilip,139.05,8.18,160.0,9.41,17,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},86.45,B
8 - 7,77,Rhamondre Stevenson,RB,Wakanda Forever,162.82,10.85,214.6,12.62,17,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},86.18,B
9 - 5,85,DeVonta Smith,WR,Stiff Armed and Dangerous,160.15,10.01,207.6,12.21,17,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},86.1,B
8 - 5,75,Amari Cooper,WR,Team HebAchi,160.08,10.0,207.5,12.21,17,{49094F84-F849-4173-B052-21E1CDEDB4EF},86.08,B
11 - 10,110,Justin Tucker,K,The Chase Is On,145.21,8.54,162.0,9.53,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},86.06,B
5 - 10,50,Jaylen Waddle,WR,The Chase Is On,175.56,10.97,225.2,13.25,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},86.05,B
3 - 7,27,Saquon Barkley,RB,2 Many Cooks,202.65,14.47,255.5,15.97,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},85.82,B
2 - 6,16,CeeDee Lamb,WR,Stiff Armed and Dangerous,209.43,13.09,248.1,14.59,17,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},85.37,B
1 - 5,5,Derrick Henry,RB,Stiff Armed and Dangerous,251.05,16.74,286.76,17.92,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},85.28,B
17 - 10,170,Evan Engram,TE,The Chase Is On,99.22,6.61,140.4,8.26,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},85.06,B
8 - 10,80,Christian Kirk,WR,Team CTE,159.58,9.97,199.9,11.76,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},84.74,B
8 - 3,73,Miles Sanders,RB,Brown Munde,172.94,12.35,207.2,12.19,17,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},84.66,B
9 - 8,88,Tyler Lockett,WR,Brown Munde,157.77,9.86,195.8,12.24,16,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},84.02,B
5 - 9,49,Amon-Ra St. Brown,WR,THE BIGMADBLUE,169.11,10.57,214.6,13.41,16,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},83.93,B
10 - 8,98,Bills D/ST,D/ST,Bhambhwani Pawan Dilip,167.13,9.83,162.6,10.16,16,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},82.94,B-
8 - 8,78,Brandon Aiyuk,WR,Bhambhwani Pawan Dilip,153.92,9.62,188.8,11.11,17,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},82.79,B-
15 - 3,143,Garrett Wilson,WR,Bhambhwani Pawan Dilip,144.13,9.01,175.7,10.34,17,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},82.37,B-
16 - 6,156,Commanders D/ST,D/ST,Stiff Armed and Dangerous,127.71,7.51,144.8,8.52,17,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},81.72,B-
14 - 10,140,Trevor Lawrence,QB,Team CTE,233.02,14.56,271.62,15.98,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},81.67,B-
14 - 7,137,Raheem Mostert,RB,Wakanda Forever,124.18,9.55,152.8,9.55,16,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},81.3,B-
15 - 10,150,Justin Fields,QB,The Chase Is On,214.16,13.39,252.48,16.83,15,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},81.27,B-
17 - 3,163,Graham Gano,K,Bhambhwani Pawan Dilip,132.88,7.82,140.0,8.24,17,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},81.03,B-
13 - 7,127,Nick Folk,K,2 Many Cooks,142.02,8.35,139.0,8.18,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},79.81,C+
5 - 4,44,Travis Etienne Jr.,RB,Wakanda Forever,178.62,11.91,189.1,11.12,17,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},79.72,C+
15 - 8,148,Tyler Bass,K,Brown Munde,128.43,7.55,136.0,8.5,16,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},79.45,C+
3 - 1,21,Mark Andrews,TE,Team CTE,194.31,12.14,154.0,10.27,15,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},79.33,C+
7 - 1,61,DK Metcalf,WR,Team CTE,176.02,11.0,183.3,10.78,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},78.92,C+
12 - 7,117,Ravens D/ST,D/ST,Wakanda Forever,141.45,8.32,147.5,8.68,17,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},78.78,C+
4 - 10,40,Terry McLaurin,WR,Team CTE,183.65,11.48,191.0,11.24,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},78.78,C+
9 - 7,87,AJ Dillon,RB,2 Many Cooks,153.14,10.21,153.6,9.04,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},78.78,C+
10 - 7,97,Tom Brady,QB,Wakanda Forever,286.15,17.88,255.66,15.04,17,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},78.71,C+
13 - 10,130,Kirk Cousins,QB,The Chase Is On,242.61,15.16,249.58,14.68,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},78.42,C+
9 - 3,83,Cole Kmet,TE,Bhambhwani Pawan Dilip,116.07,7.25,123.8,7.28,17,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},77.75,C+
15 - 5,145,Tua Tagovailoa,QB,Stiff Armed and Dangerous,244.83,15.3,227.92,17.53,13,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},77.72,C+
9 - 9,89,Cordarrelle Patterson,RB,THE BIGMADBLUE,145.98,10.43,144.2,11.09,13,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},77.47,C+
2 - 8,18,Aaron Jones,RB,Bhambhwani Pawan Dilip,213.8,15.27,219.1,12.89,17,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},77.47,C+
3 - 4,24,Mike Evans,WR,Wakanda Forever,186.77,11.67,189.9,12.66,15,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},77.41,C+
7 - 6,66,Chris Godwin,WR,Team HebAchi,160.96,11.5,170.8,11.39,15,{49094F84-F849-4173-B052-21E1CDEDB4EF},77.3,C+
3 - 5,25,Tee Higgins,WR,Stiff Armed and Dangerous,197.63,12.35,185.9,11.62,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},77.29,C+
1 - 10,10,Ja'Marr Chase,WR,The Chase Is On,234.67,14.67,199.9,16.66,12,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},76.87,C
17 - 2,162,Greg Joseph,K,Pain Inflictors,133.61,7.86,128.0,7.53,17,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},76.85,C
14 - 6,136,Tyler Higbee,TE,Stiff Armed and Dangerous,104.21,6.95,116.0,6.82,17,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},76.38,C
7 - 10,70,Devin Singletary,RB,The Chase Is On,174.0,11.6,158.9,9.93,16,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},76.37,C
16 - 10,160,Brandon McManus,K,Team CTE,139.58,8.21,127.0,7.47,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},76.31,C
11 - 9,109,Pat Freiermuth,TE,THE BIGMADBLUE,112.46,7.03,116.7,7.29,16,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},76.18,C
15 - 9,149,David Njoku,TE,THE BIGMADBLUE,108.06,6.75,113.0,8.07,14,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},76.15,C
9 - 4,84,Antonio Gibson,RB,Wakanda Forever,167.74,11.18,142.9,9.53,15,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},76.1,C
12 - 5,115,Matt Gay,K,Team HebAchi,147.47,8.67,132.0,7.76,17,{49094F84-F849-4173-B052-21E1CDEDB4EF},76.02,C
14 - 2,132,George Pickens,WR,THE BIGMADBLUE,119.15,7.45,140.5,8.26,17,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},75.66,C
2 - 3,13,Joe Mixon,RB,Brown Munde,238.7,15.91,209.5,14.96,14,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},75.64,C
10 - 9,99,Dallas Goedert,TE,Pain Inflictors,121.75,8.12,113.7,9.47,12,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},75.52,C
4 - 9,39,Jerry Jeudy,WR,Pain Inflictors,176.94,11.06,172.2,11.48,15,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},75.47,C
4 - 5,35,David Montgomery,RB,Team HebAchi,197.54,13.17,160.7,10.04,16,{49094F84-F849-4173-B052-21E1CDEDB4EF},75.36,C
13 - 6,126,Tyler Boyd,WR,Team HebAchi,135.12,8.45,140.12,8.76,16,{49094F84-F849-4173-B052-21E1CDEDB4EF},75.35,C
1 - 7,7,Dalvin Cook,RB,2 Many Cooks,236.72,16.91,221.8,13.05,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},75.31,C
10 - 4,94,Allen Lazard,WR,2 Many Cooks,144.93,10.35,144.8,9.65,15,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},75.02,C
6 - 2,52,Justin Herbert,QB,THE BIGMADBLUE,304.57,19.04,245.26,14.43,17,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},74.98,C
7 - 2,62,Dalton Schultz,TE,Pain Inflictors,139.11,8.69,114.2,7.61,15,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},74.98,C
7 - 8,68,Gabe Davis,WR,Brown Munde,176.3,11.02,150.6,10.04,15,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},74.77,C
10 - 1,91,Drake London,WR,The Chase Is On,156.15,10.41,142.6,8.39,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},74.64,C
8 - 1,71,Adam Thielen,WR,The Chase Is On,155.62,10.37,145.0,8.53,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},74.58,C
8 - 4,74,Dawson Knox,TE,2 Many Cooks,121.82,8.12,111.7,7.45,15,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},74.53,C
6 - 4,54,Dameon Pierce,RB,2 Many Cooks,168.19,11.21,152.9,11.76,13,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},74.51,C
7 - 3,63,Lamar Jackson,QB,Bhambhwani Pawan Dilip,283.65,17.73,217.58,16.74,13,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},74.46,C
4 - 4,34,Michael Pittman Jr.,WR,2 Many Cooks,192.53,12.03,167.0,10.44,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},74.16,C
13 - 2,122,Brian Robinson Jr.,RB,Pain Inflictors,96.9,8.81,108.2,9.02,12,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},73.94,C
1 - 8,8,Najee Harris,RB,Brown Munde,236.58,15.77,202.96,11.94,17,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},73.87,C
11 - 1,101,Aaron Rodgers,QB,Team CTE,281.15,17.57,210.2,12.36,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},73.81,C
7 - 7,67,JuJu Smith-Schuster,WR,2 Many Cooks,159.94,10.0,147.3,9.21,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},73.6,C
12 - 10,120,Michael Carter,RB,Team CTE,129.15,8.61,105.5,6.59,16,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},73.38,C
3 - 3,23,DJ Moore,WR,Bhambhwani Pawan Dilip,195.38,12.21,169.1,9.95,17,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},73.07,C
17 - 5,165,Jake Elliott,K,Stiff Armed and Dangerous,131.09,7.71,117.0,7.31,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},73.02,C
17 - 7,167,Robert Tonyan,TE,2 Many Cooks,99.27,6.62,85.5,5.03,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},72.97,C-
2 - 9,19,Leonard Fournette,RB,Pain Inflictors,229.99,15.33,189.6,11.85,16,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},72.95,C-
11 - 4,104,Derek Carr,QB,Wakanda Forever,231.23,14.45,198.08,13.21,15,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},72.47,C-
3 - 6,26,Ezekiel Elliott,RB,Team HebAchi,194.36,12.96,177.3,11.82,15,{49094F84-F849-4173-B052-21E1CDEDB4EF},72.45,C-
9 - 10,90,Kareem Hunt,RB,The Chase Is On,159.37,10.62,109.3,6.43,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},72.28,C-
12 - 6,116,Packers D/ST,D/ST,Stiff Armed and Dangerous,158.63,9.33,130.1,7.65,17,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},72.23,C-
14 - 5,135,Noah Fant,TE,Team HebAchi,110.25,6.89,97.6,5.74,17,{49094F84-F849-4173-B052-21E1CDEDB4EF},72.14,C-
14 - 1,131,James Cook,RB,The Chase Is On,106.93,7.13,95.2,5.95,16,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},71.94,C-
16 - 8,158,Browns D/ST,D/ST,Bhambhwani Pawan Dilip,128.33,7.55,117.9,6.94,17,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},71.66,C-
10 - 2,92,Evan McPherson,K,THE BIGMADBLUE,148.48,8.73,121.0,7.56,16,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},71.58,C-
4 - 1,31,Cam Akers,RB,The Chase Is On,135.3,9.02,134.8,8.99,15,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},71.39,C-
16 - 2,152,Alexander Mattison,RB,THE BIGMADBLUE,98.77,6.58,80.9,4.76,17,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},71.35,C-
5 - 2,42,Mike Williams,WR,Pain Inflictors,180.17,12.01,145.0,11.15,13,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},71.08,C-
1 - 3,3,Cooper Kupp,WR,Bhambhwani Pawan Dilip,255.69,15.98,166.9,18.54,9,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},71.05,C-
3 - 2,22,James Conner,RB,Pain Inflictors,218.38,15.6,177.2,13.63,13,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},71.04,C-
1 - 9,9,Alvin Kamara,RB,THE BIGMADBLUE,227.08,16.22,183.2,12.21,15,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},70.91,C-
8 - 6,76,Zach Ertz,TE,Stiff Armed and Dangerous,118.91,7.93,92.1,9.21,10,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},70.77,C-
9 - 2,82,DeAndre Hopkins,WR,Pain Inflictors,122.11,12.21,119.7,13.3,9,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},70.6,C-
13 - 9,129,Colts D/ST,D/ST,THE BIGMADBLUE,129.01,7.59,125.6,7.39,17,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},70.59,C-
9 - 1,81,Dak Prescott,QB,Team CTE,279.42,17.46,181.6,15.13,12,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},70.44,C-
11 - 2,102,Russell Wilson,QB,Pain Inflictors,268.26,16.77,179.26,11.95,15,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},70.35,C-
15 - 6,146,Kenneth Gainwell,RB,Team HebAchi,102.24,6.82,76.4,4.49,17,{49094F84-F849-4173-B052-21E1CDEDB4EF},69.98,D+
5 - 1,41,Diontae Johnson,WR,Team CTE,174.86,10.93,137.7,8.1,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},69.44,D+
2 - 4,14,D'Andre Swift,RB,2 Many Cooks,221.17,14.74,167.1,11.94,14,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},69.41,D+
11 - 6,106,Saints D/ST,D/ST,Team HebAchi,151.95,8.94,123.4,7.26,17,{49094F84-F849-4173-B052-21E1CDEDB4EF},69.15,D+
12 - 1,111,Hunter Henry,TE,The Chase Is On,120.32,7.52,83.4,4.91,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},68.85,D+
16 - 3,153,Austin Hooper,TE,Brown Munde,100.64,6.71,76.9,4.52,17,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},68.83,D+
6 - 6,56,Courtland Sutton,WR,Stiff Armed and Dangerous,177.96,11.12,127.4,8.49,15,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},68.8,D+
