Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Titans D/ST,D/ST,Breece’s  Pieces,85.04,5.0,80.0,4.71,17,{AB606613-7901-4CE2-A066-1379013CE29D},68.15,D+
Dare Ogunbowale,RB,Breece’s  Pieces,57.14,3.81,38.7,2.28,17,{AB606613-7901-4CE2-A066-1379013CE29D},67.53,D+
Mike White,QB,The  Dream crusher,0.0,0.0,56.58,14.14,4,{600C56A6-5DB0-42B1-8C56-A65DB022B176},66.9,D
Travis Homer,RB,Saving Private Ryan,19.86,1.32,35.1,3.51,10,{A8781626-DB52-4D55-B816-26DB528D55B6},66.81,D
Cade York,K,Crazy Kat,123.12,7.24,113.0,6.65,17,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},66.48,D
Vikings D/ST,D/ST,Dirty Tone and  The Boys,82.3,4.84,71.0,4.18,17,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},64.96,D
Will Dissly,TE,Dirty Tone and  The Boys,37.86,2.52,69.9,4.66,15,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},64.94,D
Gardner Minshew,QB,The Truth Hurts,33.1,8.28,36.82,7.36,5,{BF8C828B-DE26-4592-8C82-8BDE2675929B},64.92,D
Greg Dulcich,TE,Peter Pan + the Lost Boys ,31.71,2.64,69.6,6.96,10,{D1128929-4E7D-4D10-9289-294E7DBD10E2},64.83,D
Foster Moreau,TE,Dirty Tone and  The Boys,42.97,2.69,68.7,4.58,15,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},64.51,D
Falcons D/ST,D/ST,Free  Brady,63.38,3.73,69.0,4.06,17,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},64.25,D
Sony Michel,RB,Team Rodriguez,56.61,3.77,20.4,2.04,10,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},63.87,D
Daniel Bellinger,TE,Saving Private Ryan,46.4,2.9,60.0,5.0,12,{A8781626-DB52-4D55-B816-26DB528D55B6},61.44,D-
Tony Jones Jr.,RB,Dirty Tone and  The Boys,14.56,1.04,7.9,1.32,6,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},61.36,D-
Ronnie Rivers,RB,the   jadey bunch,0.0,0.0,7.5,0.94,8,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},61.28,D-
Cairo Santos,K,Need a New Name,121.85,7.17,102.0,6.38,16,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},60.67,D-
T.Y. Hilton,WR,Maid of Honor,0.0,0.0,15.6,5.2,3,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},60.24,D-
Raiders D/ST,D/ST,The Truth Hurts,72.94,4.29,55.0,3.24,17,{BF8C828B-DE26-4592-8C82-8BDE2675929B},59.29,F
Odell Beckham Jr.,WR,Saving Private Ryan,0.0,0.0,0.0,0.0,0,{A8781626-DB52-4D55-B816-26DB528D55B6},56.95,F
Trey McBride,TE,The Truth Hurts,26.94,1.68,47.0,2.94,16,{BF8C828B-DE26-4592-8C82-8BDE2675929B},56.84,F
Cameron Dicker,K,Team Rodriguez,0.0,0.0,93.0,8.45,11,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},55.91,F
Bears D/ST,D/ST,Dirty Tone and  The Boys,66.9,3.94,32.0,1.88,17,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},51.14,F
