Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Cordarrelle Patterson,RB,Titan Up,84.87,5.66,234.6,14.66,16,{2B6C7E1E-0755-48FB-89CE-4CFFA3D5DC1A},96.88,A
Hunter Renfrow,WR,Reagor Bombs,120.99,7.56,259.1,15.24,17,{17471759-D3C1-4206-8612-A156BCC23AA1},94.18,A
Kirk Cousins,QB,Oversized Pumpkins,248.11,15.51,300.34,18.77,16,{83937314-A1CA-41FD-A242-C9B5B534B295},91.04,A-
Dalton Schultz,TE,Titan Up,94.0,5.88,208.8,12.28,17,{2B6C7E1E-0755-48FB-89CE-4CFFA3D5DC1A},89.51,B+
Carson Wentz,QB,Oversized Pumpkins,237.54,15.84,258.02,15.18,17,{83937314-A1CA-41FD-A242-C9B5B534B295},87.04,B+
Nick Folk,K,Titan Up,127.58,7.5,168.0,9.88,17,{2B6C7E1E-0755-48FB-89CE-4CFFA3D5DC1A},85.94,B
Elijah Mitchell,RB,Oversized Pumpkins,57.48,3.83,165.0,15.0,11,{83937314-A1CA-41FD-A242-C9B5B534B295},85.15,B
Christian Kirk,WR,Reagor Bombs,96.72,6.45,207.62,12.21,17,{17471759-D3C1-4206-8612-A156BCC23AA1},85.09,B
Jimmy Garoppolo,QB,Titan Up,78.49,4.91,227.5,15.17,15,{2B6C7E1E-0755-48FB-89CE-4CFFA3D5DC1A},84.16,B
Chris Boswell,K,Team Flaherty,123.82,7.28,158.0,9.29,17,{A319B00D-609E-486D-99B0-0D609EE86D5F},83.17,B
Devonta Freeman,RB,Oversized Pumpkins,32.12,2.29,146.6,9.16,16,{83937314-A1CA-41FD-A242-C9B5B534B295},82.04,B-
Greg Joseph,K, Johnny  Dramas ,123.72,7.28,151.0,8.88,17,{80A1B4AF-9D17-4408-BDA1-9667BD326651},81.23,B-
Kendrick Bourne,WR, Johnny  Dramas ,78.33,4.9,180.5,10.62,17,{80A1B4AF-9D17-4408-BDA1-9667BD326651},80.31,B-
Cardinals D/ST,D/ST,Oversized Pumpkins,79.73,4.69,114.0,6.71,17,{83937314-A1CA-41FD-A242-C9B5B534B295},79.86,C+
Dawson Knox,TE,Reagor Bombs,110.95,6.93,164.1,10.94,15,{17471759-D3C1-4206-8612-A156BCC23AA1},78.97,C+
Kenneth Gainwell,RB,Team Flaherty,43.07,2.87,123.4,7.71,16,{A319B00D-609E-486D-99B0-0D609EE86D5F},78.13,C+
Van Jefferson,WR,Oversized Pumpkins,104.39,6.52,168.2,9.89,17,{83937314-A1CA-41FD-A242-C9B5B534B295},78.13,C+
Titans D/ST,D/ST,Reagor Bombs,87.14,5.13,108.0,6.35,17,{17471759-D3C1-4206-8612-A156BCC23AA1},77.7,C+
Ty Johnson,RB,Gato’s Mom Breezy,78.43,5.23,117.0,7.31,16,{7F18EDA9-DAE0-410A-9EC4-FE2F20716D07},77.05,C+
K.J. Osborn,WR,Gato’s Mom Breezy,18.98,1.19,158.5,9.32,17,{7F18EDA9-DAE0-410A-9EC4-FE2F20716D07},76.42,C
Pat Freiermuth,TE,Titan Up,55.15,3.45,151.7,9.48,16,{2B6C7E1E-0755-48FB-89CE-4CFFA3D5DC1A},76.04,C
Chiefs D/ST,D/ST,Gato’s Mom Breezy,79.05,4.65,102.0,6.0,17,{7F18EDA9-DAE0-410A-9EC4-FE2F20716D07},75.55,C
Rex Burkhead,RB,Oversized Pumpkins,38.64,2.58,104.3,6.95,15,{83937314-A1CA-41FD-A242-C9B5B534B295},74.91,C
Eagles D/ST,D/ST,Reagor Bombs,77.33,4.55,99.0,5.82,17,{17471759-D3C1-4206-8612-A156BCC23AA1},74.48,C
Boston Scott,RB,Team Flaherty,69.99,4.67,98.6,8.22,12,{A319B00D-609E-486D-99B0-0D609EE86D5F},73.95,C
D'Onta Foreman,RB,Oversized Pumpkins,0.0,0.0,93.9,10.43,9,{83937314-A1CA-41FD-A242-C9B5B534B295},73.16,C
Bengals D/ST,D/ST,Dennis The Menace ,73.15,4.3,91.0,5.35,17,{72E06046-9EEC-4999-A060-469EEC399959},71.61,C-
Trevor Siemian,QB, Johnny  Dramas ,0.0,0.0,90.16,15.03,6,{80A1B4AF-9D17-4408-BDA1-9667BD326651},71.2,C-
Cam Newton,QB,I've Got  A Thielen,0.0,0.0,86.36,10.79,8,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5},70.85,C-
Panthers D/ST,D/ST, Johnny  Dramas ,82.64,4.86,88.0,5.18,17,{80A1B4AF-9D17-4408-BDA1-9667BD326651},70.53,C-
Tyler Huntley,QB,I've Got  A Thielen,19.81,1.24,82.64,11.81,7,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5},70.49,C-
Tyrod Taylor,QB,Gato’s Mom Breezy,183.39,11.46,81.74,13.62,6,{7F18EDA9-DAE0-410A-9EC4-FE2F20716D07},70.41,C-
