Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Jerry Jeudy,WR,BB,146.4,9.76,154.9,11.92,13,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},92.24,A-
Chris Boswell,K,Pain Inflictors,129.96,7.64,164.0,12.62,13,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},89.98,B+
Darnell Mooney,WR,Team HebAchi,146.53,9.77,146.3,11.25,13,{49094F84-F849-4173-B052-21E1CDEDB4EF},89.88,B+
Jauan Jennings,WR,Groot-o-Matic,59.87,3.99,146.0,12.17,12,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},89.79,B+
Rico Dowdle,RB,Cooper Troopers,135.03,9.65,132.1,11.01,12,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},85.69,B
Baker Mayfield,QB,Wakanda Forever,215.6,14.37,233.26,17.94,13,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},85.29,B
Tyrone Tracy Jr.,RB,The Chase is on,72.13,5.15,129.0,9.92,13,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},84.97,B
Khalil Shakir,WR,Brown Munde,123.77,8.25,125.9,10.49,12,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},84.26,B
Jameson Williams,WR,Groot-o-Matic,135.07,9.0,124.6,11.33,11,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},83.9,B
Jakobi Meyers,WR,Wakanda Forever,138.9,9.26,123.6,11.24,11,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},83.62,B
Jonnu Smith,TE,Groot-o-Matic,67.93,4.53,131.1,10.08,13,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},82.63,B-
Bo Nix,QB,BB,163.22,11.66,212.28,16.33,13,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},82.01,B-
Kareem Hunt,RB,Pain Inflictors,0.0,0.0,115.6,11.56,10,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},81.86,B-
Sam Darnold,QB,Groot-o-Matic,163.02,12.54,210.36,16.18,13,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},81.71,B-
Josh Downs,WR,Wakanda Forever,88.3,6.79,112.6,11.26,10,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},80.59,B-
Cameron Dicker,K,Cooper Troopers,139.24,8.19,127.0,9.77,13,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},79.1,C+
Tucker Kraft,TE,Brown Munde,71.13,4.74,115.5,8.88,13,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},78.48,C+
