Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,Owner ID
Dookey Dukes,88.34,B+,Ross' Fantasy League,11,1801.0,1857.7,5-8-0,2025,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4}
The Upside Down,88.32,B+,THE BEST OF THE BEST,2,1560.74,1437.46,9-5-0,2025,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
Mr Steinfeld's Stars,88.31,B+,0755 Fantasy Football,2,1729.86,1619.46,9-5-0,2025,{99C913F4-1FF6-4361-93D2-117EA19F759C}
Sutton Deez Nuts,88.17,B+,The Mike Daisy Sports IQ League,2,1934.18,1726.38,11-3-0,2025,{8FDD5AF7-2681-4166-9D5A-F72681316688}
Tortured Cheerleaders Departmnt,88.05,B+,Family Fantasy,4,1676.84,1552.62,9-5-0,2025,{8F726947-16B6-4023-8839-58DD00CD6659}
Red River Rising 💪,88.02,B+,RRR On Premise ,11,1570.08,1686.9,6-8-0,2023,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
Pleasant Valley Panthers,87.89,B+,EBC League,8,1640.36,1810.14,4-10-0,2023,{8DC6CB03-411B-4540-86CB-03411B854029}
For Me to Poop on,87.75,B+,Family Fantasy,2,1599.36,1613.76,6-8-0,2025,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
Team HebAchi,87.44,B+,Game of Yards!,1,1453.44,1485.84,6-8-0,2022,{49094F84-F849-4173-B052-21E1CDEDB4EF}
"Lights, Kamara, Action",87.33,B+,RRR On Premise ,13,1404.12,1562.46,5-9-0,2021,{43035DAF-DDD6-4952-835D-AFDDD6195257}
Wakanda Forever,87.31,B+,Game of Yards!,8,1434.04,1482.1,5-8-0,2019,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
Team Cogs,87.25,B+,Pennoni Younglings,4,1640.26,1378.62,12-2-0,2022,{91828F94-1966-4B65-828F-9419663B65D8}
Vidhi's Spirited Team,87.22,B+,Game of Yards!,3,1884.2,1513.94,20-8-0,2025,{8AA85666-1E0A-41B3-8FEF-E502B1D08914}
Leafy Water,86.96,B,Philly Extra Special,1,1782.84,1716.08,10-4-0,2025,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21}
Salem County Durag Snatchers,86.1,B,The Mike Daisy Sports IQ League,8,1812.04,1628.08,8-6-0,2025,{D13010D4-6FFD-4062-B010-D46FFDD062AB}
Team Vellapanti,85.81,B,Game of Yards!,6,1467.22,1454.82,8-5-0,2019,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Wut happened uh 🤷🏽‍♂️,85.75,B,EBC League,4,1760.26,1665.64,9-5-0,2022,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
 Johnny  Dramas ,85.69,B,RRR On Premise ,2,1637.74,1449.88,8-6-0,2023,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
U Lost to a Red Bull Rookie,85.58,B,OnP Fantasy,6,1727.92,1612.76,7-7-0,2025,{DC54E68B-78AB-440A-9F0D-63BD7172C682}
Chill YNs,85.58,B,Ross' Fantasy League,4,1887.88,1672.54,9-4-0,2025,{61563278-5915-4089-8B19-0BFACDFA9B38}
Prahlad's Ghost,85.44,B,Pennoni Younglings,4,1722.7,1646.42,8-6-0,2025,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
