Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,Owner ID
Dennis The Menace ,76.89,C,RRR On Premise ,4,1607.1,1507.18,8-6-0,2023,{72E06046-9EEC-4999-A060-469EEC399959}
Club Penguins,76.88,C,Ross' Fantasy League,3,1901.58,1752.6,8-5-0,2025,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE}
"All Barkley, No Bite",76.85,C,Brown Munde,1,1584.74,1542.34,16-12-0,2025,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Terrell Suggs to be you,76.8,C,THE BEST OF THE BEST,5,1591.8,1522.56,7-7-0,2024,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B}
Pitman OBJYN,76.78,C,EBC League,4,1713.52,1867.46,6-8-0,2021,{10F78273-9201-4EE8-B782-739201DEE809}
Team Daisey,76.61,C,The Mike Daisy Sports IQ League,5,1731.18,1681.52,7-7-0,2025,{67B022C6-A862-4E4E-B022-C6A8627E4E95}
The Golden Receivers,76.58,C,Pennoni Younglings,2,1553.28,1480.06,10-4-0,2022,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Natural rack,76.55,C,Operators Football League,1,1679.3,1367.8,11-3-0,2025,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
TUFF,76.46,C,Ross' Fantasy League,7,1699.76,1886.94,3-10-0,2025,{B644AC1E-B15A-492F-90A8-E74A28ECCC48}
MPT Phase Tua,76.37,C,0755 Fantasy Football,8,1301.06,1267.5,6-7-0,2023,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
Book of MoreMoms,76.37,C,Pennoni Younglings,1,1494.1,1429.76,9-5-0,2023,{5E530C03-3F19-48F0-A309-52B769E76347}
Frisco Cougars,76.34,C,RRR On Premise ,8,1341.72,1479.96,4-10-0,2023,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
MPT Phase1A,76.14,C,0755 Fantasy Football,5,1498.32,1577.38,6-8-0,2022,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
Team TitBit,75.98,C,Game of Yards!,3,1621.7,1557.74,9-5-0,2020,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Brown Munde,75.95,C,Game of Yards!,6,1676.52,1548.38,16-12-0,2024,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
Still Rollin',75.85,C,Brown Munde,3,1753.78,1403.54,21-7-0,2024,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Wakanda Forever,75.76,C,Game of Yards!,4,1693.36,1455.66,8-6-0,2021,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
Riley  Read option,75.65,C,EBC League,8,1414.26,1830.54,3-11-0,2024,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F}
Michael's Monstrous Team,75.63,C,THE BEST OF THE BEST,7,1492.0,1421.18,8-6-0,2025,{7EB13D07-3786-475B-8AE7-B42DB70413CD}
Febreze Brothers,75.62,C,THE BEST OF THE BEST,3,1497.0,1336.64,8-6-0,2025,{A8781626-DB52-4D55-B816-26DB528D55B6}
BurgerBoyz,75.62,C,Brown Munde,3,1739.02,1478.1,18-10-0,2025,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Maid of Honor,75.55,C,THE BEST OF THE BEST,7,1504.96,1537.72,7-7-0,2023,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
Crunchwrap Crew,75.5,C,THE BEST OF THE BEST,9,1426.1,1506.98,7-7-0,2025,{07C11068-0E2F-433A-AA64-CF7A44FB08B7}
Fresh Prince  Of Hel-Aire,75.48,C,Game of Yards!,10,1425.6,1477.92,7-7-0,2020,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Team CTE,75.46,C,Game of Yards!,6,1520.44,1578.68,8-6-0,2022,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Team Cogs,75.46,C,Pennoni Younglings,10,1598.58,1611.14,5-9-0,2024,{91828F94-1966-4B65-828F-9419663B65D8}
Division iPad,75.44,C,0755 Fantasy Football,6,1649.48,1701.7,8-6-0,2025,{A279F58E-795F-4115-B9F5-8E795F7115FC}
the   jadey bunch,75.34,C,THE BEST OF THE BEST,12,1413.48,1551.68,5-9-0,2025,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
 Johnny  Dramas ,75.32,C,OnP Fantasy,10,1536.34,1595.7,5-9-0,2025,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
Pennoni Adjacent,75.27,C,Pennoni Younglings,9,1392.0,1490.24,5-9-0,2023,{4FB9792B-D0E9-407C-A000-A60B0F30DB08}
NoHalfSends,75.27,C,Brown Munde,2,1622.7,1627.56,19-9-0,2024,{6A39F767-40D1-4825-B0A7-1D20433A3184}
Is it Hockey Season?,75.23,C,THE BEST OF THE BEST,8,1533.36,1423.14,9-5-0,2025,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
Toon Squad,75.12,C,THE BEST OF THE BEST,9,1398.7,1494.5,4-10-0,2024,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
The  Dream crusher,75.05,C,THE BEST OF THE BEST,5,1595.4,1339.04,10-4-0,2023,{600C56A6-5DB0-42B1-8C56-A65DB022B176}
Here 4 fun,74.89,C,0755 Fantasy Football,5,1507.28,1361.1,8-5-0,2023,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
Face Down Sacks Up,74.81,C,The Girl's Room 💞🏈,7,1700.2,1617.32,7-7-1,2025,{406D4692-3C67-4DBA-B1E3-5736014C31B1}
Sporty Jess,74.8,C,BP- Loudoun 2025,9,1823.2,2064.44,5-10-0,2025,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
Dennis The Menace ,74.79,C,OnP Fantasy,5,1519.2,1535.06,8-6-0,2025,{72E06046-9EEC-4999-A060-469EEC399959}
Titan Up,74.7,C,RRR On Premise ,2,1716.78,1517.56,10-4-0,2021,{2B6C7E1E-0755-48FB-89CE-4CFFA3D5DC1A}
Brown Munde,74.59,C,Game of Yards!,3,1610.14,1438.96,17-11-0,2023,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
South East  Anbu ,74.53,C,EBC League,8,1499.5,1846.14,4-10-0,2021,{7C989087-DC3A-4135-A9F9-563E420927D1}
I've Got  A Thielen,74.51,C,RRR On Premise ,4,1430.78,1497.74,9-5-0,2021,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
Bhambhwani Pawan Dilip,74.44,C,Game of Yards!,5,1586.96,1427.38,8-6-0,2022,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
THE POOL ,74.4,C,EBC League,8,1617.86,1815.94,5-9-0,2025,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
Fear the Turtle,74.38,C,BP- Loudoun 2025,7,1882.92,1926.22,6-9-0,2025,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Brady Gaga,74.34,C,0755 Fantasy Football,10,1327.54,1401.0,4-8-0,2023,{99C913F4-1FF6-4361-93D2-117EA19F759C}
OBJYN,74.28,C,EBC League,5,1529.02,1548.92,8-6-0,2025,{10F78273-9201-4EE8-B782-739201DEE809}
Daddy's Finally Home,74.28,C,Pennoni Younglings,7,1687.78,1540.16,8-6-0,2025,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Rizzo's Crash Test Dummy,74.2,C,Pennoni Younglings,8,1431.64,1428.6,6-8-0,2022,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
3rd World Immigrant,74.16,C,0755 Fantasy Football,3,1735.24,1699.32,7-7-0,2025,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Nicole's Nifty Team,73.88,C,The Girl's Room 💞🏈,13,1246.62,1451.8,5-10-0,2025,{17F30800-A7FB-486F-A8C5-04FBF8270D9B}
Wu-Tangs Killabeez,73.87,C,THE BEST OF THE BEST,10,1440.78,1464.58,6-8-0,2023,{8BED9748-9839-4F55-AD97-4898394F5553}
Dirty Tone and  The Boys,73.82,C,THE BEST OF THE BEST,14,1410.12,1429.24,5-9-0,2022,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
Njigba's in Paris,73.81,C,The Mike Daisy Sports IQ League,7,1657.16,1612.92,7-7-0,2025,{71E3346E-E19C-4E2B-B201-2ED713E82FBA}
Amon a Mission,73.8,C,Game of Yards!,8,1506.68,1564.74,13-15-0,2023,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Book of MoreMoms,73.76,C,Pennoni Younglings,6,1467.52,1359.5,7-7-0,2022,{5E530C03-3F19-48F0-A309-52B769E76347}
Griddy Little Liars,73.74,C,0755 Fantasy Football,10,1671.86,1686.96,6-8-0,2025,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6}
i just wasted $20,73.69,C,Philly Extra Special,7,1552.56,1604.5,6-8-0,2025,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23}
Eli,73.63,C,Pennoni Younglings,9,1620.04,1662.54,5-9-0,2024,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
Rollin' with Mahomies,73.59,C,THE BEST OF THE BEST,12,1385.48,1512.34,6-8-0,2023,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B}
BB,73.58,C,Game of Yards!,9,1539.02,1681.64,9-19-0,2024,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Derk Prerscert,73.57,C,BP- Loudoun 2025,8,1857.74,1893.18,7-8-0,2025,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F}
Brown Munde,73.5,C,Game of Yards!,9,1500.82,1595.36,5-9-0,2022,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
Team Rodriguez,73.46,C,THE BEST OF THE BEST,13,1405.18,1547.14,6-8-0,2023,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
Run CMC,73.34,C,Game of Yards!,4,1598.48,1513.0,18-10-0,2023,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Abyss Diamond Eyes,73.26,C,EBC League,5,1794.56,1806.04,7-7-0,2023,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Team TitBit,73.21,C,Game of Yards!,8,1634.5,1681.14,6-8-0,2021,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Bench Warmer,73.13,C,RRR On Premise ,12,1339.76,1764.64,4-10-0,2023,{0F0E5482-7DA5-4CF1-BA17-D025B6E79526}
"Baby Chark, Juju Juju ",73.04,C,0755 Fantasy Football,2,1362.68,1369.5,9-4-0,2023,{30B3E10C-D363-4E74-8961-7D4829DE152A}
BetterThanDeanAtSF6,72.97,C-,Ross' Fantasy League,6,1812.44,1682.46,8-5-0,2025,{97D2EB78-E92D-4E1F-94B3-CE836B504199}
Brown Munde,72.8,C-,Game of Yards!,5,1577.84,1795.04,13-15-0,2025,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
Team Sunshine,72.8,C-,THE BEST OF THE BEST,3,1421.42,1590.74,7-7-0,2023,{1AE08E91-6882-4C36-A08E-9168821C36D0}
The Chase Is On,72.75,C-,Game of Yards!,10,1324.52,1484.86,5-9-0,2022,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
JanSteez,72.68,C-,EBC League,5,1586.02,1575.74,8-6-0,2024,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
Wakanda Forever,72.63,C-,Game of Yards!,10,1495.06,1662.26,10-18-0,2024,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
Crazy Kat,72.58,C-,THE BEST OF THE BEST,3,1370.56,1376.48,7-7-0,2024,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
Saving Private Ryan,72.52,C-,THE BEST OF THE BEST,12,1300.58,1432.3,4-10-0,2022,{A8781626-DB52-4D55-B816-26DB528D55B6}
Pain Inflictors,72.5,C-,Game of Yards!,4,1598.4,1519.16,9-5-0,2022,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
Dirty Tone and  The Boys,72.49,C-,THE BEST OF THE BEST,11,1336.62,1456.62,6-8-0,2023,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
Team TitBit,72.34,C-,Game of Yards!,5,1306.98,1252.5,6-7-0,2019,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Breece Hall Sucks,72.31,C-,Family Fantasy,8,1524.72,1706.82,6-8-0,2025,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
THE BIGMADBLUE,72.22,C-,Brown Munde,4,1610.18,1613.84,14-14-0,2024,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
Wu-Tangs Killabeez,72.08,C-,THE BEST OF THE BEST,14,1476.32,1479.0,7-7-0,2025,{8BED9748-9839-4F55-AD97-4898394F5553}
THE BIGMADBLUE,72.04,C-,Brown Munde,10,1517.08,1566.8,11-17-0,2025,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
Jimoke Jukes,72.01,C-,EBC League,7,1453.96,1625.62,5-9-0,2025,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
It's Miller Time,71.96,C-,The Girl's Room 💞🏈,11,1390.82,1580.78,6-9-0,2025,{46993514-CB12-4CFA-9935-14CB122CFA5F}
1900 Sleepers,71.89,C-,Pennoni Younglings,10,1574.52,1685.04,5-9-0,2025,{FB64662C-A6C7-423B-B6EE-231900310D44}
Trash Panda Express,71.68,C-,BP- Loudoun 2025,3,1948.66,1888.9,8-6-1,2025,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD}
Hannah's Hail Mary,71.55,C-,BP- Loudoun 2025,12,1755.9,1867.9,6-9-0,2025,{4375637E-BE98-463A-BC78-7D6AD1D285D8}
Pho_King,71.47,C-,Pennoni Younglings,4,1657.6,1622.76,10-4-0,2024,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
lawrence's Loud Team,71.44,C-,Family Fantasy,7,1478.74,1501.94,8-6-0,2024,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
Seigaku FC,71.24,C-,EBC League,6,1836.6,1735.06,8-6-0,2021,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
sports,71.2,C-,THE BEST OF THE BEST,11,1381.36,1449.38,6-8-0,2024,{A8781626-DB52-4D55-B816-26DB528D55B6}
Riley  Read option,71.08,C-,EBC League,5,1628.82,1715.08,6-8-0,2022,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F}
Wakanda Forever,70.99,C-,Game of Yards!,3,1532.28,1391.62,8-6-0,2022,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
Oversized Pumpkins,70.95,C-,RRR On Premise ,7,1685.22,1584.68,8-6-0,2021,{83937314-A1CA-41FD-A242-C9B5B534B295}
Bhals,70.91,C-,Brown Munde,8,1433.86,1611.64,8-20-0,2025,{0E22E7FC-569B-49C8-A313-22E034A6865F}
Shae's Sunday Scaries ,70.89,C-,The Girl's Room 💞🏈,10,1446.16,1537.7,7-8-0,2025,{301FF24A-F501-4A68-A146-66AEDC81FB63}
PAI Alcoholics Anonymous ,70.84,C-,Pennoni Younglings,8,1511.42,1551.06,8-6-0,2023,{0CE04EAF-1603-4259-869A-A567F9953F44}
Team Just here 4 fun,70.74,C-,0755 Fantasy Football,9,1491.08,1539.06,6-8-0,2022,{30B3E10C-D363-4E74-8961-7D4829DE152A}
Pleasant Valley Panthers,70.66,C-,EBC League,8,1363.5,1728.78,2-12-0,2022,{8DC6CB03-411B-4540-86CB-03411B854029}
Dirty Tone and  The Boys,70.61,C-,THE BEST OF THE BEST,8,1512.36,1585.16,6-8-0,2024,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
Pain Inflictors,70.59,C-,Game of Yards!,9,1546.1,1716.26,7-21-0,2025,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
The Golden Receivers,70.32,C-,Pennoni Younglings,5,1497.52,1551.18,7-7-0,2023,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Team DEMBOYZ,70.3,C-,RRR On Premise ,11,1073.54,1301.26,4-10-0,2021,{FDBF5791-5905-46A0-A1F2-951A16CD0A0C}
Sh1tting on Laporta potty ,70.29,C-,The Mike Daisy Sports IQ League,1,1785.82,1593.1,7-7-0,2025,{647A253D-3851-42DD-96BB-0155531AC0C3}
"Michael, The Baker",70.21,C-,0755 Fantasy Football,1,1775.24,1548.16,12-2-0,2025,{5E530C03-3F19-48F0-A309-52B769E76347}
Crazy Kat,70.21,C-,THE BEST OF THE BEST,8,1430.84,1506.62,7-7-0,2023,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
Team Padodara,70.18,C-,Brown Munde,7,1444.36,1592.7,12-16-0,2025,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
Unicorns🦄 ,70.15,C-,RRR On Premise ,9,1360.84,1700.24,3-11-0,2023,{D2DCF56C-66BC-40EE-BE19-26B47BBAC311}
Wut happened uh 🤷🏽‍♂️,70.14,C-,EBC League,6,1746.34,1806.22,6-8-0,2023,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
First down syndrome ,70.12,C-,EBC League,10,1624.32,1542.44,5-9-0,2025,{CF59EECF-F236-4BE7-93F6-C873EFC4BF85}
THE BIGMADBLUE,69.82,D+,Game of Yards!,1,1534.2,1482.3,8-6-0,2021,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
Breece Hall Sucks,69.76,D+,Family Fantasy,11,1579.54,1696.56,4-10-0,2024,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
Bhambhwani Pawan Dilip,69.75,D+,Game of Yards!,3,1514.28,1468.76,8-6-0,2021,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Brady Gaga,69.7,D+,0755 Fantasy Football,3,1495.38,1330.98,8-6-0,2022,{99C913F4-1FF6-4361-93D2-117EA19F759C}
Chicken Fried Chicken Meal,69.54,D+,0755 Fantasy Football,9,1603.72,1708.64,6-8-0,2024,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
cman,69.53,D+,Pennoni Younglings,6,1653.48,1589.1,7-7-0,2025,{3038B793-C0D8-4773-82BA-30F522EA1C1A}
Chicken Fried Chicken Meal,69.49,D+,0755 Fantasy Football,4,1219.06,1229.5,7-5-0,2023,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Sacks and the City,69.49,D+,The Girl's Room 💞🏈,8,1359.36,1544.44,8-7-0,2025,{FD379251-A8A4-42A5-8FA5-83D1DA913174}
Jockstrap jubilee ,69.47,D+,Operators Football League,7,1342.1,1522.96,4-10-0,2025,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
The Big Hurts,69.43,D+,0755 Fantasy Football,2,1482.04,1447.12,7-7-0,2022,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
Inter Miami CF,69.41,D+,EBC League,2,1627.68,1616.84,7-7-0,2025,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
Serving Punt,69.39,D+,The Girl's Room 💞🏈,12,1231.64,1373.94,7-8-0,2025,{FE598F7B-DEEB-43CB-B866-038706DB52C8}
Tortured Football Department,69.31,D+,Family Fantasy,12,1459.84,1625.1,3-11-0,2024,{8F726947-16B6-4023-8839-58DD00CD6659}
Vidhi's Spirited Team,69.21,D+,Game of Yards!,7,1542.52,1720.5,11-17-0,2024,{8AA85666-1E0A-41B3-8FEF-E502B1D08914}
Chicken Fried Chicken Meal,69.05,D+,0755 Fantasy Football,7,1337.62,1510.32,6-8-0,2022,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
The Hungry Dogs,69.04,D+,EBC League,1,1822.06,1675.36,9-5-0,2022,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Bhambhwani Pawan Dilip,69.04,D+,Game of Yards!,9,1413.48,1507.36,4-10-0,2020,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Pickens Brown Hubbard @ Mahomes,68.96,D+,Philly Extra Special,4,1797.18,1520.82,10-3-1,2025,{1E294587-F125-49A7-AD9D-7567C0C3DEE1}
Jackson's Tiktok,68.93,D+,RRR On Premise ,10,1690.24,1691.66,7-7-0,2023,{43035DAF-DDD6-4952-835D-AFDDD6195257}
For Me to Poop on,68.8,D+,Family Fantasy,2,1579.82,1602.28,7-7-0,2024,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
Team Flaherty,68.79,D+,RRR On Premise ,12,1337.82,1460.32,6-8-0,2021,{A319B00D-609E-486D-99B0-0D609EE86D5F}
CeeDee's Nuts,68.77,D+,EBC League,9,1478.8,1569.14,4-10-0,2025,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F}
Peter Pan + the Lost Boys ,68.71,D+,THE BEST OF THE BEST,10,1257.96,1440.54,4-10-0,2022,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
Mhoney Hurts So Good,68.58,D+,Operators Football League,2,1552.2,1363.22,10-4-0,2025,{5918A112-DDF9-4368-8414-A143EC58B846}
Rizzly Bears,68.52,D+,Family Fantasy,8,1573.12,1673.94,5-9-0,2024,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
BB,68.48,D+,Game of Yards!,6,1617.32,1612.24,16-12-0,2025,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Daddy's Home,68.42,D+,Pennoni Younglings,11,1567.12,1714.0,5-9-0,2024,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Metcalves of Steele,68.22,D+,0755 Fantasy Football,7,1295.18,1734.14,1-13-0,2024,{5E530C03-3F19-48F0-A309-52B769E76347}
Team CTE,68.2,D+,Game of Yards!,8,1543.38,1618.68,9-19-0,2024,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Came and Wentz,68.05,D+,Pennoni Younglings,5,1453.54,1453.86,7-7-0,2022,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
Maid of Honor,67.88,D+,THE BEST OF THE BEST,5,1259.32,1169.22,10-4-0,2022,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
Wakanda Forever,67.84,D+,Game of Yards!,2,1756.36,1469.32,18-10-0,2025,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
Team BIGMADBLUE,67.81,D+,Game of Yards!,2,1434.28,1396.24,6-7-0,2019,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
THE BIGMADBLUE,67.8,D+,Game of Yards!,8,1416.86,1501.08,6-8-0,2022,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
Sorry 🤷🏽‍♂️,67.51,D+,EBC League,7,1632.48,1739.38,6-8-0,2021,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
Team bhalani,67.46,D+,Brown Munde,10,1563.34,1496.18,5-9-0,2023,{0E22E7FC-569B-49C8-A313-22E034A6865F}
Frisco Full Can Field Goals 🏈,67.4,D+,OnP Fantasy,11,1383.46,1584.48,4-10-0,2025,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
Team Cogs,67.35,D+,Pennoni Younglings,4,1629.68,1395.22,11-3-0,2023,{91828F94-1966-4B65-828F-9419663B65D8}
The Golden Receivers,67.35,D+,Pennoni Younglings,12,1388.0,1638.22,5-9-0,2025,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Muqaddar Ka Sikandar,67.28,D+,Game of Yards!,7,1361.24,1462.08,5-8-0,2019,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
Dak Stinks,67.19,D+,0755 Fantasy Football,6,1901.86,1636.18,8-6-0,2024,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
The Golden Receivers,67.09,D+,Pennoni Younglings,2,1686.36,1598.96,8-6-0,2024,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Wu-Tangs Killabeez,67.04,D+,THE BEST OF THE BEST,6,1500.3,1509.92,7-7-0,2024,{8BED9748-9839-4F55-AD97-4898394F5553}
Pain Inflictors,66.75,D,Game of Yards!,3,1545.28,1524.82,12-16-0,2024,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
Breece’s  Pieces,66.46,D,THE BEST OF THE BEST,8,1430.86,1425.08,8-6-0,2022,{AB606613-7901-4CE2-A066-1379013CE29D}
Hunks of Hanet ,66.37,D,Operators Football League,5,1546.72,1351.78,9-5-0,2025,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
Your Mom,66.34,D,Family Fantasy,10,1511.22,1616.9,7-7-0,2024,{F1F84656-65C6-418D-85EB-A941DF949C09}
Maid of Honor,66.32,D,THE BEST OF THE BEST,10,1417.0,1379.3,6-8-0,2024,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
Caleb's Calculated Team,66.26,D,Ross' Fantasy League,10,1300.52,1725.26,4-9-0,2025,{73111650-DB56-4FEE-A451-8B9B298D4624}
Golden Receivers,66.25,D,Family Fantasy,10,1417.24,1505.62,5-9-0,2025,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Team Corner Office,66.14,D,Pennoni Younglings,11,1351.98,1426.58,6-8-0,2022,{4FB9792B-D0E9-407C-A000-A60B0F30DB08}
Team HebAchi,66.14,D,Game of Yards!,5,1559.06,1563.16,7-7-0,2021,{49094F84-F849-4173-B052-21E1CDEDB4EF}
Matthew Golden's Goose,66.03,D,Philly Extra Special,8,1605.62,1792.1,6-8-0,2025,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1}
Groot-o-Matic,65.97,D,Game of Yards!,10,1596.6,1667.92,12-16-0,2025,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Team Vellapanti,65.89,D,Game of Yards!,5,1709.92,1598.22,7-7-0,2020,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
The  Never CameBack,65.67,D,Game of Yards!,10,1497.74,1570.5,6-8-0,2021,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Kill Bills ,65.56,D,OnP Fantasy,9,1598.96,1556.28,7-7-0,2025,{1BA8396F-D6D7-448B-870B-539450FA06F7}
Free  Brady,65.36,D,THE BEST OF THE BEST,11,1123.96,1277.5,5-9-0,2022,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
Meet the Nabers,65.29,D,Brown Munde,5,1675.78,1454.62,17-11-0,2024,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
"All Barkley, No Bite",65.28,D,Brown Munde,8,1323.6,1523.1,6-22-0,2024,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Your Mom,65.19,D,Family Fantasy,7,1590.24,1441.68,10-4-0,2025,{F1F84656-65C6-418D-85EB-A941DF949C09}
Red Bulls On Parade,65.03,D,OnP Fantasy,3,1737.32,1478.68,10-4-0,2025,{D6421CA2-74FC-4D39-821C-A274FC9D39FE}
Came and Wentz,64.95,D,Pennoni Younglings,12,1372.5,1618.6,5-9-0,2023,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
C. Kirk's revenge,64.81,D,The Mike Daisy Sports IQ League,12,1496.22,1858.58,3-11-0,2025,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
Need a New Name,64.71,D,THE BEST OF THE BEST,13,1204.74,1433.38,4-10-0,2022,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
Matt Gay Team,64.68,D,The Mike Daisy Sports IQ League,11,1398.62,1704.24,4-10-0,2025,{5B5865A3-23DE-4072-86CD-6953574BC088}
Big Ballsy Bozos,64.65,D,Operators Football League,4,1410.62,1487.94,8-6-0,2025,{9B611343-247D-458B-88C3-50BB33789365}
Numb Nutz - CHAMP,64.63,D,Family Fantasy,11,1379.74,1574.02,4-10-0,2025,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
Najee Germany,64.47,D,The Mike Daisy Sports IQ League,10,1498.44,1628.06,4-10-0,2025,{4291ADF5-3463-4685-8B3A-BB2A74C31A3F}
