Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
6 - 4,54,D'Andre Swift,RB,Leafy Water,226.78,13.34,222.8,14.85,15,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},82.02,B-
7 - 9,69,DeVonta Smith,WR,Dr@ft King$,222.99,13.12,193.6,12.1,16,{3389AE65-1498-46A0-8119-84AC1B8D92A9},81.63,B-
2 - 10,20,Derrick Henry,RB,i just wasted $20,281.74,16.57,266.9,16.68,16,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},81.55,B-
8 - 3,73,Bo Nix,QB,Matthew Dorchak,301.89,17.76,294.3,18.39,16,{A6404CB9-25F0-4B29-804C-B925F0CB2975},81.52,B-
5 - 1,41,Zay Flowers,WR,i just wasted $20,232.52,13.68,213.5,13.34,16,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},81.42,B-
10 - 10,100,Deebo Samuel,WR,i just wasted $20,203.14,11.95,184.1,12.27,15,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},81.24,B-
3 - 6,26,Chase Brown,RB,Steenage Mutant Ninja Turtles,281.22,16.54,263.6,16.48,16,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},81.19,B-
4 - 2,32,Jalen Hurts,QB,Dr@ft King$,365.49,21.5,299.06,18.69,16,{3389AE65-1498-46A0-8119-84AC1B8D92A9},80.86,B-
8 - 9,79,Justin Herbert,QB,The Real Kevin Nichols,284.48,16.73,286.88,17.93,16,{DFBF45BA-746C-4337-BF45-BA746C73373F},80.81,B-
6 - 8,58,Tetairoa McMillan,WR,Kevin Nichols The Third,235.26,13.84,200.9,12.56,16,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},80.74,B-
7 - 2,62,Jaylen Waddle,WR,The Real Kevin Nichols,226.53,13.33,194.12,12.13,16,{DFBF45BA-746C-4337-BF45-BA746C73373F},80.56,B-
5 - 5,45,Patrick Mahomes,QB,Pickens Brown Hubbard @ Mahomes,324.92,19.11,285.68,20.41,14,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},80.48,B-
2 - 4,14,Nico Collins,WR,Leafy Water,289.12,17.01,226.2,15.08,15,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},80.47,B-
8 - 8,78,Jaylen Warren,RB,Kevin Nichols The Third,250.22,14.72,202.2,13.48,15,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},80.45,B-
2 - 6,16,A.J. Brown,WR,Pickens Brown Hubbard @ Mahomes,275.63,16.21,220.3,14.69,15,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},80.3,B-
4 - 9,39,Breece Hall,RB,The Real Kevin Nichols,226.04,13.3,207.66,12.98,16,{DFBF45BA-746C-4337-BF45-BA746C73373F},80.01,B-
14 - 2,132,Cam Little,K,Dr@ft King$,135.84,7.99,146.0,9.12,16,{3389AE65-1498-46A0-8119-84AC1B8D92A9},80.01,B-
3 - 9,29,Kyren Williams,RB,Dr@ft King$,284.05,16.71,252.2,15.76,16,{3389AE65-1498-46A0-8119-84AC1B8D92A9},79.68,C+
7 - 8,68,RJ Harvey,RB,Matthew Dorchak,207.26,12.19,202.3,12.64,16,{A6404CB9-25F0-4B29-804C-B925F0CB2975},79.62,C+
11 - 8,108,Zach Charbonnet,RB,Matthew Dorchak,137.02,8.06,162.7,10.85,15,{A6404CB9-25F0-4B29-804C-B925F0CB2975},79.28,C+
14 - 10,140,Chris Boswell,K,i just wasted $20,138.42,8.14,137.0,8.56,16,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},78.96,C+
11 - 3,103,Jauan Jennings,WR,Kevin Nichols The Third,192.74,11.34,165.8,11.84,14,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},78.95,C+
10 - 4,94,Keenan Allen,WR,Leafy Water,212.6,12.51,172.1,10.76,16,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},78.75,C+
10 - 7,97,Khalil Shakir,WR,yay football woo,196.36,11.55,166.4,10.4,16,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},78.4,C+
6 - 1,51,DK Metcalf,WR,Matthew Golden's Goose,240.51,14.15,187.2,12.48,15,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},78.22,C+
12 - 6,116,Chase McLaughlin,K,Pickens Brown Hubbard @ Mahomes,147.01,8.65,141.0,8.81,16,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},78.22,C+
12 - 2,112,Rashid Shaheed,WR,Dr@ft King$,179.17,10.54,155.4,9.14,17,{3389AE65-1498-46A0-8119-84AC1B8D92A9},78.03,C+
3 - 7,27,Tee Higgins,WR,Leafy Water,265.41,15.61,192.9,13.78,14,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},77.96,C+
15 - 2,142,Jake Bates,K,The Real Kevin Nichols,146.36,8.61,132.0,8.25,16,{DFBF45BA-746C-4337-BF45-BA746C73373F},77.93,C+
8 - 10,80,Jakobi Meyers,WR,i just wasted $20,219.64,12.92,166.4,11.09,15,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},77.88,C+
5 - 6,46,TreVeyon Henderson,RB,Steenage Mutant Ninja Turtles,223.83,13.17,188.9,11.81,16,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},77.53,C+
15 - 10,150,Harrison Butker,K,Matthew Golden's Goose,138.62,8.15,129.0,8.06,16,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},77.43,C+
5 - 7,47,Baker Mayfield,QB,Leafy Water,310.96,18.29,258.7,16.17,16,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},77.23,C+
15 - 3,143,Rachaad White,RB,Kevin Nichols The Third,128.09,7.53,136.9,8.56,16,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},76.68,C
2 - 1,11,Josh Jacobs,RB,Matthew Golden's Goose,282.87,16.64,237.1,15.81,15,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},76.66,C
3 - 2,22,Drake London,WR,The Real Kevin Nichols,267.38,15.73,184.1,16.74,11,{DFBF45BA-746C-4337-BF45-BA746C73373F},76.44,C
1 - 6,6,CeeDee Lamb,WR,Steenage Mutant Ninja Turtles,317.53,18.68,199.5,15.35,13,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},76.39,C
8 - 2,72,Tony Pollard,RB,Dr@ft King$,222.13,13.07,176.3,11.02,16,{3389AE65-1498-46A0-8119-84AC1B8D92A9},76.27,C
11 - 7,107,Rhamondre Stevenson,RB,Leafy Water,173.08,10.18,143.5,11.04,13,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},76.16,C
6 - 2,52,DJ Moore,WR,Dr@ft King$,237.95,14.0,168.08,10.51,16,{3389AE65-1498-46A0-8119-84AC1B8D92A9},75.52,C
12 - 8,118,Broncos D/ST,D/ST,Kevin Nichols The Third,130.13,7.65,124.0,7.75,16,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},75.38,C
15 - 7,147,Eagles D/ST,D/ST,Leafy Water,97.75,5.75,120.0,7.5,16,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},75.37,C
14 - 1,131,Vikings D/ST,D/ST,Matthew Golden's Goose,120.67,7.1,120.0,7.5,16,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},75.34,C
2 - 7,17,Ladd McConkey,WR,yay football woo,243.24,14.31,180.9,11.31,16,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},74.91,C
12 - 3,113,Josh Downs,WR,Matthew Dorchak,179.09,10.53,126.8,8.45,15,{A6404CB9-25F0-4B29-804C-B925F0CB2975},74.89,C
2 - 9,19,Brock Bowers,TE,The Real Kevin Nichols,262.19,15.42,176.2,14.68,12,{DFBF45BA-746C-4337-BF45-BA746C73373F},74.78,C
1 - 10,10,Ashton Jeanty,RB,Matthew Golden's Goose,302.05,17.77,232.7,14.54,16,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},74.76,C
7 - 7,67,Rome Odunze,WR,Leafy Water,217.05,12.77,146.1,12.18,12,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},74.39,C
12 - 7,117,Jayden Higgins,WR,yay football woo,161.48,9.5,119.2,7.45,16,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},74.27,C
1 - 1,1,Saquon Barkley,RB,i just wasted $20,325.99,19.18,232.3,14.52,16,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},74.07,C
1 - 4,4,Justin Jefferson,WR,yay football woo,315.86,18.58,183.1,11.44,16,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},73.89,C
13 - 8,128,Colston Loveland,TE,Matthew Dorchak,155.19,9.13,140.0,9.33,15,{A6404CB9-25F0-4B29-804C-B925F0CB2975},73.82,C
7 - 1,61,David Montgomery,RB,i just wasted $20,213.4,12.55,160.42,10.03,16,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},73.76,C
10 - 8,98,Jordan Addison,WR,Kevin Nichols The Third,167.31,11.95,133.3,10.25,13,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},73.47,C
10 - 1,91,Cam Skattebo,RB,Matthew Golden's Goose,139.35,8.2,127.7,15.96,8,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},73.2,C
6 - 7,57,Rashee Rice,WR,yay football woo,163.06,14.82,150.1,18.76,8,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},72.99,C-
11 - 6,106,Jordan Mason,RB,Steenage Mutant Ninja Turtles,133.58,7.86,119.5,7.97,15,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},72.83,C-
9 - 2,82,Jacory Croskey-Merritt,RB,The Real Kevin Nichols,163.77,9.63,137.4,8.59,16,{DFBF45BA-746C-4337-BF45-BA746C73373F},72.67,C-
