Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
9 - 12,124,Tony Pollard,RB,Team Rodriguez,153.77,10.98,180.2,11.26,16,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},82.12,B-
11 - 8,148,Zach Charbonnet,RB,It HURTS being an Eagles fan ,122.21,8.73,165.9,9.76,17,{BF8C828B-DE26-4592-8C82-8BDE2675929B},82.09,B-
2 - 10,24,Kyren Williams,RB,Terrell Suggs to be you,215.59,15.4,255.1,15.94,16,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},81.89,B-
9 - 10,122,Rico Dowdle,RB,Toon Squad,134.61,9.61,178.3,11.14,16,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},81.76,B-
6 - 11,81,David Montgomery,RB,Dirty Tone and  The Boys,166.48,11.89,203.72,14.55,14,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},81.25,B-
8 - 4,102,Najee Harris,RB,Taco Tuesday Everyday,161.02,11.5,186.6,10.98,17,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},80.88,B-
7 - 4,88,Geno Smith,QB,Dirty Tone and  The Boys,227.03,16.22,266.0,15.65,17,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},80.85,B-
9 - 7,119,Jordan Addison,WR,Peter Pan + the Lost Boys ,153.41,10.23,181.0,12.07,15,{D1128929-4E7D-4D10-9289-294E7DBD10E2},80.83,B-
13 - 6,174,Bills D/ST,D/ST,sports,79.74,4.69,121.0,7.12,17,{A8781626-DB52-4D55-B816-26DB528D55B6},80.51,B-
9 - 14,126,Jakobi Meyers,WR,The  Dream crusher,138.81,9.25,174.5,11.63,15,{600C56A6-5DB0-42B1-8C56-A65DB022B176},80.45,B-
3 - 7,35,Kyler Murray,QB,Peter Pan + the Lost Boys ,264.09,17.61,297.24,17.48,17,{D1128929-4E7D-4D10-9289-294E7DBD10E2},80.32,B-
