Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
2 - 11,23,Chase Brown,RB,Daddy's Finally Home,281.44,16.56,263.6,16.48,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},82.37,B-
10 - 11,119,Quinshon Judkins,RB,Daddy's Finally Home,49.61,3.1,169.8,12.13,14,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},82.29,B-
6 - 10,70,Jaylen Waddle,WR,1900 Sleepers,226.72,13.34,194.12,12.13,16,{FB64662C-A6C7-423B-B6EE-231900310D44},82.27,B-
6 - 11,71,Emeka Egbuka,WR,Daddy's Finally Home,176.09,10.36,193.9,12.12,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},82.24,B-
3 - 8,32,Kyren Williams,RB,19th St Halal Cart,284.41,16.73,252.2,15.76,16,{DC811D3C-5EC4-4818-8E91-66D1350A42D2},82.21,B-
3 - 6,30,Jalen Hurts,QB,Christian McCalf-Injury,366.2,21.54,299.06,18.69,16,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1},82.15,B-
4 - 12,48,Tyler Warren,TE,PAI Alcoholics Anonymous ,166.12,9.77,180.9,11.31,16,{0CE04EAF-1603-4259-869A-A567F9953F44},81.95,B-
6 - 8,68,DeVonta Smith,WR,Prahlad's Ghost,223.14,13.13,193.6,12.1,16,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},81.87,B-
5 - 3,51,Patrick Mahomes,QB,1900 Sleepers,326.08,19.18,285.68,20.41,14,{FB64662C-A6C7-423B-B6EE-231900310D44},81.77,B-
2 - 3,15,Nico Collins,WR,Red Zone Risk Assessors,289.45,17.03,226.2,15.08,15,{6FB8D500-4E34-47B8-9028-B156BEC56621},81.76,B-
10 - 2,110,Jared Goff,QB,Philadelphia Bills Mafia,261.57,15.39,281.82,17.61,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},81.71,B-
13 - 1,145,Hunter Henry,TE,PAI Alcoholics Anonymous ,148.17,8.72,168.2,10.51,16,{0CE04EAF-1603-4259-869A-A567F9953F44},81.31,B-
5 - 9,57,Tetairoa McMillan,WR,The Golden Receivers,235.47,13.85,200.9,12.56,16,{4656A2AD-A939-460B-96A2-ADA939760B8B},81.3,B-
5 - 8,56,Breece Hall,RB,19th St Halal Cart,226.24,13.31,207.66,12.98,16,{DC811D3C-5EC4-4818-8E91-66D1350A42D2},81.27,B-
8 - 8,92,Deebo Samuel,WR,Prahlad's Ghost,203.26,11.96,184.1,12.27,15,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},81.14,B-
6 - 4,64,RJ Harvey,RB,The Golden Receivers,207.4,12.2,202.3,12.64,16,{4656A2AD-A939-460B-96A2-ADA939760B8B},80.96,B-
12 - 6,138,Rashid Shaheed,WR,Eli,179.29,10.55,155.4,9.14,17,{4406D5E2-027E-496A-8DB3-92E87CDFFD33},80.95,B-
10 - 7,115,Keenan Allen,WR,Christian McCalf-Injury,212.74,12.51,172.1,10.76,16,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1},80.47,B-
