Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
2 - 8,18,CeeDee Lamb,WR,Killler jatt ,0.0,0.0,355.7,20.92,17,{60C8783C-68C6-446B-8A96-6FF3C6BDC774},100.0,A+
1 - 5,5,Tyreek Hill,WR,Team bhalani,0.0,0.0,339.9,21.24,16,{0E22E7FC-569B-49C8-A313-22E034A6865F},97.18,A+
15 - 1,141,Cowboys D/ST,D/ST,NoHalfSends,0.0,0.0,234.0,13.76,17,{6A39F767-40D1-4825-B0A7-1D20433A3184},96.61,A
1 - 6,6,Christian McCaffrey,RB,Team Padodara,0.0,0.0,372.8,23.3,16,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E},96.37,A
10 - 2,92,Evan Engram,TE,"All Barkley, No Bite",0.0,0.0,230.3,13.55,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},93.83,A
15 - 3,143,Browns D/ST,D/ST,Killler jatt ,0.0,0.0,219.0,12.88,17,{60C8783C-68C6-446B-8A96-6FF3C6BDC774},93.38,A
10 - 5,95,Raheem Mostert,RB,Team Padodara,0.0,0.0,259.2,17.28,15,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E},93.28,A
15 - 4,144,Nico Collins,WR,Eks Gonna Give It To Ya!,0.0,0.0,232.4,15.49,15,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},92.26,A-
2 - 9,19,Amon-Ra St. Brown,WR,Still Rollin',200.57,13.37,289.9,18.12,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},91.38,A-
3 - 7,27,Josh Allen,QB,BurgerBoyz,0.0,0.0,383.64,22.57,17,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},90.28,A-
13 - 10,130,Bills D/ST,D/ST,Hark,0.0,0.0,209.0,12.29,17,{8BF15A87-7793-43C2-B15A-87779313C26A},89.68,B+
6 - 2,52,Breece Hall,RB,"All Barkley, No Bite",0.0,0.0,261.5,15.38,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},89.47,B+
12 - 10,120,David Njoku,TE,NoHalfSends,0.0,0.0,205.2,12.82,16,{6A39F767-40D1-4825-B0A7-1D20433A3184},89.12,B+
8 - 10,80,George Kittle,TE,NoHalfSends,0.0,0.0,210.2,13.14,16,{6A39F767-40D1-4825-B0A7-1D20433A3184},88.5,B+
7 - 6,66,Mike Evans,WR,Team Padodara,0.0,0.0,250.0,14.71,17,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E},88.4,B+
7 - 1,61,DJ Moore,WR,NoHalfSends,0.0,0.0,252.5,14.85,17,{6A39F767-40D1-4825-B0A7-1D20433A3184},88.39,B+
5 - 4,44,T.J. Hockenson,TE,Eks Gonna Give It To Ya!,0.0,0.0,221.0,14.73,15,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},88.21,B+
11 - 6,106,Dak Prescott,QB,Team Padodara,0.0,0.0,326.34,19.2,17,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E},86.99,B
1 - 2,2,Travis Kelce,TE,Still Rollin',0.0,0.0,223.4,14.89,15,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},86.52,B
12 - 5,115,Dolphins D/ST,D/ST,Team Padodara,0.0,0.0,197.0,11.59,17,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E},86.33,B
9 - 9,89,David Montgomery,RB,"All Barkley, No Bite",0.0,0.0,206.2,14.73,14,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},85.78,B
