Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
5 - 4,52,Kyren Williams,RB,BetterThanDeanAtSF6,284.05,16.71,252.2,15.76,16,{97D2EB78-E92D-4E1F-94B3-CE836B504199},83.45,B
1 - 10,10,Jalen Hurts,QB,Dookey Dukes,365.49,21.5,299.06,18.69,16,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4},83.38,B
6 - 1,61,Travis Kelce,TE,Papa Murphy’s Pizza,181.08,10.65,189.0,11.81,16,{4F687E43-B817-4279-A344-79DC261E83B4},83.14,B
5 - 9,57,Zay Flowers,WR,Yvng Killas,232.52,13.68,213.5,13.34,16,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},83.01,B
2 - 1,13,Bo Nix,QB,Papa Murphy’s Pizza,301.89,17.76,294.3,18.39,16,{4F687E43-B817-4279-A344-79DC261E83B4},82.99,B-
11 - 12,132,Romeo Doubs,WR,Papa Murphy’s Pizza,126.52,7.44,165.4,10.34,16,{4F687E43-B817-4279-A344-79DC261E83B4},82.97,B-
13 - 4,148,Hunter Henry,TE,BetterThanDeanAtSF6,148.14,8.71,168.2,10.51,16,{97D2EB78-E92D-4E1F-94B3-CE836B504199},82.83,B-
3 - 7,31,Derrick Henry,RB,dFIBulators,281.74,16.57,266.9,16.68,16,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},82.8,B-
15 - 11,179,Cam Little,K,TUFF,135.84,7.99,146.0,9.12,16,{B644AC1E-B15A-492F-90A8-E74A28ECCC48},82.65,B-
9 - 5,101,Emeka Egbuka,WR,Balls@ck Gafoor,176.01,10.35,193.9,12.12,16,{ED03B9B7-0400-49D3-9ED6-622F04F546F8},82.64,B-
8 - 8,92,RJ Harvey,RB,Balls@ck Gafoor,207.26,12.19,202.3,12.64,16,{ED03B9B7-0400-49D3-9ED6-622F04F546F8},82.52,B-
3 - 12,36,Davante Adams,WR,Papa Murphy’s Pizza,257.07,15.12,222.9,15.92,14,{4F687E43-B817-4279-A344-79DC261E83B4},82.44,B-
3 - 10,34,Justin Herbert,QB,Dookey Dukes,284.48,16.73,286.88,17.93,16,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4},82.32,B-
13 - 1,145,Quinshon Judkins,RB,Club Penguins,49.6,3.1,169.8,12.13,14,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE},82.29,B-
11 - 9,129,Jauan Jennings,WR,Yvng Killas,192.74,11.34,165.8,11.84,14,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},82.11,B-
7 - 8,80,Jaylen Waddle,WR,Chill YNs,226.53,13.33,194.12,12.13,16,{61563278-5915-4089-8B19-0BFACDFA9B38},81.95,B-
13 - 8,152,Zach Charbonnet,RB,Chill YNs,137.02,8.06,162.7,10.85,15,{61563278-5915-4089-8B19-0BFACDFA9B38},81.93,B-
1 - 8,8,Patrick Mahomes,QB,Chill YNs,324.92,19.11,285.68,20.41,14,{61563278-5915-4089-8B19-0BFACDFA9B38},81.77,B-
2 - 12,24,Nico Collins,WR,Club Penguins,289.12,17.01,226.2,15.08,15,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE},81.76,B-
3 - 11,35,A.J. Brown,WR,TUFF,275.63,16.21,220.3,14.69,15,{B644AC1E-B15A-492F-90A8-E74A28ECCC48},81.49,B-
1 - 12,12,Jared Goff,QB,Papa Murphy’s Pizza,260.45,15.32,281.82,17.61,16,{4F687E43-B817-4279-A344-79DC261E83B4},81.49,B-
7 - 5,77,Breece Hall,RB,Balls@ck Gafoor,226.04,13.3,207.66,12.98,16,{ED03B9B7-0400-49D3-9ED6-622F04F546F8},81.27,B-
8 - 1,85,Deebo Samuel,WR,Papa Murphy’s Pizza,203.14,11.95,184.1,12.27,15,{4F687E43-B817-4279-A344-79DC261E83B4},81.14,B-
6 - 5,65,Tetairoa McMillan,WR,Chill YNs,235.26,13.84,200.9,12.56,16,{61563278-5915-4089-8B19-0BFACDFA9B38},81.08,B-
6 - 10,70,DeVonta Smith,WR,Chase Ball. Touchdown!,222.99,13.12,193.6,12.1,16,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A},81.04,B-
15 - 12,180,Kareem Hunt,RB,Papa Murphy’s Pizza,99.97,5.88,138.9,8.68,16,{4F687E43-B817-4279-A344-79DC261E83B4},81.03,B-
11 - 10,130,Rashid Shaheed,WR,Dookey Dukes,179.17,10.54,155.4,9.14,16,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4},80.95,B-
15 - 1,169,Chris Boswell,K,Club Penguins,138.42,8.14,137.0,8.56,16,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE},80.4,B-
16 - 10,190,Tyler Loop,K,Chase Ball. Touchdown!,140.26,8.25,134.0,8.38,16,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A},80.3,B-
14 - 7,163,Chase McLaughlin,K,Ross' Sauces,147.01,8.65,141.0,8.81,16,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB},80.18,B-
9 - 8,104,Keenan Allen,WR,Chill YNs,212.6,12.51,172.1,10.76,16,{61563278-5915-4089-8B19-0BFACDFA9B38},79.83,C+
8 - 9,93,Tony Pollard,RB,BetterThanDeanAtSF6,222.13,13.07,176.3,11.02,16,{97D2EB78-E92D-4E1F-94B3-CE836B504199},79.43,C+
16 - 6,186,Harrison Butker,K,dFIBulators,138.62,8.15,129.0,8.06,16,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},79.27,C+
6 - 6,66,DK Metcalf,WR,dFIBulators,240.51,14.15,187.2,12.48,15,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},79.21,C+
9 - 11,107,Khalil Shakir,WR,TUFF,196.36,11.55,166.4,10.4,16,{B644AC1E-B15A-492F-90A8-E74A28ECCC48},79.08,C+
15 - 9,177,Eagles D/ST,D/ST,Yvng Killas,97.75,5.75,120.0,7.5,16,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},78.97,C+
