Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
3 - 7,27,Trey McBride,TE,"All Barkley, No Bite",265.97,15.65,308.4,19.27,16,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},100.0,A+
15 - 9,149,Seahawks D/ST,D/ST,Team Padodara,174.73,10.28,226.0,14.12,16,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E},100.0,A+
15 - 3,143,Texans D/ST,D/ST,Still Rollin',184.34,10.84,219.0,13.69,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},98.78,A+
4 - 7,37,Jaxon Smith-Njigba,WR,The Man In Jahmyrror,203.58,11.98,309.0,19.31,16,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},97.7,A+
2 - 1,11,Puka Nacua,WR,NoHalfSends,257.91,15.17,304.5,20.3,15,{6A39F767-40D1-4825-B0A7-1D20433A3184},94.11,A
3 - 2,22,Jonathan Taylor,RB,Team BB,287.27,16.9,349.4,21.84,16,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},93.32,A
1 - 5,5,Christian McCaffrey,RB,BurgerBoyz,292.17,17.19,364.9,22.81,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},93.11,A
7 - 5,65,George Pickens,WR,BurgerBoyz,191.32,11.25,254.0,15.88,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},92.55,A-
13 - 10,130,Travis Etienne Jr.,RB,NoHalfSends,167.77,9.87,235.6,14.72,16,{6A39F767-40D1-4825-B0A7-1D20433A3184},90.6,A-
1 - 2,2,Bijan Robinson,RB,Team BB,321.12,18.89,342.5,21.41,16,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},89.51,B+
13 - 5,125,Broncos D/ST,D/ST,BurgerBoyz,186.62,10.98,182.0,11.38,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},88.54,B+
9 - 7,87,Chris Olave,WR,"All Barkley, No Bite",174.06,10.24,225.0,14.06,16,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},88.52,B+
11 - 10,110,Javonte Williams,RB,NoHalfSends,202.64,11.92,229.3,14.33,16,{6A39F767-40D1-4825-B0A7-1D20433A3184},88.22,B+
3 - 8,28,James Cook III,RB,THE BIGMADBLUE,260.94,15.35,306.2,19.14,16,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},87.69,B+
1 - 4,4,Jahmyr Gibbs,RB,The Man In Jahmyrror,296.14,17.42,322.6,20.16,16,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},87.52,B+
11 - 1,101,Brandon Aubrey,K,Hark,139.5,8.21,180.6,11.29,16,{8BF15A87-7793-43C2-B15A-87779313C26A},87.04,B+
14 - 9,139,Kyle Pitts Sr.,TE,Team BB,145.05,8.53,201.0,12.56,16,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},86.7,B
3 - 3,23,De'Von Achane,RB,Still Rollin',277.56,16.33,298.3,18.64,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},86.64,B
2 - 4,14,Amon-Ra St. Brown,WR,"All Barkley, No Bite",241.61,14.21,254.1,15.88,16,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},86.43,B
12 - 9,119,Drake Maye,QB,Team BB,269.9,15.88,314.22,19.64,16,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},85.36,B
16 - 7,157,Patriots D/ST,D/ST,The Man In Jahmyrror,149.16,8.77,163.0,10.19,16,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},85.28,B
1 - 1,1,Ja'Marr Chase,WR,Hark,295.56,17.39,246.5,16.43,15,{8BF15A87-7793-43C2-B15A-87779313C26A},85.27,B
15 - 7,147,Vikings D/ST,D/ST,"All Barkley, No Bite",171.35,10.08,166.0,10.38,16,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},84.16,B
11 - 6,106,Eagles D/ST,D/ST,Bhals,136.79,8.05,166.0,10.38,16,{0E22E7FC-569B-49C8-A313-22E034A6865F},83.71,B
9 - 5,85,Travis Kelce,TE,BurgerBoyz,183.59,10.8,189.0,11.81,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},83.45,B
