Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Patriots D/ST,D/ST,Champagne  Papi ,90.39,5.32,173.0,10.18,17,{E7893FEC-BC37-48CB-9509-34C663E71ADC},100.0,A+
Tony Pollard,RB,Seigaku FC,177.23,11.82,248.8,15.55,16,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},97.53,A+
Jamaal Williams,RB,Seigaku FC,123.09,8.79,225.9,13.29,17,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},92.94,A-
Evan Engram,TE,Abyss Diamond Eyes,124.37,8.29,176.9,10.41,17,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},89.74,B+
Kenneth Walker III,RB,Abyss Diamond Eyes,126.57,9.04,202.5,13.5,15,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},88.26,B+
Jerick McKinnon,RB,Seigaku FC,87.03,6.69,196.3,11.55,17,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},87.01,B+
Brett Maher,K,Champagne  Papi ,129.42,7.61,159.0,9.35,17,{E7893FEC-BC37-48CB-9509-34C663E71ADC},86.57,B
Geno Smith,QB,Abyss Diamond Eyes,148.82,14.88,303.88,17.88,17,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},86.09,B
Justin Fields,QB,The Hungry Dogs,253.09,15.82,295.98,19.73,15,{4656A2AD-A939-460B-96A2-ADA939760B8B},85.3,B
Trevor Lawrence,QB,Wut happened uh 🤷🏽‍♂️,260.71,16.29,295.62,17.39,17,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},85.26,B
Jason Myers,K,Seigaku FC,124.21,7.31,156.0,9.18,17,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},84.99,B
Kirk Cousins,QB,Pleasant Valley Panthers,269.17,16.82,291.58,17.15,17,{8DC6CB03-411B-4540-86CB-03411B854029},84.86,B
Zay Jones,WR,Champagne  Papi ,109.2,6.82,198.1,12.38,16,{E7893FEC-BC37-48CB-9509-34C663E71ADC},81.83,B-
Tyler Higbee,TE,Seigaku FC,130.34,8.69,152.0,8.94,17,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},80.94,B-
Chiefs D/ST,D/ST,The Hungry Dogs,59.1,3.48,115.0,6.76,17,{4656A2AD-A939-460B-96A2-ADA939760B8B},79.49,C+
Latavius Murray,RB,Pitman MaleManipulator,0.0,0.0,154.2,11.86,13,{10F78273-9201-4EE8-B782-739201DEE809},78.58,C+
Jakobi Meyers,WR,Abyss Diamond Eyes,173.92,11.59,180.3,12.88,14,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},78.08,C+
David Njoku,TE,Abyss Diamond Eyes,131.43,8.21,142.0,10.14,14,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},77.41,C+
Gerald Everett,TE,Seigaku FC,127.63,7.98,139.5,8.72,16,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},76.53,C
Rachaad White,RB,The Hungry Dogs,95.97,6.4,139.1,8.18,17,{4656A2AD-A939-460B-96A2-ADA939760B8B},75.56,C
Broncos D/ST,D/ST,Pleasant Valley Panthers,86.8,5.11,102.0,6.0,17,{8DC6CB03-411B-4540-86CB-03411B854029},74.88,C
Browns D/ST,D/ST,Pitman MaleManipulator,107.29,6.31,102.0,6.0,17,{10F78273-9201-4EE8-B782-739201DEE809},74.88,C
Isiah Pacheco,RB,The Hungry Dogs,66.3,4.42,135.0,7.94,17,{4656A2AD-A939-460B-96A2-ADA939760B8B},74.74,C
Christian Watson,WR,Champagne  Papi ,108.76,6.8,164.1,11.72,14,{E7893FEC-BC37-48CB-9509-34C663E71ADC},74.67,C
D'Onta Foreman,RB,Wut happened uh 🤷🏽‍♂️,68.17,4.54,131.0,7.71,17,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},73.94,C
Michael Carter,RB,Champagne  Papi ,150.53,10.04,126.0,7.88,16,{E7893FEC-BC37-48CB-9509-34C663E71ADC},72.94,C-
Cardinals D/ST,D/ST,Wut happened uh 🤷🏽‍♂️,66.68,3.92,91.0,5.35,17,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},70.98,C-
Deshaun Watson,QB,Abyss Diamond Eyes,112.35,18.73,85.58,14.26,6,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},64.25,D
Zack Moss,RB,Champagne  Papi ,32.71,2.18,64.5,4.96,13,{E7893FEC-BC37-48CB-9509-34C663E71ADC},60.62,D-
Zonovan Knight,RB,Abyss Diamond Eyes,0.0,0.0,59.0,7.38,8,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},59.52,F
Ben DiNucci,QB,The Hungry Dogs,0.0,0.0,0.0,0.0,0,{4656A2AD-A939-460B-96A2-ADA939760B8B},55.69,F
Odell Beckham Jr.,WR,Seigaku FC,0.0,0.0,0.0,0.0,0,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},40.1,F
