Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
1 - 7,7,Tyreek Hill,WR,Riley  Read option,0.0,0.0,376.4,23.52,16,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F},100.0,A+
3 - 3,19,CeeDee Lamb,WR,Bryson Stott Fan Club,0.0,0.0,403.2,23.72,17,{10F78273-9201-4EE8-B782-739201DEE809},100.0,A+
1 - 6,6,Christian McCaffrey,RB,Inter Miami CF,0.0,0.0,391.3,24.46,16,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},97.43,A+
3 - 5,21,Amon-Ra St. Brown,WR,THE POOL,242.06,16.14,330.9,20.68,16,{E7893FEC-BC37-48CB-9509-34C663E71ADC},95.14,A
7 - 5,53,Breece Hall,RB,THE POOL,0.0,0.0,290.5,17.09,17,{E7893FEC-BC37-48CB-9509-34C663E71ADC},92.08,A-
11 - 5,85,Evan Engram,TE,THE POOL,0.0,0.0,230.3,13.55,17,{E7893FEC-BC37-48CB-9509-34C663E71ADC},92.04,A-
4 - 2,26,Josh Allen,QB,Riley  Read option,0.0,0.0,392.64,23.1,17,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F},90.87,A-
8 - 7,63,Mike Evans,WR,Abyss Diamond Eyes,0.0,0.0,282.5,16.62,17,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},90.38,A-
4 - 5,29,DJ Moore,WR,Wut happened uh 🤷🏽‍♂️,0.0,0.0,286.5,16.85,17,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},89.4,B+
3 - 6,22,A.J. Brown,WR,Inter Miami CF,0.0,0.0,289.6,17.04,17,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},89.28,B+
6 - 4,44,Keenan Allen,WR,THE POOL,0.0,0.0,278.86,21.45,13,{E7893FEC-BC37-48CB-9509-34C663E71ADC},88.78,B+
7 - 1,49,Rachaad White,RB,Pleasant Valley Panthers,0.0,0.0,267.9,15.76,17,{8DC6CB03-411B-4540-86CB-03411B854029},88.32,B+
14 - 5,109,Michael Pittman Jr.,WR,Wut happened uh 🤷🏽‍♂️,0.0,0.0,250.2,15.64,16,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},87.96,B+
12 - 8,96,Dak Prescott,QB,Pleasant Valley Panthers,0.0,0.0,342.84,20.17,17,{8DC6CB03-411B-4540-86CB-03411B854029},87.92,B+
12 - 2,90,Brandon Aiyuk,WR,Riley  Read option,0.0,0.0,249.2,15.58,16,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F},87.81,B+
4 - 4,28,Travis Etienne Jr.,RB,THE POOL,0.0,0.0,282.4,16.61,17,{E7893FEC-BC37-48CB-9509-34C663E71ADC},86.68,B
6 - 3,43,T.J. Hockenson,TE,Inter Miami CF,0.0,0.0,219.0,14.6,15,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},86.49,B
12 - 6,94,David Njoku,TE,Bryson Stott Fan Club,0.0,0.0,201.2,12.57,16,{10F78273-9201-4EE8-B782-739201DEE809},85.99,B
7 - 2,50,George Kittle,TE,Abyss Diamond Eyes,0.0,0.0,203.2,12.7,16,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},85.82,B
5 - 2,34,Lamar Jackson,QB,Abyss Diamond Eyes,0.0,0.0,331.22,20.7,16,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},85.62,B
3 - 8,24,Jalen Hurts,QB,The Hungry Dogs,0.0,0.0,356.82,20.99,17,{4656A2AD-A939-460B-96A2-ADA939760B8B},85.58,B
9 - 4,68,James Cook,RB,Wut happened uh 🤷🏽‍♂️,0.0,0.0,232.7,13.69,17,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},84.81,B
16 - 8,128,Jordan Addison,WR,Pleasant Valley Panthers,0.0,0.0,221.3,13.02,17,{8DC6CB03-411B-4540-86CB-03411B854029},84.58,B
2 - 1,9,Stefon Diggs,WR,The Hungry Dogs,0.0,0.0,273.8,16.11,17,{4656A2AD-A939-460B-96A2-ADA939760B8B},84.52,B
11 - 8,88,David Montgomery,RB,The Hungry Dogs,0.0,0.0,207.2,14.8,14,{4656A2AD-A939-460B-96A2-ADA939760B8B},84.49,B
8 - 6,62,Alvin Kamara,RB,Bryson Stott Fan Club,0.0,0.0,233.0,17.92,13,{10F78273-9201-4EE8-B782-739201DEE809},84.34,B
10 - 7,79,Cowboys D/ST,D/ST,Abyss Diamond Eyes,0.0,0.0,172.0,10.12,17,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},84.14,B
15 - 2,114,Jake Elliott,K,Abyss Diamond Eyes,142.38,8.38,155.0,9.12,17,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},83.73,B
13 - 6,102,Brian Robinson Jr.,RB,Inter Miami CF,0.0,0.0,198.1,13.21,15,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},83.69,B
15 - 7,119,Harrison Butker,K,Riley  Read option,142.22,8.37,153.0,9.0,17,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F},83.64,B
6 - 7,47,Deebo Samuel,WR,Abyss Diamond Eyes,0.0,0.0,243.7,16.25,15,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},83.47,B
1 - 5,5,Travis Kelce,TE,THE POOL,0.0,0.0,219.4,14.63,15,{E7893FEC-BC37-48CB-9509-34C663E71ADC},83.41,B
3 - 4,20,Joe Mixon,RB,Wut happened uh 🤷🏽‍♂️,0.0,0.0,267.0,15.71,17,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},83.3,B
2 - 2,10,Davante Adams,WR,Riley  Read option,0.0,0.0,265.4,15.61,17,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F},83.2,B
1 - 3,3,Ja'Marr Chase,WR,Bryson Stott Fan Club,0.0,0.0,262.72,16.42,16,{10F78273-9201-4EE8-B782-739201DEE809},82.78,B-
9 - 2,66,Isiah Pacheco,RB,Abyss Diamond Eyes,0.0,0.0,213.9,15.28,14,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},82.23,B-
15 - 1,113,Cole Kmet,TE,Pleasant Valley Panthers,0.0,0.0,181.1,10.65,17,{8DC6CB03-411B-4540-86CB-03411B854029},81.81,B-
12 - 3,91,Justin Tucker,K,Inter Miami CF,146.18,8.6,155.0,9.12,17,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},81.76,B-
7 - 3,51,Amari Cooper,WR,Bryson Stott Fan Club,0.0,0.0,227.0,15.13,15,{10F78273-9201-4EE8-B782-739201DEE809},81.36,B-
15 - 5,117,Jets D/ST,D/ST,THE POOL,0.0,0.0,159.0,9.35,17,{E7893FEC-BC37-48CB-9509-34C663E71ADC},81.34,B-
10 - 4,76,George Pickens,WR,THE POOL,0.0,0.0,208.8,12.28,17,{E7893FEC-BC37-48CB-9509-34C663E71ADC},81.24,B-
12 - 4,92,Zay Flowers,WR,THE POOL,0.0,0.0,206.4,12.9,16,{E7893FEC-BC37-48CB-9509-34C663E71ADC},81.09,B-
6 - 2,42,Calvin Ridley,WR,Riley  Read option,0.0,0.0,229.9,13.52,17,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F},81.09,B-
8 - 4,60,DeAndre Hopkins,WR,THE POOL,0.0,0.0,223.6,13.15,17,{E7893FEC-BC37-48CB-9509-34C663E71ADC},80.88,B-
5 - 1,33,Chris Olave,WR,Pleasant Valley Panthers,220.98,14.73,231.3,14.46,16,{8DC6CB03-411B-4540-86CB-03411B854029},80.84,B-
6 - 1,41,DeVonta Smith,WR,The Hungry Dogs,0.0,0.0,227.6,14.23,16,{4656A2AD-A939-460B-96A2-ADA939760B8B},80.73,B-
16 - 4,124,Ezekiel Elliott,RB,THE POOL,127.95,9.14,174.5,10.26,17,{E7893FEC-BC37-48CB-9509-34C663E71ADC},80.52,B-
11 - 6,86,Tua Tagovailoa,QB,Inter Miami CF,0.0,0.0,270.36,15.9,17,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},80.3,B-
8 - 1,57,James Conner,RB,The Hungry Dogs,0.0,0.0,201.5,15.5,13,{4656A2AD-A939-460B-96A2-ADA939760B8B},80.11,B-
3 - 7,23,Jahmyr Gibbs,RB,Riley  Read option,0.0,0.0,242.1,16.14,15,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F},79.95,C+
9 - 5,69,Bills D/ST,D/ST,THE POOL,0.0,0.0,158.0,9.29,17,{E7893FEC-BC37-48CB-9509-34C663E71ADC},79.94,C+
4 - 8,32,DK Metcalf,WR,Pleasant Valley Panthers,0.0,0.0,225.4,14.09,16,{8DC6CB03-411B-4540-86CB-03411B854029},79.92,C+
9 - 7,71,Terry McLaurin,WR,Riley  Read option,0.0,0.0,209.2,12.31,17,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F},79.89,C+
7 - 8,56,Kenneth Walker III,RB,The Hungry Dogs,0.0,0.0,199.4,13.29,15,{4656A2AD-A939-460B-96A2-ADA939760B8B},79.82,C+
7 - 7,55,D'Andre Swift,RB,Riley  Read option,0.0,0.0,199.3,12.46,16,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F},79.81,C+
2 - 6,14,Derrick Henry,RB,Bryson Stott Fan Club,0.0,0.0,246.66,14.51,17,{10F78273-9201-4EE8-B782-739201DEE809},79.56,C+
6 - 5,45,Trevor Lawrence,QB,Wut happened uh 🤷🏽‍♂️,0.0,0.0,262.54,16.41,16,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},79.48,C+
15 - 3,115,Courtland Sutton,WR,Bryson Stott Fan Club,0.0,0.0,190.2,11.89,16,{10F78273-9201-4EE8-B782-739201DEE809},79.28,C+
10 - 8,80,Javonte Williams,RB,Pleasant Valley Panthers,0.0,0.0,179.2,11.2,16,{8DC6CB03-411B-4540-86CB-03411B854029},79.11,C+
9 - 1,65,Chris Godwin,WR,Pleasant Valley Panthers,0.0,0.0,209.2,12.31,17,{8DC6CB03-411B-4540-86CB-03411B854029},78.87,C+
2 - 3,11,Bijan Robinson,RB,Inter Miami CF,0.0,0.0,246.3,14.49,17,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},78.18,C+
8 - 5,61,Tyler Lockett,WR,Wut happened uh 🤷🏽‍♂️,0.0,0.0,202.4,11.91,17,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},77.59,C+
2 - 8,16,Tony Pollard,RB,Pleasant Valley Panthers,0.0,0.0,222.6,13.09,17,{8DC6CB03-411B-4540-86CB-03411B854029},77.03,C+
5 - 6,38,Justin Herbert,QB,Inter Miami CF,0.0,0.0,234.16,18.01,13,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},76.5,C
1 - 1,1,Patrick Mahomes,QB,Pleasant Valley Panthers,0.0,0.0,280.22,17.51,16,{8DC6CB03-411B-4540-86CB-03411B854029},76.41,C
11 - 4,84,Jonathan Taylor,RB,Wut happened uh 🤷🏽‍♂️,0.0,0.0,156.4,15.64,10,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},76.29,C
14 - 4,108,Younghoe Koo,K,THE POOL,134.42,7.91,133.0,7.82,17,{E7893FEC-BC37-48CB-9509-34C663E71ADC},76.25,C
5 - 5,37,Justin Fields,QB,THE POOL,0.0,0.0,230.18,17.71,13,{E7893FEC-BC37-48CB-9509-34C663E71ADC},76.08,C
14 - 8,112,Brandin Cooks,WR,Pleasant Valley Panthers,0.0,0.0,173.2,10.82,16,{8DC6CB03-411B-4540-86CB-03411B854029},75.97,C
13 - 5,101,Geno Smith,QB,THE POOL,0.0,0.0,227.26,15.15,15,{E7893FEC-BC37-48CB-9509-34C663E71ADC},75.89,C
4 - 3,27,Jaylen Waddle,WR,Inter Miami CF,0.0,0.0,198.6,14.19,14,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},75.52,C
13 - 1,97,Evan McPherson,K,Pleasant Valley Panthers,0.0,0.0,135.0,7.94,17,{8DC6CB03-411B-4540-86CB-03411B854029},75.49,C
15 - 6,118,Dalton Schultz,TE,Inter Miami CF,0.0,0.0,150.5,10.03,15,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},75.45,C
2 - 5,13,Saquon Barkley,RB,Wut happened uh 🤷🏽‍♂️,0.0,0.0,223.2,15.94,14,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},75.15,C
3 - 2,18,Garrett Wilson,WR,Abyss Diamond Eyes,250.1,16.67,213.2,12.54,17,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},75.01,C
10 - 1,73,Drake London,WR,The Hungry Dogs,0.0,0.0,174.38,10.9,16,{4656A2AD-A939-460B-96A2-ADA939760B8B},74.97,C
14 - 1,105,Tyler Bass,K,The Hungry Dogs,138.81,8.17,128.0,7.53,17,{4656A2AD-A939-460B-96A2-ADA939760B8B},74.38,C
14 - 2,106,Gabe Davis,WR,Riley  Read option,0.0,0.0,161.4,9.49,17,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F},74.02,C
3 - 1,17,Najee Harris,RB,Pleasant Valley Panthers,0.0,0.0,195.5,11.5,17,{8DC6CB03-411B-4540-86CB-03411B854029},73.63,C
8 - 8,64,49ers D/ST,D/ST,Pleasant Valley Panthers,0.0,0.0,136.0,8.0,17,{8DC6CB03-411B-4540-86CB-03411B854029},73.28,C
1 - 2,2,Justin Jefferson,WR,Abyss Diamond Eyes,0.0,0.0,202.2,20.22,10,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},73.28,C
