Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
17 - 2,162,Robbie Gould,K,Team Amijaz,126.21,7.89,102.0,6.8,15,{E8084BA7-697B-4617-884B-A7697B7617C9},68.51,D+
3 - 3,23,George Kittle,TE,Team Vellapanti,183.59,12.24,101.6,12.7,8,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},68.3,D+
8 - 7,77,Kerryon Johnson,RB,Team BIGMADBLUE,129.41,9.24,62.3,3.89,16,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},68.17,D+
15 - 10,150,Matt Breida,RB,Fresh Prince  Of Hel-Aire,119.87,8.56,37.5,3.12,12,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},68.01,D+
9 - 5,85,A.J. Green,WR,Bhambhwani Pawan Dilip,158.82,11.34,87.8,5.49,16,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},67.8,D+
16 - 3,153,Jalen Reagor,WR,Wakanda Forever,117.6,7.84,71.7,6.52,11,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},66.89,D
12 - 1,111,Chris Thompson,RB,Fresh Prince  Of Hel-Aire,102.17,7.86,32.6,4.08,8,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},66.72,D
17 - 10,170,Jack Doyle,TE,Fresh Prince  Of Hel-Aire,105.69,7.05,52.6,3.76,14,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},66.55,D
14 - 5,135,Henry Ruggs III,WR,Pain Inflictors,129.15,8.61,73.1,5.62,13,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},66.46,D
13 - 7,127,Chris Boswell,K,Multiple Scoregasm,125.87,7.87,99.0,7.62,13,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},66.36,D
2 - 6,16,Julio Jones,WR,Bhambhwani Pawan Dilip,209.26,13.95,121.1,13.46,9,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},66.24,D
16 - 6,156,Broncos D/ST,D/ST,Bhambhwani Pawan Dilip,105.09,6.57,61.0,3.81,16,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},65.9,D
4 - 6,36,Le'Veon Bell,RB,Bhambhwani Pawan Dilip,179.34,12.81,66.6,6.05,11,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},65.65,D
2 - 8,18,Joe Mixon,RB,Team Vellapanti,210.63,15.04,89.1,14.85,6,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},65.13,D
10 - 5,95,Jordan Howard,RB,Pain Inflictors,139.13,9.94,30.2,4.31,7,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},64.98,D
12 - 5,115,Golden Tate,WR,Pain Inflictors,134.34,9.6,69.02,5.75,12,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},64.81,D
10 - 7,97,Sammy Watkins,WR,Team BIGMADBLUE,136.54,9.75,68.9,6.89,10,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},64.79,D
14 - 3,133,Chris Herndon,TE,Wakanda Forever,107.4,7.16,58.2,3.64,16,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},64.78,D
15 - 6,146,Zane Gonzalez,K,Pain Inflictors,121.12,7.57,92.0,7.67,12,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},64.36,D
10 - 4,94,Preston Williams,WR,Multiple Scoregasm,144.3,9.62,65.8,8.22,8,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},64.29,D
8 - 8,78,Drew Brees,QB,Team Vellapanti,276.58,19.76,213.48,17.79,12,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},64.2,D
10 - 2,92,Deebo Samuel,WR,Muqaddar Ka Sikandar,152.59,11.74,64.2,9.17,7,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},64.04,D
14 - 6,136,Tevin Coleman,RB,Bhambhwani Pawan Dilip,116.67,8.33,10.7,1.34,8,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},63.77,D
11 - 2,102,Tarik Cohen,RB,Team Amijaz,134.24,9.59,14.5,4.83,3,{E8084BA7-697B-4617-884B-A7697B7617C9},63.5,D
4 - 7,37,Mark Ingram II,RB,Team BIGMADBLUE,148.82,10.63,49.9,4.54,11,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},63.3,D
9 - 10,90,Carson Wentz,QB,Fresh Prince  Of Hel-Aire,273.94,19.57,199.4,16.62,12,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},62.57,D-
15 - 9,149,Joe Burrow,QB,Muqaddar Ka Sikandar,239.43,15.96,173.72,17.37,10,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},62.31,D-
4 - 3,33,Odell Beckham Jr.,WR,Wakanda Forever,180.59,12.04,77.32,11.05,7,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},61.97,D-
17 - 3,163,Ian Thomas,TE,Team Vellapanti,78.42,5.23,30.5,1.91,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},61.63,D-
9 - 9,89,Marlon Mack,RB,Muqaddar Ka Sikandar,123.51,8.82,7.1,7.1,1,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},61.61,D-
8 - 5,75,Julian Edelman,WR,Pain Inflictors,158.63,11.33,45.72,7.62,6,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},60.68,D-
5 - 5,45,Zach Ertz,TE,Bhambhwani Pawan Dilip,154.81,10.32,59.5,5.41,11,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},60.58,D-
13 - 4,124,Daniel Jones,QB,Team BIGMADBLUE,255.75,17.05,181.02,12.93,14,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},60.37,D-
17 - 5,165,Alshon Jeffery,WR,Bhambhwani Pawan Dilip,109.74,8.44,20.5,2.93,7,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},60.29,D-
11 - 9,109,DeSean Jackson,WR,Muqaddar Ka Sikandar,121.28,9.33,39.3,7.86,5,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},60.08,D-
17 - 7,167,Jets D/ST,D/ST,Multiple Scoregasm,78.62,4.91,41.0,2.56,16,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},59.98,F
1 - 1,1,Christian McCaffrey,RB,Team TitBit,290.55,20.75,81.9,27.3,3,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},58.66,F
1 - 6,6,Michael Thomas,WR,Pain Inflictors,246.24,16.42,63.9,9.13,7,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},57.13,F
3 - 6,26,Kenny Golladay,WR,Pain Inflictors,179.66,12.83,55.8,11.16,5,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},56.61,F
17 - 9,169,Blake Jarwin,TE,Muqaddar Ka Sikandar,92.66,6.18,1.7,1.7,1,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},55.23,F
10 - 10,100,Jake Elliott,K,Team TitBit,123.58,7.72,70.0,4.38,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},54.19,F
12 - 10,120,Vikings D/ST,D/ST,Team TitBit,115.69,7.23,30.0,1.88,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},53.06,F
6 - 6,56,Dak Prescott,QB,Bhambhwani Pawan Dilip,310.4,20.69,139.14,27.83,5,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},53.03,F
4 - 8,38,Courtland Sutton,WR,Team Vellapanti,170.82,12.2,8.1,8.1,1,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},50.95,F
1 - 2,2,Saquon Barkley,RB,Team Amijaz,260.47,18.61,12.4,6.2,2,{E8084BA7-697B-4617-884B-A7697B7617C9},49.27,F
