Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Drake Maye,QB,yay football woo,285.26,16.78,336.22,21.01,16,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},91.41,A-
Matthew Stafford,QB,Steenage Mutant Ninja Turtles,274.08,16.12,323.72,20.23,16,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},89.64,B+
Jason Myers,K,Matthew Golden's Goose,136.51,8.03,189.0,11.81,16,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},89.61,B+
Rico Dowdle,RB,Matthew Dorchak,83.95,4.94,213.3,13.33,16,{A6404CB9-25F0-4B29-804C-B925F0CB2975},89.21,B+
Trevor Lawrence,QB,The Real Kevin Nichols,279.32,16.43,314.88,19.68,16,{DFBF45BA-746C-4337-BF45-BA746C73373F},88.39,B+
Michael Wilson,WR,Matthew Dorchak,115.81,6.81,199.7,12.48,16,{A6404CB9-25F0-4B29-804C-B925F0CB2975},87.33,B+
Kenneth Gainwell,RB,Pickens Brown Hubbard @ Mahomes,193.17,11.36,199.9,12.49,16,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},86.52,B
Harold Fannin Jr.,TE,Steenage Mutant Ninja Turtles,53.49,3.15,186.4,11.65,16,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},84.47,B
Jared Goff,QB,yay football woo,260.45,15.32,281.82,17.61,16,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},83.71,B
Browns D/ST,D/ST,Matthew Golden's Goose,68.61,4.04,124.0,7.75,16,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},82.51,B-
Jaguars D/ST,D/ST,i just wasted $20,87.31,5.14,124.0,7.75,16,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},82.51,B-
Troy Franklin,WR,The Real Kevin Nichols,79.69,4.69,177.1,11.07,16,{DFBF45BA-746C-4337-BF45-BA746C73373F},82.37,B-
Juwan Johnson,TE,yay football woo,117.35,6.9,172.8,10.8,16,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},81.06,B-
Patriots D/ST,D/ST,Matthew Golden's Goose,101.44,5.97,119.0,7.44,16,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},80.78,B-
Quinshon Judkins,RB,Kevin Nichols The Third,49.6,3.1,169.8,12.13,14,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},80.47,B-
Hunter Henry,TE,Leafy Water,148.14,8.71,168.2,10.51,16,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},79.91,C+
Romeo Doubs,WR,i just wasted $20,126.52,7.44,165.4,10.34,16,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},79.81,C+
Dalton Schultz,TE,Leafy Water,126.05,7.41,166.4,10.4,16,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},79.46,C+
Rams D/ST,D/ST,Leafy Water,87.74,5.16,115.0,7.19,16,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},79.39,C+
