League,Year,Week,Type,Player,Position,From Team,To Team,Owner ID,FAAB Bid,Source
The Girl's Room 💞🏈,2025,2,ADD,Jake Tonges,TE,(FA),Hurts so good,{2CC644B9-3D0A-49C1-A594-91F37AAB004C},0,snapshot
The Girl's Room 💞🏈,2025,2,ADD,Dont'e Thornton Jr.,WR,(FA),Shae's Sunday Scaries ,{301FF24A-F501-4A68-A146-66AEDC81FB63},0,snapshot
The Girl's Room 💞🏈,2025,2,ADD,Hunter Renfrow,WR,(FA),Shae's Sunday Scaries ,{301FF24A-F501-4A68-A146-66AEDC81FB63},0,snapshot
The Girl's Room 💞🏈,2025,2,ADD,LeQuint Allen Jr.,RB,(FA),Shae's Sunday Scaries ,{301FF24A-F501-4A68-A146-66AEDC81FB63},0,snapshot
The Girl's Room 💞🏈,2025,2,ADD,AJ Barner,TE,(FA),Shae's Sunday Scaries ,{301FF24A-F501-4A68-A146-66AEDC81FB63},0,snapshot
The Girl's Room 💞🏈,2025,2,ADD,Noah Fant,TE,(FA),Face Down Sacks Up,{406D4692-3C67-4DBA-B1E3-5736014C31B1},0,snapshot
The Girl's Room 💞🏈,2025,2,ADD,Tre Tucker,WR,(FA),Face Down Sacks Up,{406D4692-3C67-4DBA-B1E3-5736014C31B1},0,snapshot
The Girl's Room 💞🏈,2025,2,ADD,Olamide Zaccheaus,WR,(FA),Nicole's Nifty Team,{17F30800-A7FB-486F-A8C5-04FBF8270D9B},0,snapshot
The Girl's Room 💞🏈,2025,2,ADD,Harold Fannin Jr.,TE,(FA),Faith's Fantastic Team,{06A97A56-FAD2-4E95-B9D4-B3702CA829AE},0,snapshot
The Girl's Room 💞🏈,2025,2,ADD,JuJu Smith-Schuster,WR,(FA),Faith's Fantastic Team,{06A97A56-FAD2-4E95-B9D4-B3702CA829AE},0,snapshot
The Girl's Room 💞🏈,2025,2,TEAM->TEAM,Evan Engram,TE,Hurts so good,Tush Push Director 🍑,{6463FE68-068E-42B0-BF9C-B0AEFD28D60C},0,snapshot
The Girl's Room 💞🏈,2025,2,DROP,Darren Waller,TE,Shae's Sunday Scaries ,(FA),{301FF24A-F501-4A68-A146-66AEDC81FB63},0,snapshot
The Girl's Room 💞🏈,2025,2,DROP,Nick Westbrook-Ikhine,WR,Shae's Sunday Scaries ,(FA),{301FF24A-F501-4A68-A146-66AEDC81FB63},0,snapshot
The Girl's Room 💞🏈,2025,2,DROP,Adonai Mitchell,WR,Shae's Sunday Scaries ,(FA),{301FF24A-F501-4A68-A146-66AEDC81FB63},0,snapshot
The Girl's Room 💞🏈,2025,2,DROP,Trevor Etienne,RB,Shae's Sunday Scaries ,(FA),{301FF24A-F501-4A68-A146-66AEDC81FB63},0,snapshot
The Girl's Room 💞🏈,2025,2,DROP,Adam Thielen,WR,Face Down Sacks Up,(FA),{406D4692-3C67-4DBA-B1E3-5736014C31B1},0,snapshot
The Girl's Room 💞🏈,2025,2,DROP,Dameon Pierce,RB,Face Down Sacks Up,(FA),{406D4692-3C67-4DBA-B1E3-5736014C31B1},0,snapshot
The Girl's Room 💞🏈,2025,2,DROP,Andrei Iosivas,WR,Faith's Fantastic Team,(FA),{06A97A56-FAD2-4E95-B9D4-B3702CA829AE},0,snapshot
The Girl's Room 💞🏈,2025,2,DROP,Jarquez Hunter,RB,Tush Push Director 🍑,(FA),{6463FE68-068E-42B0-BF9C-B0AEFD28D60C},0,snapshot
The Girl's Room 💞🏈,2025,3,ADD,Tyrod Taylor,QB,(FA),Breezy’s Bros,{C582F37F-EA8C-4A16-802F-468A6362CA16},0,snapshot
The Girl's Room 💞🏈,2025,3,ADD,Chris Brooks,RB,(FA),Say Cheese 🧀💚🧀,{A3DDC0EE-C12D-4E65-8469-41034B77D8F5},0,snapshot
The Girl's Room 💞🏈,2025,3,ADD,Zavier Scott,RB,(FA),Say Cheese 🧀💚🧀,{A3DDC0EE-C12D-4E65-8469-41034B77D8F5},0,snapshot
The Girl's Room 💞🏈,2025,3,ADD,Ja'Tavion Sanders,TE,(FA),It's Miller Time,{46993514-CB12-4CFA-9935-14CB122CFA5F},0,snapshot
The Girl's Room 💞🏈,2025,3,ADD,Jalen Nailor,WR,(FA),It's Miller Time,{46993514-CB12-4CFA-9935-14CB122CFA5F},0,snapshot
