Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Chris Boswell,K,THE BIGMADBLUE,125.7,7.39,162.0,12.46,13,100.0,A+,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
Vikings D/ST,D/ST,THE BIGMADBLUE,127.36,7.49,167.0,12.85,13,98.84,A+,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
Bo Nix,QB,Team BB,176.92,12.64,218.28,16.79,13,95.6,A,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Baker Mayfield,QB,Still Rollin',228.78,15.25,244.26,18.79,13,92.96,A-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Jonnu Smith,TE,THE BIGMADBLUE,83.91,5.59,165.1,12.7,13,92.87,A-,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
Chargers D/ST,D/ST,Team BB,114.93,6.76,153.0,11.77,13,92.81,A-,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Texans D/ST,D/ST,BurgerBoyz,128.41,7.55,142.0,10.92,13,92.08,A-,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Broncos D/ST,D/ST,Still Rollin',91.27,5.37,160.0,12.31,13,91.8,A-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Sam Darnold,QB,Team BB,176.61,13.59,223.36,17.18,13,90.11,A-,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Bucky Irving,RB,Hark,100.26,7.16,157.5,12.12,13,89.26,B+,{8BF15A87-7793-43C2-B15A-87779313C26A}
Lions D/ST,D/ST,Meet the Nabers,149.59,8.8,140.0,10.77,13,88.85,B+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Seahawks D/ST,D/ST,Bhals,147.1,8.65,135.0,10.38,13,88.61,B+,{0E22E7FC-569B-49C8-A313-22E034A6865F}
Jauan Jennings,WR,BurgerBoyz,60.14,4.01,148.0,12.33,12,88.47,B+,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Cade Otton,TE,BurgerBoyz,110.34,7.36,138.2,10.63,13,86.02,B,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Bills D/ST,D/ST,Team BB,114.86,6.76,128.0,9.85,13,85.08,B,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
