Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
6 - 7,57,James Cook,RB,THE BIGMADBLUE,0.0,0.0,210.7,12.39,17,81.0,B-,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
16 - 7,157,Browns D/ST,D/ST,THE BIGMADBLUE,0.0,0.0,182.9,10.76,17,80.61,B-,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
1 - 2,2,Ja'Marr Chase,WR,Wakanda Forever,0.0,0.0,217.22,13.58,16,80.29,B-,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
1 - 9,9,Bijan Robinson,RB,Bhambhwani Pawan Dilip,0.0,0.0,219.6,12.92,17,80.14,B-,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
12 - 9,119,Jets D/ST,D/ST,Wakanda Forever,0.0,0.0,178.4,10.49,17,80.1,B-,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
6 - 1,51,James Conner,RB,Amon a Mission,0.0,0.0,188.0,14.46,13,80.03,B-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
6 - 3,53,Isiah Pacheco,RB,Team HebAchi,0.0,0.0,192.4,13.74,14,79.93,C+,{49094F84-F849-4173-B052-21E1CDEDB4EF}
5 - 7,47,Alvin Kamara,RB,Brown Munde,0.0,0.0,195.5,15.04,13,79.84,C+,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
11 - 5,105,Jordan Addison,WR,Run CMC,0.0,0.0,189.8,11.16,17,79.77,C+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
2 - 1,11,Stefon Diggs,WR,THE BIGMADBLUE,0.0,0.0,221.8,13.05,17,79.76,C+,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
11 - 3,103,David Njoku,TE,Pain Inflictors,0.0,0.0,160.7,10.04,16,79.49,C+,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
9 - 9,89,Michael Pittman Jr.,WR,Bhambhwani Pawan Dilip,0.0,0.0,197.7,12.36,16,79.45,C+,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
9 - 2,82,Evan Engram,TE,Wakanda Forever,0.0,0.0,173.3,10.19,17,79.41,C+,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
1 - 1,1,Justin Jefferson,WR,Team CTE,0.0,0.0,169.7,16.97,10,79.39,C+,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
1 - 10,10,Saquon Barkley,RB,THE BIGMADBLUE,0.0,0.0,202.7,14.48,14,79.05,C+,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
13 - 5,125,Kirk Cousins,QB,Run CMC,0.0,0.0,143.74,17.97,8,78.91,C+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
5 - 5,45,Justin Herbert,QB,Run CMC,0.0,0.0,209.66,16.13,13,78.66,C+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
2 - 2,12,Davante Adams,WR,Bhambhwani Pawan Dilip,0.0,0.0,214.4,12.61,17,78.62,C+,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
6 - 8,58,George Kittle,TE,Pain Inflictors,0.0,0.0,172.7,10.79,16,78.62,C+,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
11 - 6,106,Bills D/ST,D/ST,Kelce You Again!,0.0,0.0,176.7,10.39,17,78.36,C+,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
8 - 9,79,George Pickens,WR,Wakanda Forever,0.0,0.0,183.0,10.76,17,78.19,C+,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
5 - 1,41,T.J. Hockenson,TE,Team CTE,0.0,0.0,171.5,11.43,15,77.72,C+,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
13 - 8,128,Jakobi Meyers,WR,Team HebAchi,0.0,0.0,183.08,11.44,16,77.7,C+,{49094F84-F849-4173-B052-21E1CDEDB4EF}
1 - 6,6,Travis Kelce,TE,Kelce You Again!,0.0,0.0,172.9,11.53,15,77.35,C+,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
12 - 3,113,Jake Elliott,K,Team HebAchi,141.34,8.31,155.0,9.12,17,77.22,C+,{49094F84-F849-4173-B052-21E1CDEDB4EF}
6 - 2,52,Justin Fields,QB,Bhambhwani Pawan Dilip,0.0,0.0,189.68,14.59,13,76.99,C,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
2 - 5,15,Tony Pollard,RB,Kelce You Again!,0.0,0.0,195.1,11.48,17,76.98,C,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
5 - 2,42,Amari Cooper,WR,Wakanda Forever,0.0,0.0,194.5,12.97,15,76.83,C,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
5 - 6,46,Kenneth Walker III,RB,Kelce You Again!,0.0,0.0,186.4,12.43,15,76.8,C,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
6 - 4,54,D'Andre Swift,RB,Brown Munde,0.0,0.0,179.8,11.24,16,76.38,C,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
7 - 2,62,Jonathan Taylor,RB,Wakanda Forever,0.0,0.0,147.4,14.74,10,76.34,C,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
16 - 10,160,Harrison Butker,K,Team CTE,140.48,8.26,152.0,8.94,17,76.29,C,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
14 - 4,134,Adam Thielen,WR,Brown Munde,0.0,0.0,179.5,10.56,17,76.29,C,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
17 - 9,169,Jaylen Warren,RB,Bhambhwani Pawan Dilip,0.0,0.0,167.4,9.85,17,75.97,C,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
8 - 8,78,Terry McLaurin,WR,Pain Inflictors,0.0,0.0,169.7,9.98,17,75.82,C,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
13 - 2,122,Zack Moss,RB,Wakanda Forever,0.0,0.0,157.6,11.26,14,75.6,C,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
3 - 7,27,DK Metcalf,WR,Brown Munde,0.0,0.0,193.9,12.12,16,75.54,C,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
4 - 8,38,Calvin Ridley,WR,Pain Inflictors,0.0,0.0,193.4,11.38,17,75.3,C,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
15 - 9,149,Jason Myers,K,Bhambhwani Pawan Dilip,138.32,8.14,154.0,9.06,17,75.2,C,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
15 - 1,141,Cole Kmet,TE,Team CTE,0.0,0.0,144.6,8.51,17,75.09,C,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
14 - 5,135,Justin Tucker,K,Kelce You Again!,146.83,8.64,158.0,9.29,17,75.01,C,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
8 - 5,75,Courtland Sutton,WR,Kelce You Again!,0.0,0.0,161.7,10.11,16,74.96,C,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
8 - 2,72,Javonte Williams,RB,Bhambhwani Pawan Dilip,0.0,0.0,155.7,9.73,16,74.94,C,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
4 - 10,40,Chris Olave,WR,Team CTE,183.0,12.2,187.8,11.74,16,74.85,C,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
5 - 3,43,DeAndre Hopkins,WR,Pain Inflictors,0.0,0.0,188.6,11.09,17,74.84,C,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
3 - 6,26,DeVonta Smith,WR,Kelce You Again!,0.0,0.0,188.6,11.79,16,74.7,C,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
11 - 2,102,49ers D/ST,D/ST,Wakanda Forever,0.0,0.0,157.1,9.24,17,74.7,C,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
12 - 4,114,Ezekiel Elliott,RB,Brown Munde,116.22,8.3,149.0,8.76,17,74.68,C,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
17 - 4,164,Chiefs D/ST,D/ST,THE BIGMADBLUE,0.0,0.0,161.3,9.49,17,74.54,C,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
3 - 1,21,Najee Harris,RB,Team CTE,0.0,0.0,181.0,10.65,17,74.43,C,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
14 - 10,140,Dolphins D/ST,D/ST,Team CTE,0.0,0.0,161.3,9.49,17,73.95,C,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
2 - 8,18,Josh Jacobs,RB,Pain Inflictors,0.0,0.0,163.1,12.55,13,73.59,C,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
14 - 1,131,Jake Ferguson,TE,Amon a Mission,0.0,0.0,141.6,8.33,17,73.56,C,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
16 - 6,156,Younghoe Koo,K,Run CMC,135.31,7.96,135.0,7.94,17,72.73,C-,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
1 - 3,3,Austin Ekeler,RB,Pain Inflictors,0.0,0.0,159.9,11.42,14,72.7,C-,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
10 - 9,99,Brandin Cooks,WR,Wakanda Forever,0.0,0.0,146.2,9.14,16,72.5,C-,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
13 - 9,129,Saints D/ST,D/ST,Bhambhwani Pawan Dilip,0.0,0.0,152.3,8.96,17,72.44,C-,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
7 - 10,70,Tyler Lockett,WR,Amon a Mission,0.0,0.0,162.9,9.58,17,72.31,C-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
17 - 10,170,Greg Zuerlein,K,Amon a Mission,134.11,7.89,139.0,8.69,16,72.25,C-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
