Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,LPI,Pick Number,First Pick Points,Top Two Pick Points,Top Four Pick Points,Number of A Grades
Team Amijaz,76.29,C,Game of Yards!,2.0,1738.76,1653.88,7-7-0,2020.0,44.0,2,12.4,315.29999999999995,786.6999999999999,3.0
Toon Squad,76.26,C,THE BEST OF THE BEST,9.0,1398.7,1494.5,4-10-0,2024.0,-7.0,10,183.4,520.3,902.3,3.0
Olave Another,76.17,C,0755 Fantasy Football,5.0,1744.22,1643.28,8-6-0,2024.0,13.0,7,355.3,432.0,1057.78,4.0
Eks Gonna Give It To Ya!,76.14,C,Brown Munde,5.0,1587.9,1514.54,7-7-0,2023.0,-1.0,4,161.9,359.0,759.3,0.0
NoHalfSends,76.1,C,Brown Munde,2.0,1653.76,1628.9,8-6-0,2023.0,29.0,1,179.2,520.02,839.22,1.0
3rd World Immigrant,76.06,C,0755 Fantasy Football,3.0,1827.14,1741.1,8-6-0,2024.0,47.0,6,316.18,588.28,1044.08,3.0
Jim-a-sore-ass,75.94,C,Turf On Grade 2.0,5.0,1514.16,1587.8,5-9-0,2024.0,-31.0,5,336.4,574.5,971.2,2.0
Team BB,75.92,C,Brown Munde,1.0,1782.94,1739.9,16-12-0,2024.0,55.0,10,367.3,561.7,1007.0,2.0
Team CTE,75.91,C,Game of Yards!,8.0,1543.38,1618.68,9-19-0,2024.0,-38.0,5,179.2,434.29999999999995,829.5,2.0
Red River Rising 💪,75.89,C,RRR On Premise,,,,,,,,,,,
Team Date,75.84,C,Turf On Grade 2.0,6.0,1706.02,1700.52,7-7-0,2024.0,16.0,2,341.7,398.59999999999997,755.5999999999999,2.0
Brown Munde,75.84,C,Game of Yards!,3.0,1610.14,1438.96,17-11-0,2023.0,17.0,7,323.9,345.0,842.62,3.0
NoHalfSends,75.78,C,Brown Munde,2.0,1622.7,1627.56,19-9-0,2024.0,23.0,6,277.98,575.1,931.8,3.0
