Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Baker Mayfield,QB,Dak Stinks,245.41,16.36,259.26,19.94,13,100.0,A+,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
Sam Darnold,QB,Chicken Fried Chicken Meal,192.49,14.81,241.36,18.57,13,97.68,A+,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Chris Boswell,K,Patrick's Stars,123.46,7.26,160.0,12.31,13,92.17,A-,{99C913F4-1FF6-4361-93D2-117EA19F759C}
Bo Nix,QB,I'm Batman,192.76,13.77,227.28,17.48,13,88.92,B+,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
Jonnu Smith,TE,Patrick's Stars,83.38,5.56,160.1,12.32,13,87.4,B+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
Jauan Jennings,WR,Patrick's Stars,73.15,4.88,175.5,14.62,12,87.19,B+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
Vikings D/ST,D/ST,Olave Another,98.22,5.78,137.0,10.54,13,87.01,B+,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
Geno Smith,QB,Olave Another,227.03,16.22,205.56,15.81,13,86.79,B,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
Broncos D/ST,D/ST,3rd World Immigrant,68.4,4.02,134.0,10.31,13,84.26,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Texans D/ST,D/ST,Dak Stinks,98.92,5.82,119.0,9.15,13,82.6,B-,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
Khalil Shakir,WR,3rd World Immigrant,153.68,10.25,156.9,13.08,12,80.44,B-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Cade Otton,TE,Dak Stinks,109.61,7.31,136.2,10.48,13,80.37,B-,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
Tucker Kraft,TE,Chicken Fried Chicken Meal,89.94,6.0,133.5,10.27,13,80.22,B-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Tyrone Tracy Jr.,RB,All my homies hate Dallas,82.86,5.92,143.0,11.0,13,78.35,C+,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
