Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
6 - 6,56,Aaron Jones,RB,It's Britney's Bench,189.91,13.57,186.5,14.35,13,85.66,B,{30B3E10C-D363-4E74-8961-7D4829DE152A}
15 - 2,142,Justin Herbert,QB,Chicken Fried Chicken Meal,252.01,16.8,196.96,15.15,13,85.6,B,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
1 - 6,6,Amon-Ra St. Brown,WR,3rd World Immigrant,283.98,18.93,226.18,17.4,13,84.74,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
3 - 4,24,James Cook,RB,Division iPad,221.92,15.85,192.7,16.06,12,83.93,B,{A279F58E-795F-4115-B9F5-8E795F7115FC}
10 - 1,91,Jordan Addison,WR,All my homies hate Dallas,188.63,12.58,164.8,14.98,11,83.92,B,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
16 - 2,152,Zach Charbonnet,RB,Patrick's Stars,139.96,10.0,150.3,11.56,13,83.88,B,{99C913F4-1FF6-4361-93D2-117EA19F759C}
3 - 6,26,Drake London,WR,3rd World Immigrant,225.56,15.04,197.3,15.18,13,83.79,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
14 - 4,134,Brandon Aubrey,K,Olave Another,137.32,8.08,127.0,9.77,13,83.73,B,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
12 - 2,112,Najee Harris,RB,Patrick's Stars,174.97,12.5,171.6,13.2,13,83.56,B,{99C913F4-1FF6-4361-93D2-117EA19F759C}
16 - 5,155,Jordan Mason,RB,3rd World Immigrant,82.57,6.35,115.0,9.58,12,83.34,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
8 - 7,77,Kyler Murray,QB,Division iPad,264.09,17.61,222.88,17.14,13,83.31,B,{A279F58E-795F-4115-B9F5-8E795F7115FC}
15 - 10,150,Cameron Dicker,K,All my homies hate Dallas,133.85,7.87,124.0,9.54,13,83.3,B,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
10 - 4,94,Ladd McConkey,WR,Olave Another,178.4,11.89,163.5,13.62,12,83.14,B,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
15 - 6,146,Jake Bates,K,3rd World Immigrant,129.37,7.61,122.0,9.38,13,83.13,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
10 - 10,100,Jayden Reed,WR,Metcalves of Steele,180.45,12.03,168.1,12.93,13,83.11,B,{5E530C03-3F19-48F0-A309-52B769E76347}
5 - 10,50,Malik Nabers,WR,All my homies hate Dallas,222.57,14.84,182.1,16.55,11,82.43,B-,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
1 - 5,5,CeeDee Lamb,WR,It's Britney's Bench,316.73,21.12,219.3,16.87,13,82.23,B-,{30B3E10C-D363-4E74-8961-7D4829DE152A}
2 - 2,12,Garrett Wilson,WR,Patrick's Stars,251.59,16.77,199.2,15.32,13,82.13,B-,{99C913F4-1FF6-4361-93D2-117EA19F759C}
8 - 9,79,Brock Purdy,QB,Chicken Fried Chicken Meal,259.3,17.29,215.46,16.57,13,82.11,B-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
16 - 9,159,Lions D/ST,D/ST,Chicken Fried Chicken Meal,117.28,6.9,112.0,8.62,13,81.62,B-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
5 - 5,45,D'Andre Swift,RB,It's Britney's Bench,180.74,12.91,171.7,13.21,13,81.08,B-,{30B3E10C-D363-4E74-8961-7D4829DE152A}
12 - 5,115,Rico Dowdle,RB,3rd World Immigrant,148.5,10.61,148.6,12.38,12,81.04,B-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
13 - 6,126,Caleb Williams,QB,3rd World Immigrant,252.19,16.81,204.34,15.72,13,80.82,B-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
6 - 1,51,DJ Moore,WR,All my homies hate Dallas,223.6,14.91,174.8,13.45,13,80.55,B-,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
5 - 3,43,Nico Collins,WR,I'm Batman,229.68,15.31,156.2,19.52,8,80.24,B-,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
2 - 3,13,Puka Nacua,WR,Dak Stinks,257.99,17.2,170.1,18.9,9,79.74,C+,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
12 - 1,111,Tua Tagovailoa,QB,All my homies hate Dallas,240.5,16.03,165.24,18.36,9,79.36,C+,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
15 - 9,149,Kirk Cousins,QB,Patrick's Stars,250.92,16.73,169.84,13.06,13,79.3,C+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
5 - 9,49,Patrick Mahomes,QB,Patrick's Stars,307.68,20.51,217.56,16.74,13,79.28,C+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
5 - 4,44,Zay Flowers,WR,Division iPad,216.41,14.43,174.7,13.44,13,79.15,C+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
1 - 3,3,Breece Hall,RB,I'm Batman,289.43,20.67,189.3,15.77,12,78.6,C+,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
3 - 9,29,Rachaad White,RB,Patrick's Stars,225.31,16.09,170.1,14.18,12,78.42,C+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
3 - 7,27,Travis Kelce,TE,Olave Another,209.13,13.94,158.3,12.18,13,78.16,C+,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
4 - 2,32,Kenneth Walker III,RB,Patrick's Stars,212.4,15.17,167.3,16.73,10,77.91,C+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
7 - 9,69,Chris Godwin,WR,Patrick's Stars,214.03,14.27,137.8,19.69,7,77.86,C+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
6 - 10,60,George Pickens,WR,Metcalves of Steele,208.97,13.93,155.4,12.95,12,77.53,C+,{5E530C03-3F19-48F0-A309-52B769E76347}
13 - 4,124,Jameson Williams,WR,Division iPad,161.76,10.78,139.6,12.69,11,77.48,C+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
8 - 5,75,Rhamondre Stevenson,RB,3rd World Immigrant,191.88,13.71,154.0,12.83,12,77.33,C+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
4 - 5,35,Cooper Kupp,WR,3rd World Immigrant,217.96,14.53,165.7,16.57,10,77.2,C+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
13 - 7,127,Aaron Rodgers,QB,Olave Another,265.24,17.68,188.24,14.48,13,76.79,C,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
7 - 4,64,David Njoku,TE,Division iPad,170.71,11.38,133.9,13.39,10,76.64,C,{A279F58E-795F-4115-B9F5-8E795F7115FC}
6 - 8,58,C.J. Stroud,QB,I'm Batman,276.58,18.44,180.58,13.89,13,75.19,C,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
8 - 1,71,Brian Robinson Jr.,RB,All my homies hate Dallas,178.79,12.77,134.5,13.45,10,75.07,C,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
2 - 1,11,A.J. Brown,WR,All my homies hate Dallas,259.78,17.32,155.6,15.56,10,74.62,C,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
7 - 3,63,Tee Higgins,WR,I'm Batman,202.03,14.43,133.1,16.64,8,74.6,C,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
1 - 4,4,Tyreek Hill,WR,Division iPad,298.89,19.93,177.2,13.63,13,74.58,C,{A279F58E-795F-4115-B9F5-8E795F7115FC}
12 - 10,120,Pat Freiermuth,TE,Metcalves of Steele,138.09,9.21,119.0,9.15,13,74.46,C,{5E530C03-3F19-48F0-A309-52B769E76347}
9 - 7,87,Austin Ekeler,RB,Olave Another,173.46,12.39,127.1,11.55,11,74.38,C,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
6 - 3,53,Calvin Ridley,WR,Dak Stinks,219.39,14.63,149.0,11.46,13,74.34,C,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
11 - 10,110,49ers D/ST,D/ST,All my homies hate Dallas,142.99,8.41,99.0,7.07,14,73.95,C,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
2 - 8,18,Davante Adams,WR,I'm Batman,234.0,15.6,148.2,14.82,10,73.82,C,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
3 - 1,21,Mike Evans,WR,Metcalves of Steele,235.36,15.69,144.0,14.4,10,73.38,C,{5E530C03-3F19-48F0-A309-52B769E76347}
5 - 2,42,Mark Andrews,TE,Chicken Fried Chicken Meal,188.32,12.55,134.4,10.34,13,73.03,C,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
3 - 5,25,Marvin Harrison Jr.,WR,It's Britney's Bench,227.94,15.2,150.5,11.58,13,72.66,C-,{30B3E10C-D363-4E74-8961-7D4829DE152A}
15 - 3,143,Justin Tucker,K,I'm Batman,136.3,8.02,96.0,7.38,13,72.62,C-,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
15 - 5,145,Jake Moody,K,It's Britney's Bench,128.14,7.54,89.0,8.09,11,72.5,C-,{30B3E10C-D363-4E74-8961-7D4829DE152A}
9 - 6,86,DeAndre Hopkins,WR,3rd World Immigrant,177.87,12.7,128.0,9.85,13,72.2,C-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
11 - 2,102,Dallas Goedert,TE,Chicken Fried Chicken Meal,152.14,10.14,94.1,10.46,9,71.98,C-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
4 - 10,40,DK Metcalf,WR,Metcalves of Steele,224.9,14.99,149.2,13.56,11,71.59,C-,{5E530C03-3F19-48F0-A309-52B769E76347}
9 - 10,90,Xavier Worthy,WR,All my homies hate Dallas,176.21,11.75,124.2,9.55,13,71.43,C-,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
5 - 6,46,Jaylen Waddle,WR,3rd World Immigrant,219.17,14.61,140.6,10.82,13,70.5,C-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
5 - 7,47,DeVonta Smith,WR,Olave Another,225.23,15.02,130.3,13.03,10,69.93,D+,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
1 - 10,10,Jonathan Taylor,RB,All my homies hate Dallas,256.83,18.34,142.2,14.22,10,69.65,D+,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
13 - 9,129,Rome Odunze,WR,Patrick's Stars,175.21,11.68,123.0,9.46,13,69.6,D+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
7 - 7,67,Javonte Williams,RB,Olave Another,185.2,13.23,128.5,9.88,13,69.12,D+,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
14 - 9,139,Adam Thielen,WR,Chicken Fried Chicken Meal,171.4,11.43,76.7,12.78,6,69.1,D+,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
8 - 8,78,Keenan Allen,WR,I'm Batman,202.19,15.55,124.1,11.28,11,68.7,D+,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
15 - 4,144,Chiefs D/ST,D/ST,Division iPad,113.49,6.68,77.0,5.92,13,68.67,D+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
14 - 7,137,Dalton Schultz,TE,Division iPad,133.13,8.88,89.4,6.88,13,67.46,D+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
4 - 9,39,Stefon Diggs,WR,Chicken Fried Chicken Meal,226.85,15.12,121.92,15.24,8,67.33,D+,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
16 - 3,153,Evan McPherson,K,Dak Stinks,132.18,7.78,83.0,6.92,12,67.1,D+,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
11 - 9,109,Jake Elliott,K,Patrick's Stars,138.95,8.17,84.0,6.46,13,67.09,D+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
12 - 9,119,Harrison Butker,K,Chicken Fried Chicken Meal,140.64,8.27,79.0,8.78,9,65.59,D,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
7 - 10,70,Kyle Pitts,TE,All my homies hate Dallas,167.16,11.14,104.8,8.06,13,65.32,D,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
5 - 1,41,Sam LaPorta,TE,Metcalves of Steele,209.78,13.99,110.5,9.21,12,65.16,D,{5E530C03-3F19-48F0-A309-52B769E76347}
7 - 6,66,Anthony Richardson,QB,3rd World Immigrant,275.89,18.39,128.74,14.3,9,64.77,D,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
10 - 2,92,Jets D/ST,D/ST,Patrick's Stars,146.23,8.6,80.0,6.15,13,64.57,D,{99C913F4-1FF6-4361-93D2-117EA19F759C}
3 - 2,22,Deebo Samuel Sr.,WR,Chicken Fried Chicken Meal,221.23,15.8,119.4,9.18,13,64.48,D,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
12 - 8,118,Tyler Lockett,WR,I'm Batman,170.33,12.17,104.1,8.01,13,64.44,D,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
8 - 3,73,Tank Dell,WR,Dak Stinks,211.88,14.13,112.1,9.34,12,64.19,D,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
15 - 8,148,Tyler Conklin,TE,Dak Stinks,128.46,8.56,79.7,6.13,13,64.1,D,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
10 - 5,95,Jerome Ford,RB,3rd World Immigrant,142.8,10.2,89.3,8.12,11,63.84,D,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
6 - 4,54,Evan Engram,TE,Olave Another,183.21,12.21,89.5,9.94,9,63.68,D,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
8 - 4,74,Amari Cooper,WR,Olave Another,209.6,13.97,106.1,9.65,11,63.2,D,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
14 - 5,135,Saints D/ST,D/ST,3rd World Immigrant,129.75,7.63,69.0,5.31,13,62.98,D-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
3 - 3,23,Michael Pittman Jr.,WR,I'm Batman,230.91,15.39,113.0,9.42,12,62.93,D-,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
7 - 8,68,Dak Prescott,QB,Dak Stinks,276.67,18.44,116.52,14.57,8,62.85,D-,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
16 - 1,151,Tyler Allgeier,RB,All my homies hate Dallas,141.24,10.09,87.0,6.69,13,62.83,D-,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
12 - 6,116,Zack Moss,RB,It's Britney's Bench,155.33,11.09,81.9,10.24,8,62.62,D-,{30B3E10C-D363-4E74-8961-7D4829DE152A}
10 - 3,93,Jake Ferguson,TE,Dak Stinks,165.68,11.05,84.1,8.41,10,62.56,D-,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
10 - 6,96,Keon Coleman,WR,It's Britney's Bench,169.97,11.33,83.7,9.3,9,61.72,D-,{30B3E10C-D363-4E74-8961-7D4829DE152A}
16 - 6,156,Joshua Palmer,WR,It's Britney's Bench,168.28,11.22,87.2,7.27,12,61.49,D-,{30B3E10C-D363-4E74-8961-7D4829DE152A}
9 - 3,83,Jaylen Warren,RB,I'm Batman,177.64,12.69,89.1,8.1,11,61.15,D-,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
11 - 5,105,T.J. Hockenson,TE,It's Britney's Bench,130.0,13.0,56.9,9.48,6,60.22,D-,{30B3E10C-D363-4E74-8961-7D4829DE152A}
6 - 2,52,Dalton Kincaid,TE,Patrick's Stars,172.22,11.48,81.6,8.16,10,60.12,D-,{99C913F4-1FF6-4361-93D2-117EA19F759C}
