League,Year,Week,Home Team,Home Score,Home Predicted Score,Away Team,Away Score,Away Predicted Score,Predicted Winner,Actual Winner
Pennoni Younglings,2022,1,Philadelphia British Army,73.98,102.33,19th St Halal Cart,122.82,104.64,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2022,1,Rizzo's Crash Test Dummy,115.1,103.08,Came and Wentz,84.22,103.71,Came and Wentz,Rizzo's Crash Test Dummy
Pennoni Younglings,2022,1,PAI Athletic Director,87.76,101.24,PAI Alcoholics Anonymous ,115.6,99.48,PAI Athletic Director,PAI Alcoholics Anonymous 
Pennoni Younglings,2022,1,Book of MoreMoms,106.86,111.21,Team Corner Office,116.88,108.96,Book of MoreMoms,Team Corner Office
Pennoni Younglings,2022,1,The Golden Receivers,115.02,105.1,Girth Brooks,79.6,105.7,Girth Brooks,The Golden Receivers
Pennoni Younglings,2022,1,I'd_Tap_ That,85.46,98.66,Team Cogs,88.62,108.8,Team Cogs,Team Cogs
Pennoni Younglings,2022,2,19th St Halal Cart,95.82,107.37,Came and Wentz,151.38,101.21,19th St Halal Cart,Came and Wentz
Pennoni Younglings,2022,2,PAI Alcoholics Anonymous ,85.6,99.26,Philadelphia British Army,108.08,103.27,Philadelphia British Army,Philadelphia British Army
Pennoni Younglings,2022,2,PAI Athletic Director,86.1,94.23,Rizzo's Crash Test Dummy,111.06,105.33,Rizzo's Crash Test Dummy,Rizzo's Crash Test Dummy
Pennoni Younglings,2022,2,Team Corner Office,101.8,107.28,Girth Brooks,98.58,104.14,Team Corner Office,Team Corner Office
Pennoni Younglings,2022,2,Team Cogs,141.02,101.02,Book of MoreMoms,103.04,107.43,Book of MoreMoms,Team Cogs
Pennoni Younglings,2022,2,I'd_Tap_ That,88.16,101.04,The Golden Receivers,106.66,109.27,The Golden Receivers,The Golden Receivers
Pennoni Younglings,2022,3,PAI Alcoholics Anonymous ,101.18,98.39,19th St Halal Cart,94.3,110.6,19th St Halal Cart,PAI Alcoholics Anonymous 
Pennoni Younglings,2022,3,Came and Wentz,87.56,103.55,PAI Athletic Director,96.62,92.36,Came and Wentz,PAI Athletic Director
Pennoni Younglings,2022,3,Philadelphia British Army,140.0,100.61,Rizzo's Crash Test Dummy,102.76,105.81,Rizzo's Crash Test Dummy,Philadelphia British Army
Pennoni Younglings,2022,3,Team Cogs,122.22,113.46,Team Corner Office,88.54,105.03,Team Cogs,Team Cogs
Pennoni Younglings,2022,3,Girth Brooks,65.06,110.2,I'd_Tap_ That,97.28,104.38,Girth Brooks,I'd_Tap_ That
Pennoni Younglings,2022,3,Book of MoreMoms,95.9,111.46,The Golden Receivers,107.5,107.19,Book of MoreMoms,The Golden Receivers
Pennoni Younglings,2022,4,19th St Halal Cart,126.86,106.16,PAI Athletic Director,95.52,99.35,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2022,4,Rizzo's Crash Test Dummy,97.28,111.33,PAI Alcoholics Anonymous ,120.66,100.02,Rizzo's Crash Test Dummy,PAI Alcoholics Anonymous 
Pennoni Younglings,2022,4,Philadelphia British Army,107.02,106.14,Came and Wentz,107.88,99.06,Philadelphia British Army,Came and Wentz
Pennoni Younglings,2022,4,Team Corner Office,111.8,107.22,I'd_Tap_ That,92.0,95.93,Team Corner Office,Team Corner Office
Pennoni Younglings,2022,4,The Golden Receivers,140.98,108.2,Team Cogs,135.26,117.2,Team Cogs,The Golden Receivers
Pennoni Younglings,2022,4,Book of MoreMoms,158.3,107.09,Girth Brooks,65.86,98.38,Book of MoreMoms,Book of MoreMoms
Pennoni Younglings,2022,5,Rizzo's Crash Test Dummy,114.46,109.71,19th St Halal Cart,115.56,114.77,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2022,5,PAI Athletic Director,74.54,98.32,Philadelphia British Army,123.36,110.06,Philadelphia British Army,Philadelphia British Army
Pennoni Younglings,2022,5,PAI Alcoholics Anonymous ,93.48,101.42,Came and Wentz,152.5,104.08,Came and Wentz,Came and Wentz
Pennoni Younglings,2022,5,The Golden Receivers,111.68,118.52,Team Corner Office,99.34,104.22,The Golden Receivers,The Golden Receivers
Pennoni Younglings,2022,5,I'd_Tap_ That,76.52,101.18,Book of MoreMoms,105.54,106.53,Book of MoreMoms,Book of MoreMoms
Pennoni Younglings,2022,5,Team Cogs,116.06,112.01,Girth Brooks,60.18,89.74,Team Cogs,Team Cogs
Pennoni Younglings,2022,6,19th St Halal Cart,88.4,90.31,Team Corner Office,62.22,97.04,Team Corner Office,19th St Halal Cart
Pennoni Younglings,2022,6,Philadelphia British Army,75.46,101.91,Book of MoreMoms,72.98,100.78,Philadelphia British Army,Philadelphia British Army
Pennoni Younglings,2022,6,Came and Wentz,91.28,103.86,Girth Brooks,89.82,85.91,Came and Wentz,Came and Wentz
Pennoni Younglings,2022,6,PAI Alcoholics Anonymous ,95.22,96.91,Team Cogs,100.3,107.03,Team Cogs,Team Cogs
Pennoni Younglings,2022,6,PAI Athletic Director,78.82,94.8,I'd_Tap_ That,85.12,90.03,PAI Athletic Director,I'd_Tap_ That
Pennoni Younglings,2022,6,Rizzo's Crash Test Dummy,144.24,111.75,The Golden Receivers,93.8,112.97,The Golden Receivers,Rizzo's Crash Test Dummy
Pennoni Younglings,2022,7,Team Corner Office,88.02,90.55,Philadelphia British Army,77.86,97.7,Philadelphia British Army,Team Corner Office
Pennoni Younglings,2022,7,Book of MoreMoms,81.78,93.02,Came and Wentz,92.76,109.94,Came and Wentz,Came and Wentz
Pennoni Younglings,2022,7,Girth Brooks,105.18,101.11,PAI Alcoholics Anonymous ,125.42,93.31,Girth Brooks,PAI Alcoholics Anonymous 
Pennoni Younglings,2022,7,Team Cogs,97.5,104.59,PAI Athletic Director,89.94,95.1,Team Cogs,Team Cogs
Pennoni Younglings,2022,7,I'd_Tap_ That,76.52,83.95,Rizzo's Crash Test Dummy,104.62,107.85,Rizzo's Crash Test Dummy,Rizzo's Crash Test Dummy
Pennoni Younglings,2022,7,The Golden Receivers,104.54,106.37,19th St Halal Cart,104.16,89.75,The Golden Receivers,The Golden Receivers
Pennoni Younglings,2022,8,Came and Wentz,107.38,93.65,Team Corner Office,117.0,97.87,Team Corner Office,Team Corner Office
Pennoni Younglings,2022,8,PAI Alcoholics Anonymous ,125.46,102.07,Book of MoreMoms,116.98,98.88,PAI Alcoholics Anonymous ,PAI Alcoholics Anonymous 
Pennoni Younglings,2022,8,PAI Athletic Director,104.64,91.03,Girth Brooks,106.74,100.01,Girth Brooks,Girth Brooks
Pennoni Younglings,2022,8,Rizzo's Crash Test Dummy,104.7,102.43,Team Cogs,134.58,119.11,Team Cogs,Team Cogs
Pennoni Younglings,2022,8,19th St Halal Cart,105.5,105.55,I'd_Tap_ That,91.86,71.67,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2022,8,Philadelphia British Army,147.02,109.89,The Golden Receivers,63.38,105.86,Philadelphia British Army,Philadelphia British Army
Pennoni Younglings,2022,9,Team Corner Office,92.9,97.99,PAI Alcoholics Anonymous ,106.84,106.48,PAI Alcoholics Anonymous ,PAI Alcoholics Anonymous 
Pennoni Younglings,2022,9,Book of MoreMoms,91.7,87.2,PAI Athletic Director,86.36,100.07,PAI Athletic Director,Book of MoreMoms
Pennoni Younglings,2022,9,Girth Brooks,67.76,96.38,Rizzo's Crash Test Dummy,119.0,105.24,Rizzo's Crash Test Dummy,Rizzo's Crash Test Dummy
Pennoni Younglings,2022,9,Team Cogs,110.72,111.82,19th St Halal Cart,105.12,102.82,Team Cogs,Team Cogs
Pennoni Younglings,2022,9,I'd_Tap_ That,92.0,91.99,Philadelphia British Army,77.2,100.18,Philadelphia British Army,I'd_Tap_ That
Pennoni Younglings,2022,9,The Golden Receivers,148.84,96.25,Came and Wentz,111.88,97.63,Came and Wentz,The Golden Receivers
Pennoni Younglings,2022,10,PAI Athletic Director,108.32,91.85,Team Corner Office,74.96,93.37,Team Corner Office,PAI Athletic Director
Pennoni Younglings,2022,10,Rizzo's Crash Test Dummy,79.68,103.33,Book of MoreMoms,113.3,104.69,Book of MoreMoms,Book of MoreMoms
Pennoni Younglings,2022,10,19th St Halal Cart,77.0,101.31,Girth Brooks,88.24,98.8,19th St Halal Cart,Girth Brooks
Pennoni Younglings,2022,10,Philadelphia British Army,117.0,108.45,Team Cogs,131.78,119.64,Team Cogs,Team Cogs
Pennoni Younglings,2022,10,Came and Wentz,87.7,95.49,I'd_Tap_ That,82.34,90.48,Came and Wentz,Came and Wentz
Pennoni Younglings,2022,10,PAI Alcoholics Anonymous ,86.94,100.56,The Golden Receivers,137.88,102.36,The Golden Receivers,The Golden Receivers
Pennoni Younglings,2022,11,Team Corner Office,68.94,74.38,Rizzo's Crash Test Dummy,91.0,98.44,Rizzo's Crash Test Dummy,Rizzo's Crash Test Dummy
Pennoni Younglings,2022,11,Book of MoreMoms,99.84,107.18,19th St Halal Cart,124.5,101.81,Book of MoreMoms,19th St Halal Cart
Pennoni Younglings,2022,11,Girth Brooks,106.24,97.49,Philadelphia British Army,112.14,105.19,Philadelphia British Army,Philadelphia British Army
Pennoni Younglings,2022,11,Team Cogs,95.52,105.02,Came and Wentz,112.84,86.44,Team Cogs,Came and Wentz
Pennoni Younglings,2022,11,I'd_Tap_ That,72.6,86.48,PAI Alcoholics Anonymous ,121.26,98.82,PAI Alcoholics Anonymous ,PAI Alcoholics Anonymous 
Pennoni Younglings,2022,11,The Golden Receivers,122.6,116.89,PAI Athletic Director,49.2,94.1,The Golden Receivers,The Golden Receivers
Pennoni Younglings,2022,12,Team Corner Office,101.74,93.17,19th St Halal Cart,112.62,105.77,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2022,12,Book of MoreMoms,117.66,112.68,Philadelphia British Army,94.12,107.46,Book of MoreMoms,Book of MoreMoms
Pennoni Younglings,2022,12,Girth Brooks,117.12,104.0,Came and Wentz,97.96,94.21,Girth Brooks,Girth Brooks
Pennoni Younglings,2022,12,Team Cogs,119.76,116.1,PAI Alcoholics Anonymous ,91.3,107.26,Team Cogs,Team Cogs
Pennoni Younglings,2022,12,I'd_Tap_ That,97.16,94.88,PAI Athletic Director,108.9,98.87,PAI Athletic Director,PAI Athletic Director
Pennoni Younglings,2022,12,The Golden Receivers,101.2,106.55,Rizzo's Crash Test Dummy,83.48,108.8,Rizzo's Crash Test Dummy,The Golden Receivers
Pennoni Younglings,2022,13,Philadelphia British Army,122.32,105.56,Team Corner Office,107.52,78.19,Philadelphia British Army,Philadelphia British Army
Pennoni Younglings,2022,13,Came and Wentz,87.7,97.67,Book of MoreMoms,93.08,104.69,Book of MoreMoms,Book of MoreMoms
Pennoni Younglings,2022,13,PAI Alcoholics Anonymous ,108.72,108.84,Girth Brooks,122.46,102.95,PAI Alcoholics Anonymous ,Girth Brooks
Pennoni Younglings,2022,13,PAI Athletic Director,102.0,88.12,Team Cogs,120.86,117.19,Team Cogs,Team Cogs
Pennoni Younglings,2022,13,Rizzo's Crash Test Dummy,81.96,115.97,I'd_Tap_ That,99.9,95.76,Rizzo's Crash Test Dummy,I'd_Tap_ That
Pennoni Younglings,2022,13,19th St Halal Cart,147.8,101.84,The Golden Receivers,104.54,94.67,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2022,14,Team Corner Office,120.32,83.1,Came and Wentz,80.5,99.82,Came and Wentz,Team Corner Office
Pennoni Younglings,2022,14,Book of MoreMoms,110.56,101.43,PAI Alcoholics Anonymous ,85.68,101.71,PAI Alcoholics Anonymous ,Book of MoreMoms
Pennoni Younglings,2022,14,Girth Brooks,45.82,77.7,PAI Athletic Director,99.4,90.19,PAI Athletic Director,PAI Athletic Director
Pennoni Younglings,2022,14,Team Cogs,126.06,110.4,Rizzo's Crash Test Dummy,82.3,104.14,Team Cogs,Team Cogs
Pennoni Younglings,2022,14,I'd_Tap_ That,109.78,91.97,19th St Halal Cart,118.58,108.2,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2022,14,The Golden Receivers,94.66,105.65,Philadelphia British Army,107.08,108.34,Philadelphia British Army,Philadelphia British Army
Pennoni Younglings,2022,15,Team Cogs,116.98,116.12,Rizzo's Crash Test Dummy,105.4,108.66,Team Cogs,Team Cogs
Pennoni Younglings,2022,15,Philadelphia British Army,136.56,109.68,Book of MoreMoms,117.74,100.76,Philadelphia British Army,Philadelphia British Army
Pennoni Younglings,2022,15,19th St Halal Cart,93.1,110.0,PAI Alcoholics Anonymous ,109.64,98.64,19th St Halal Cart,PAI Alcoholics Anonymous 
Pennoni Younglings,2022,15,The Golden Receivers,106.7,107.33,Came and Wentz,95.66,97.19,The Golden Receivers,The Golden Receivers
Pennoni Younglings,2022,15,Team Corner Office,121.48,98.13,PAI Athletic Director,107.78,88.75,Team Corner Office,Team Corner Office
Pennoni Younglings,2022,15,I'd_Tap_ That,79.62,90.84,Girth Brooks,85.5,101.62,Girth Brooks,Girth Brooks
Pennoni Younglings,2022,16,Team Cogs,84.26,115.88,Philadelphia British Army,145.68,113.95,Team Cogs,Philadelphia British Army
Pennoni Younglings,2022,16,The Golden Receivers,96.8,102.95,PAI Alcoholics Anonymous ,84.36,104.79,PAI Alcoholics Anonymous ,The Golden Receivers
Pennoni Younglings,2022,16,19th St Halal Cart,83.16,94.43,Book of MoreMoms,109.4,100.56,Book of MoreMoms,Book of MoreMoms
Pennoni Younglings,2022,16,Came and Wentz,133.7,91.76,Rizzo's Crash Test Dummy,96.76,109.36,Rizzo's Crash Test Dummy,Came and Wentz
Pennoni Younglings,2022,16,Team Corner Office,78.04,101.43,Girth Brooks,102.16,95.55,Team Corner Office,Girth Brooks
Pennoni Younglings,2022,16,PAI Athletic Director,151.7,82.91,I'd_Tap_ That,91.0,85.31,I'd_Tap_ That,PAI Athletic Director
Pennoni Younglings,2022,17,The Golden Receivers,27.0,27.0,Philadelphia British Army,53.0,53.0,Philadelphia British Army,Philadelphia British Army
Pennoni Younglings,2022,17,Team Cogs,104.4,104.4,PAI Alcoholics Anonymous ,129.22,129.22,PAI Alcoholics Anonymous ,PAI Alcoholics Anonymous 
Pennoni Younglings,2022,17,Book of MoreMoms,69.48,69.48,Came and Wentz,81.44,81.44,Came and Wentz,Came and Wentz
Pennoni Younglings,2022,17,19th St Halal Cart,132.76,132.76,Rizzo's Crash Test Dummy,73.7,73.7,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2022,17,PAI Athletic Director,110.8,110.8,Girth Brooks,107.68,107.68,PAI Athletic Director,PAI Athletic Director
Pennoni Younglings,2022,17,Team Corner Office,120.14,120.14,I'd_Tap_ That,100.58,100.58,Team Corner Office,Team Corner Office
Pennoni Younglings,2023,1,Philadelphia British Army,96.76,0.0,Came and Wentz,107.76,32.23,Came and Wentz,Came and Wentz
Pennoni Younglings,2023,1,Prahlad's Ghost,91.64,7.99,19th St Halal Cart,96.44,20.58,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2023,1,PAI India Division Manager,81.56,7.72,Pennoni Adjacent,90.24,7.95,Pennoni Adjacent,Pennoni Adjacent
Pennoni Younglings,2023,1,Book of MoreMoms,94.52,7.81,PAI Alcoholics Anonymous ,61.88,8.34,PAI Alcoholics Anonymous ,Book of MoreMoms
Pennoni Younglings,2023,1,The Golden Receivers,111.54,7.67,Team Cogs,121.56,19.88,Team Cogs,Team Cogs
Pennoni Younglings,2023,1,I'd_Tap_ That,62.6,18.18,Bli Erinker,119.88,7.77,I'd_Tap_ That,Bli Erinker
Pennoni Younglings,2023,2,19th St Halal Cart,111.56,112.6,Came and Wentz,103.0,100.72,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2023,2,PAI Alcoholics Anonymous ,114.88,109.22,Philadelphia British Army,98.0,108.03,PAI Alcoholics Anonymous ,PAI Alcoholics Anonymous 
Pennoni Younglings,2023,2,PAI India Division Manager,132.88,116.38,Prahlad's Ghost,104.7,116.36,PAI India Division Manager,PAI India Division Manager
Pennoni Younglings,2023,2,Pennoni Adjacent,110.94,101.02,Bli Erinker,114.56,110.46,Bli Erinker,Bli Erinker
Pennoni Younglings,2023,2,Team Cogs,108.16,110.15,Book of MoreMoms,113.9,109.58,Team Cogs,Book of MoreMoms
Pennoni Younglings,2023,2,I'd_Tap_ That,102.22,109.52,The Golden Receivers,73.84,103.65,I'd_Tap_ That,I'd_Tap_ That
Pennoni Younglings,2023,3,PAI Alcoholics Anonymous ,122.46,105.47,19th St Halal Cart,138.02,112.54,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2023,3,Came and Wentz,102.5,107.12,PAI India Division Manager,152.74,118.48,PAI India Division Manager,PAI India Division Manager
Pennoni Younglings,2023,3,Philadelphia British Army,137.74,104.6,Prahlad's Ghost,118.98,119.63,Prahlad's Ghost,Philadelphia British Army
Pennoni Younglings,2023,3,Team Cogs,118.68,119.21,Pennoni Adjacent,99.46,98.14,Team Cogs,Team Cogs
Pennoni Younglings,2023,3,Bli Erinker,134.16,115.74,I'd_Tap_ That,91.48,113.08,Bli Erinker,Bli Erinker
Pennoni Younglings,2023,3,Book of MoreMoms,133.06,112.11,The Golden Receivers,79.16,97.25,Book of MoreMoms,Book of MoreMoms
Pennoni Younglings,2023,4,19th St Halal Cart,134.6,113.1,PAI India Division Manager,117.4,119.2,PAI India Division Manager,19th St Halal Cart
Pennoni Younglings,2023,4,Prahlad's Ghost,95.32,112.36,PAI Alcoholics Anonymous ,76.8,108.31,Prahlad's Ghost,Prahlad's Ghost
Pennoni Younglings,2023,4,Philadelphia British Army,95.12,104.32,Came and Wentz,104.28,109.59,Came and Wentz,Came and Wentz
Pennoni Younglings,2023,4,Pennoni Adjacent,106.58,110.12,I'd_Tap_ That,112.76,107.88,Pennoni Adjacent,I'd_Tap_ That
Pennoni Younglings,2023,4,The Golden Receivers,115.3,92.97,Team Cogs,125.06,110.13,Team Cogs,Team Cogs
Pennoni Younglings,2023,4,Book of MoreMoms,77.64,104.87,Bli Erinker,134.98,110.68,Bli Erinker,Bli Erinker
Pennoni Younglings,2023,5,Prahlad's Ghost,97.34,108.78,19th St Halal Cart,112.76,118.32,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2023,5,PAI India Division Manager,82.74,105.74,Philadelphia British Army,128.84,103.73,PAI India Division Manager,Philadelphia British Army
Pennoni Younglings,2023,5,PAI Alcoholics Anonymous ,123.28,105.11,Came and Wentz,106.84,95.03,PAI Alcoholics Anonymous ,PAI Alcoholics Anonymous 
Pennoni Younglings,2023,5,The Golden Receivers,106.0,105.51,Pennoni Adjacent,122.38,95.84,The Golden Receivers,Pennoni Adjacent
Pennoni Younglings,2023,5,I'd_Tap_ That,136.42,109.43,Book of MoreMoms,91.32,103.59,I'd_Tap_ That,I'd_Tap_ That
Pennoni Younglings,2023,5,Team Cogs,144.06,109.9,Bli Erinker,93.42,112.91,Bli Erinker,Team Cogs
Pennoni Younglings,2023,6,19th St Halal Cart,111.66,130.4,Pennoni Adjacent,109.92,108.14,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2023,6,Philadelphia British Army,102.2,110.74,Book of MoreMoms,95.58,108.61,Philadelphia British Army,Philadelphia British Army
Pennoni Younglings,2023,6,Came and Wentz,115.58,106.37,Bli Erinker,104.98,117.02,Bli Erinker,Came and Wentz
Pennoni Younglings,2023,6,PAI Alcoholics Anonymous ,98.64,106.33,Team Cogs,89.14,122.92,Team Cogs,PAI Alcoholics Anonymous 
Pennoni Younglings,2023,6,PAI India Division Manager,116.72,111.93,I'd_Tap_ That,123.5,112.76,I'd_Tap_ That,I'd_Tap_ That
Pennoni Younglings,2023,6,Prahlad's Ghost,96.24,104.06,The Golden Receivers,96.44,104.96,The Golden Receivers,The Golden Receivers
Pennoni Younglings,2023,7,Pennoni Adjacent,71.2,81.75,Philadelphia British Army,89.16,115.04,Philadelphia British Army,Philadelphia British Army
Pennoni Younglings,2023,7,Book of MoreMoms,119.8,93.42,Came and Wentz,69.86,98.33,Came and Wentz,Book of MoreMoms
Pennoni Younglings,2023,7,Bli Erinker,111.14,112.16,PAI Alcoholics Anonymous ,100.14,84.81,Bli Erinker,Bli Erinker
Pennoni Younglings,2023,7,Team Cogs,90.42,116.81,PAI India Division Manager,164.38,119.08,PAI India Division Manager,PAI India Division Manager
Pennoni Younglings,2023,7,I'd_Tap_ That,103.96,104.24,Prahlad's Ghost,118.06,99.7,I'd_Tap_ That,Prahlad's Ghost
Pennoni Younglings,2023,7,The Golden Receivers,109.16,98.83,19th St Halal Cart,97.7,114.03,19th St Halal Cart,The Golden Receivers
Pennoni Younglings,2023,8,Came and Wentz,126.22,107.29,Pennoni Adjacent,125.3,108.4,Pennoni Adjacent,Came and Wentz
Pennoni Younglings,2023,8,PAI Alcoholics Anonymous ,134.52,102.18,Book of MoreMoms,82.86,106.74,Book of MoreMoms,PAI Alcoholics Anonymous 
Pennoni Younglings,2023,8,PAI India Division Manager,121.08,129.56,Bli Erinker,127.76,114.42,PAI India Division Manager,Bli Erinker
Pennoni Younglings,2023,8,Prahlad's Ghost,79.3,102.49,Team Cogs,128.16,110.1,Team Cogs,Team Cogs
Pennoni Younglings,2023,8,19th St Halal Cart,148.36,115.74,I'd_Tap_ That,95.66,110.57,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2023,8,Philadelphia British Army,90.86,112.25,The Golden Receivers,123.54,110.39,Philadelphia British Army,The Golden Receivers
Pennoni Younglings,2023,9,Pennoni Adjacent,112.14,105.28,PAI Alcoholics Anonymous ,79.22,105.48,PAI Alcoholics Anonymous ,Pennoni Adjacent
Pennoni Younglings,2023,9,Book of MoreMoms,120.06,103.1,PAI India Division Manager,86.08,110.5,PAI India Division Manager,Book of MoreMoms
Pennoni Younglings,2023,9,Bli Erinker,88.42,98.24,Prahlad's Ghost,116.2,100.06,Prahlad's Ghost,Prahlad's Ghost
Pennoni Younglings,2023,9,Team Cogs,150.2,109.62,19th St Halal Cart,95.22,110.19,19th St Halal Cart,Team Cogs
Pennoni Younglings,2023,9,I'd_Tap_ That,84.98,95.89,Philadelphia British Army,87.62,111.2,Philadelphia British Army,Philadelphia British Army
Pennoni Younglings,2023,9,The Golden Receivers,116.88,109.08,Came and Wentz,90.04,94.08,The Golden Receivers,The Golden Receivers
Pennoni Younglings,2023,10,PAI India Division Manager,156.16,104.21,Pennoni Adjacent,78.9,108.07,Pennoni Adjacent,PAI India Division Manager
Pennoni Younglings,2023,10,Prahlad's Ghost,82.1,93.9,Book of MoreMoms,135.86,102.63,Book of MoreMoms,Book of MoreMoms
Pennoni Younglings,2023,10,19th St Halal Cart,126.68,116.31,Bli Erinker,117.22,109.97,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2023,10,Philadelphia British Army,84.88,104.75,Team Cogs,120.04,101.31,Philadelphia British Army,Team Cogs
Pennoni Younglings,2023,10,Came and Wentz,102.92,101.62,I'd_Tap_ That,151.64,94.95,Came and Wentz,I'd_Tap_ That
Pennoni Younglings,2023,10,PAI Alcoholics Anonymous ,117.38,93.88,The Golden Receivers,105.86,101.01,The Golden Receivers,PAI Alcoholics Anonymous 
Pennoni Younglings,2023,11,Pennoni Adjacent,57.5,90.83,Prahlad's Ghost,100.88,101.54,Prahlad's Ghost,Prahlad's Ghost
Pennoni Younglings,2023,11,Book of MoreMoms,115.56,108.05,19th St Halal Cart,107.4,117.68,19th St Halal Cart,Book of MoreMoms
Pennoni Younglings,2023,11,Bli Erinker,82.54,106.98,Philadelphia British Army,95.14,100.79,Bli Erinker,Philadelphia British Army
Pennoni Younglings,2023,11,Team Cogs,103.64,115.0,Came and Wentz,68.1,86.69,Team Cogs,Team Cogs
Pennoni Younglings,2023,11,I'd_Tap_ That,106.22,102.05,PAI Alcoholics Anonymous ,111.34,107.66,PAI Alcoholics Anonymous ,PAI Alcoholics Anonymous 
Pennoni Younglings,2023,11,The Golden Receivers,106.9,109.61,PAI India Division Manager,139.66,122.38,PAI India Division Manager,PAI India Division Manager
Pennoni Younglings,2023,12,Pennoni Adjacent,83.48,112.68,19th St Halal Cart,146.66,115.8,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2023,12,Book of MoreMoms,133.84,111.88,Philadelphia British Army,115.9,104.9,Book of MoreMoms,Book of MoreMoms
Pennoni Younglings,2023,12,Bli Erinker,121.7,112.94,Came and Wentz,104.08,101.13,Bli Erinker,Bli Erinker
Pennoni Younglings,2023,12,Team Cogs,146.26,109.54,PAI Alcoholics Anonymous ,96.06,109.36,Team Cogs,Team Cogs
Pennoni Younglings,2023,12,I'd_Tap_ That,71.76,97.78,PAI India Division Manager,101.68,124.23,PAI India Division Manager,PAI India Division Manager
Pennoni Younglings,2023,12,The Golden Receivers,132.8,117.43,Prahlad's Ghost,95.42,104.11,The Golden Receivers,The Golden Receivers
Pennoni Younglings,2023,13,Philadelphia British Army,75.18,89.87,Pennoni Adjacent,95.24,96.44,Pennoni Adjacent,Pennoni Adjacent
Pennoni Younglings,2023,13,Came and Wentz,82.38,99.13,Book of MoreMoms,108.56,106.91,Book of MoreMoms,Book of MoreMoms
Pennoni Younglings,2023,13,PAI Alcoholics Anonymous ,155.06,104.23,Bli Erinker,150.5,116.68,Bli Erinker,PAI Alcoholics Anonymous 
Pennoni Younglings,2023,13,PAI India Division Manager,94.6,118.4,Team Cogs,103.36,101.0,PAI India Division Manager,Team Cogs
Pennoni Younglings,2023,13,Prahlad's Ghost,93.4,108.08,I'd_Tap_ That,112.84,95.77,Prahlad's Ghost,I'd_Tap_ That
Pennoni Younglings,2023,13,19th St Halal Cart,114.2,109.93,The Golden Receivers,114.62,105.08,19th St Halal Cart,The Golden Receivers
Pennoni Younglings,2023,14,Prahlad's Ghost,86.64,106.46,Came and Wentz,88.94,95.86,Prahlad's Ghost,Came and Wentz
Pennoni Younglings,2023,14,PAI India Division Manager,114.24,117.32,PAI Alcoholics Anonymous ,119.76,110.06,PAI India Division Manager,PAI Alcoholics Anonymous 
Pennoni Younglings,2023,14,Pennoni Adjacent,128.72,100.41,Book of MoreMoms,71.54,110.47,Book of MoreMoms,Pennoni Adjacent
Pennoni Younglings,2023,14,The Golden Receivers,105.48,107.89,Bli Erinker,105.4,116.08,Bli Erinker,The Golden Receivers
Pennoni Younglings,2023,14,Philadelphia British Army,115.46,99.16,19th St Halal Cart,120.22,120.03,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2023,14,Team Cogs,80.94,109.65,I'd_Tap_ That,80.42,92.95,Team Cogs,Team Cogs
Pennoni Younglings,2023,15,Team Cogs,126.36,100.67,I'd_Tap_ That,91.48,95.74,Team Cogs,Team Cogs
Pennoni Younglings,2023,15,PAI Alcoholics Anonymous ,110.92,109.89,Bli Erinker,116.56,101.02,PAI Alcoholics Anonymous ,Bli Erinker
Pennoni Younglings,2023,15,Book of MoreMoms,105.66,111.89,The Golden Receivers,97.42,110.91,Book of MoreMoms,Book of MoreMoms
Pennoni Younglings,2023,15,19th St Halal Cart,131.86,125.38,PAI India Division Manager,120.14,116.67,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2023,15,Philadelphia British Army,93.72,110.32,Pennoni Adjacent,85.24,113.63,Pennoni Adjacent,Philadelphia British Army
Pennoni Younglings,2023,15,Came and Wentz,65.22,95.68,Prahlad's Ghost,115.1,109.46,Prahlad's Ghost,Prahlad's Ghost
Pennoni Younglings,2023,16,Team Cogs,94.76,106.16,Bli Erinker,96.82,120.13,Bli Erinker,Bli Erinker
Pennoni Younglings,2023,16,19th St Halal Cart,87.78,110.18,Book of MoreMoms,114.42,110.69,Book of MoreMoms,Book of MoreMoms
Pennoni Younglings,2023,16,PAI Alcoholics Anonymous ,107.72,108.81,The Golden Receivers,112.74,106.32,PAI Alcoholics Anonymous ,The Golden Receivers
