Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Chris Boswell,K,Pain Inflictors,129.96,7.64,164.0,12.62,13,100.0,A+,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
Seahawks D/ST,D/ST,Wakanda Forever,293.68,17.28,205.8,15.83,13,99.48,A+,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
Broncos D/ST,D/ST,Cooper Troopers,319.84,18.81,204.6,15.74,13,98.38,A+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Bo Nix,QB,BB,163.22,11.66,212.28,16.33,13,97.98,A+,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Baker Mayfield,QB,Wakanda Forever,215.6,14.37,233.26,17.94,13,97.7,A+,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
Jerry Jeudy,WR,BB,146.4,9.76,154.9,11.92,13,95.53,A,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Chargers D/ST,D/ST,The Chase is on,303.78,17.87,183.0,14.08,13,93.24,A,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Sam Darnold,QB,Groot-o-Matic,163.02,12.54,210.36,16.18,13,93.09,A,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Texans D/ST,D/ST,Groot-o-Matic,290.35,17.08,212.0,16.31,13,91.97,A-,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Bills D/ST,D/ST,BB,271.01,15.94,171.1,13.16,13,89.88,B+,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Darnell Mooney,WR,Team HebAchi,146.53,9.77,146.3,11.25,13,88.48,B+,{49094F84-F849-4173-B052-21E1CDEDB4EF}
Cardinals D/ST,D/ST,Wakanda Forever,269.28,15.84,166.6,12.82,13,86.55,B,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
Cameron Dicker,K,Cooper Troopers,139.24,8.19,127.0,9.77,13,84.12,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Jonnu Smith,TE,Groot-o-Matic,67.93,4.53,131.1,10.08,13,83.69,B,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Zach Ertz,TE,Team HebAchi,58.26,3.88,104.1,8.01,13,83.5,B,{49094F84-F849-4173-B052-21E1CDEDB4EF}
Commanders D/ST,D/ST,Team CTE,273.92,16.11,168.0,12.92,13,83.26,B,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Rico Dowdle,RB,Cooper Troopers,135.03,9.65,132.1,11.01,12,82.01,B-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
