Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Cordarrelle Patterson,RB,Titan Up,84.87,5.66,234.6,14.66,16,100.0,A+,{2B6C7E1E-0755-48FB-89CE-4CFFA3D5DC1A}
Hunter Renfrow,WR,Reagor Bombs,120.99,7.56,259.1,15.24,17,96.28,A,{17471759-D3C1-4206-8612-A156BCC23AA1}
Nick Folk,K,Titan Up,127.58,7.5,168.0,9.88,17,95.78,A,{2B6C7E1E-0755-48FB-89CE-4CFFA3D5DC1A}
Eagles D/ST,D/ST,Reagor Bombs,77.33,4.55,99.0,5.82,17,89.61,B+,{17471759-D3C1-4206-8612-A156BCC23AA1}
Greg Joseph,K, Johnny  Dramas ,123.72,7.28,151.0,8.88,17,88.96,B+,{80A1B4AF-9D17-4408-BDA1-9667BD326651}
Chris Boswell,K,Team Flaherty,123.82,7.28,158.0,9.29,17,87.86,B+,{A319B00D-609E-486D-99B0-0D609EE86D5F}
K.J. Osborn,WR,Gato’s Mom Breezy,18.98,1.19,158.5,9.32,17,87.23,B+,{7F18EDA9-DAE0-410A-9EC4-FE2F20716D07}
Panthers D/ST,D/ST, Johnny  Dramas ,82.64,4.86,88.0,5.18,17,85.59,B,{80A1B4AF-9D17-4408-BDA1-9667BD326651}
Dalton Schultz,TE,Titan Up,94.0,5.88,208.8,12.28,17,84.3,B,{2B6C7E1E-0755-48FB-89CE-4CFFA3D5DC1A}
Bengals D/ST,D/ST,Dennis The Menace ,73.15,4.3,91.0,5.35,17,82.87,B-,{72E06046-9EEC-4999-A060-469EEC399959}
Cardinals D/ST,D/ST,Oversized Pumpkins,79.73,4.69,114.0,6.71,17,81.6,B-,{83937314-A1CA-41FD-A242-C9B5B534B295}
Kirk Cousins,QB,Oversized Pumpkins,248.11,15.51,300.34,18.77,16,79.6,C+,{83937314-A1CA-41FD-A242-C9B5B534B295}
Jimmy Garoppolo,QB,Titan Up,78.49,4.91,227.5,15.17,15,78.73,C+,{2B6C7E1E-0755-48FB-89CE-4CFFA3D5DC1A}
Chiefs D/ST,D/ST,Gato’s Mom Breezy,79.05,4.65,102.0,6.0,17,78.51,C+,{7F18EDA9-DAE0-410A-9EC4-FE2F20716D07}
Zay Jones,WR,Team Behel,18.67,1.17,105.9,7.06,15,77.89,C+,{59EB215C-D5A2-4E2A-B66E-E96ABD1A9B82}
Dawson Knox,TE,Reagor Bombs,110.95,6.93,164.1,10.94,15,77.11,C+,{17471759-D3C1-4206-8612-A156BCC23AA1}
Raiders D/ST,D/ST,Gato’s Mom Breezy,59.63,3.51,58.0,3.41,17,76.72,C,{7F18EDA9-DAE0-410A-9EC4-FE2F20716D07}
Kendrick Bourne,WR, Johnny  Dramas ,78.33,4.9,180.5,10.62,17,76.53,C,{80A1B4AF-9D17-4408-BDA1-9667BD326651}
Kenneth Gainwell,RB,Team Flaherty,43.07,2.87,123.4,7.71,16,71.7,C-,{A319B00D-609E-486D-99B0-0D609EE86D5F}
Van Jefferson,WR,Oversized Pumpkins,104.39,6.52,168.2,9.89,17,71.38,C-,{83937314-A1CA-41FD-A242-C9B5B534B295}
Christian Kirk,WR,Reagor Bombs,96.72,6.45,207.62,12.21,17,69.18,D+,{17471759-D3C1-4206-8612-A156BCC23AA1}
Tre'Quan Smith,WR, Johnny  Dramas ,84.76,6.52,87.7,7.97,11,68.37,D+,{80A1B4AF-9D17-4408-BDA1-9667BD326651}
Trevor Siemian,QB, Johnny  Dramas ,0.0,0.0,90.16,15.03,6,68.29,D+,{80A1B4AF-9D17-4408-BDA1-9667BD326651}
Devonta Freeman,RB,Oversized Pumpkins,32.12,2.29,146.6,9.16,16,66.86,D,{83937314-A1CA-41FD-A242-C9B5B534B295}
Zane Gonzalez,K,"Lights, Kamara, Action",0.0,0.0,91.0,7.58,12,65.04,D,{43035DAF-DDD6-4952-835D-AFDDD6195257}
Pat Freiermuth,TE,Titan Up,55.15,3.45,151.7,9.48,16,64.11,D,{2B6C7E1E-0755-48FB-89CE-4CFFA3D5DC1A}
Rex Burkhead,RB,Oversized Pumpkins,38.64,2.58,104.3,6.95,15,63.12,D,{83937314-A1CA-41FD-A242-C9B5B534B295}
Elijah Mitchell,RB,Oversized Pumpkins,57.48,3.83,165.0,15.0,11,62.93,D-,{83937314-A1CA-41FD-A242-C9B5B534B295}
Tyrod Taylor,QB,Gato’s Mom Breezy,183.39,11.46,81.74,13.62,6,62.89,D-,{7F18EDA9-DAE0-410A-9EC4-FE2F20716D07}
Jeff Wilson Jr.,RB,Gato’s Mom Breezy,0.0,0.0,51.5,6.44,8,62.89,D-,{7F18EDA9-DAE0-410A-9EC4-FE2F20716D07}
DeSean Jackson,WR,Oversized Pumpkins,100.54,7.18,75.8,5.41,14,61.74,D-,{83937314-A1CA-41FD-A242-C9B5B534B295}
Ty Johnson,RB,Gato’s Mom Breezy,78.43,5.23,117.0,7.31,16,60.19,D-,{7F18EDA9-DAE0-410A-9EC4-FE2F20716D07}
Carson Wentz,QB,Oversized Pumpkins,237.54,15.84,258.02,15.18,17,59.49,F-,{83937314-A1CA-41FD-A242-C9B5B534B295}
Rashod Bateman,WR,I've Got  A Thielen,106.49,8.19,103.5,8.62,12,59.12,F-,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
Dontrell Hilliard,RB,Kenny The Tick Salcido,0.0,0.0,72.7,10.39,7,59.1,F-,{45D714CF-B0D8-49FA-9714-CFB0D859FAB7}
Ricky Seals-Jones,TE,I've Got  A Thielen,5.0,0.31,69.1,6.28,11,57.77,F-,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
D'Onta Foreman,RB,Oversized Pumpkins,0.0,0.0,93.9,10.43,9,56.61,F-,{83937314-A1CA-41FD-A242-C9B5B534B295}
Alex Collins,RB,Dennis The Menace ,56.13,3.74,68.8,6.25,11,53.96,F-,{72E06046-9EEC-4999-A060-469EEC399959}
DeeJay Dallas,RB,Team Behel,41.59,2.77,60.1,3.54,17,53.52,F-,{59EB215C-D5A2-4E2A-B66E-E96ABD1A9B82}
Foster Moreau,TE,Team Behel,41.82,2.61,85.3,6.09,14,52.65,F-,{59EB215C-D5A2-4E2A-B66E-E96ABD1A9B82}
Cam Newton,QB,I've Got  A Thielen,0.0,0.0,86.36,10.79,8,46.51,F-,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
Boston Scott,RB,Team Flaherty,69.99,4.67,98.6,8.22,12,45.02,F-,{A319B00D-609E-486D-99B0-0D609EE86D5F}
Gardner Minshew,QB,Reagor Bombs,23.53,1.47,33.66,8.41,4,43.82,F-,{17471759-D3C1-4206-8612-A156BCC23AA1}
Tyler Huntley,QB,I've Got  A Thielen,19.81,1.24,82.64,11.81,7,42.88,F-,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
Brian Johnson,K,Gato’s Mom Breezy,0.0,0.0,42.0,6.0,7,41.93,F-,{7F18EDA9-DAE0-410A-9EC4-FE2F20716D07}
Kadarius Toney,WR,I've Got  A Thielen,100.84,6.3,82.36,9.15,9,41.91,F-,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
Falcons D/ST,D/ST,Dennis The Menace ,80.43,4.73,44.0,2.59,17,37.95,F-,{72E06046-9EEC-4999-A060-469EEC399959}
Titans D/ST,D/ST,Reagor Bombs,87.14,5.13,108.0,6.35,17,37.34,F-,{17471759-D3C1-4206-8612-A156BCC23AA1}
Ke'Shawn Vaughn,RB,Reagor Bombs,9.05,0.65,36.6,6.1,6,32.57,F-,{17471759-D3C1-4206-8612-A156BCC23AA1}
Patrick Taylor,RB,Reagor Bombs,0.0,0.0,17.2,2.87,6,11.67,F-,{17471759-D3C1-4206-8612-A156BCC23AA1}
Corey Clement,RB,Reagor Bombs,16.2,1.08,28.9,2.63,11,10.0,F-,{17471759-D3C1-4206-8612-A156BCC23AA1}
