Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
1 - 4,4,Ja'Marr Chase,WR,Came and Wentz,289.75,20.7,405.0,23.82,17,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7},100.0,A+
8 - 7,91,Brock Bowers,TE,Eli,144.05,9.6,262.7,15.45,17,{4406D5E2-027E-496A-8DB3-92E87CDFFD33},99.21,A+
5 - 11,59,Trey McBride,TE,Team Cogs,182.39,12.16,249.8,15.61,16,{91828F94-1966-4B65-828F-9419663B65D8},96.04,A
4 - 10,46,Lamar Jackson,QB,PAI Alcoholics Anonymous ,304.57,20.3,430.38,25.32,17,{0CE04EAF-1603-4259-869A-A567F9953F44},94.04,A
9 - 5,101,Brian Thomas Jr.,WR,Philadelphia Bills Mafia,171.72,11.45,284.0,16.71,17,{65213399-AD95-4113-B087-DAB0440DEF10},93.86,A
16 - 5,185,Bucky Irving,RB,Partners for What's Possible,112.15,8.01,244.4,14.38,17,{5E530C03-3F19-48F0-A309-52B769E76347},91.95,A-
1 - 9,9,Justin Jefferson,WR,Prahlad's Ghost,282.52,18.83,317.48,18.68,17,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},91.86,A-
1 - 12,12,Saquon Barkley,RB,Pho_King,252.62,18.04,357.3,22.33,16,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},91.82,A-
1 - 7,7,Amon-Ra St. Brown,WR,19th St Halal Cart,284.25,18.95,316.18,18.6,17,{DC811D3C-5EC4-4818-8E91-66D1350A42D2},91.66,A-
1 - 11,11,Jahmyr Gibbs,RB,Team Cogs,238.64,17.05,362.9,21.35,17,{91828F94-1966-4B65-828F-9419663B65D8},91.37,A-
5 - 3,51,George Kittle,TE,PAI Alcoholics Anonymous ,175.53,11.7,236.6,15.77,15,{0CE04EAF-1603-4259-869A-A567F9953F44},90.85,A-
7 - 6,78,Terry McLaurin,WR,Eli,193.63,12.91,267.8,15.75,17,{4406D5E2-027E-496A-8DB3-92E87CDFFD33},90.81,A-
6 - 12,72,Joe Burrow,QB,Pennoni Adjacent,280.04,18.67,376.82,22.17,17,{4FB9792B-D0E9-407C-A000-A60B0F30DB08},90.3,A-
2 - 9,21,Derrick Henry,RB,Came and Wentz,225.25,16.09,336.4,19.79,17,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7},90.13,A-
12 - 6,138,Brandon Aubrey,K,19th St Halal Cart,139.13,8.18,185.0,10.88,17,{DC811D3C-5EC4-4818-8E91-66D1350A42D2},89.63,B+
3 - 10,34,De'Von Achane,RB,The Golden Receivers,211.18,15.08,299.9,17.64,17,{4656A2AD-A939-460B-96A2-ADA939760B8B},89.34,B+
9 - 9,105,Chase Brown,RB,Prahlad's Ghost,167.04,11.93,255.0,15.94,16,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},89.31,B+
