Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 10,10,Ja'Marr Chase,WR,Trestleches,289.45,20.67,403.0,23.71,17,100.0,A+,{25870909-7F4E-4BCB-8709-097F4E7BCBC7}
5 - 3,43,Lamar Jackson,QB,Django Achane'd,303.83,20.26,430.38,25.32,17,100.0,A+,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A}
12 - 10,120,Brock Bowers,TE,OAC PADS,144.0,9.6,262.7,15.45,17,100.0,A+,{8EF83BEE-329B-4056-9953-F0E1B26AC099}
2 - 7,17,Jahmyr Gibbs,RB,RAJUN CAJUN,238.5,17.04,362.9,21.35,17,100.0,A+,{97ABA629-8E14-4D1F-95C6-919C4601753F}
1 - 7,7,Saquon Barkley,RB,Did I Set My Lineup?,252.41,18.03,355.3,22.21,16,100.0,A+,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4}
11 - 3,103,Brian Thomas Jr.,WR,Django Achane'd,171.63,11.44,284.0,16.71,17,100.0,A+,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A}
13 - 4,124,Chuba Hubbard,RB,RAJUN CAJUN,136.19,9.73,241.6,16.11,15,99.71,A+,{97ABA629-8E14-4D1F-95C6-919C4601753F}
1 - 5,5,Derrick Henry,RB,Jim-a-sore-ass,225.04,16.07,336.4,19.79,17,99.45,A+,{04EBBE51-2B10-49B4-ADFB-BA8FFD1E6768}
6 - 7,57,Joe Burrow,QB,RAJUN CAJUN,278.72,18.58,372.82,21.93,17,97.99,A+,{97ABA629-8E14-4D1F-95C6-919C4601753F}
7 - 5,65,Jayden Daniels,QB,Jim-a-sore-ass,255.91,17.06,355.82,20.93,17,97.5,A+,{04EBBE51-2B10-49B4-ADFB-BA8FFD1E6768}
11 - 10,110,Chase Brown,RB,Trestleches,166.97,11.93,255.0,15.94,16,96.64,A,{25870909-7F4E-4BCB-8709-097F4E7BCBC7}
4 - 8,38,De'Von Achane,RB,Django Achane'd,211.07,15.08,299.9,17.64,17,96.14,A,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A}
1 - 2,2,Bijan Robinson,RB,Team Date,292.77,20.91,341.7,20.1,17,95.76,A,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B}
