Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
16 - 1,151,Wan'Dale Robinson,WR,Scrappy Dub,152.78,8.99,217.9,13.62,16,83.08,B,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
12 - 8,118,Brandon Aubrey,K,I'm Batman,137.81,8.11,179.6,11.22,16,82.54,B-,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
6 - 5,55,Breece Hall,RB,Mr Steinfeld's Stars,226.04,13.3,207.66,12.98,16,82.13,B-,{99C913F4-1FF6-4361-93D2-117EA19F759C}
8 - 5,75,Jameson Williams,WR,Mr Steinfeld's Stars,218.62,12.86,206.5,12.91,16,82.0,B-,{99C913F4-1FF6-4361-93D2-117EA19F759C}
14 - 2,132,Seahawks D/ST,D/ST,Division iPad,136.07,8.0,187.0,11.69,16,81.43,B-,{A279F58E-795F-4115-B9F5-8E795F7115FC}
2 - 10,20,Drake London,WR,All my homies hate Dallas,267.38,15.73,184.1,16.74,11,81.23,B-,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
1 - 7,7,CeeDee Lamb,WR,Chicken Fried Chicken Meal,317.53,18.68,199.5,15.35,13,81.19,B-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
13 - 9,129,Brock Purdy,QB,Division iPad,306.21,18.01,172.2,21.52,8,81.02,B-,{A279F58E-795F-4115-B9F5-8E795F7115FC}
12 - 5,115,Texans D/ST,D/ST,Mr Steinfeld's Stars,144.11,8.48,178.0,11.12,16,80.3,B-,{99C913F4-1FF6-4361-93D2-117EA19F759C}
10 - 8,98,Stefon Diggs,WR,I'm Batman,160.77,9.46,203.0,12.69,16,80.17,B-,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
3 - 2,22,Tee Higgins,WR,AJ's Awesome Team,265.41,15.61,192.9,13.78,14,80.06,B-,{353273A6-6607-4A68-ADDE-CC045C217594}
7 - 9,69,Jaylen Warren,RB,Division iPad,250.22,14.72,202.2,13.48,15,80.04,B-,{A279F58E-795F-4115-B9F5-8E795F7115FC}
7 - 1,61,Rashee Rice,WR,All my homies hate Dallas,163.06,14.82,150.1,18.76,8,79.89,C+,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
10 - 5,95,RJ Harvey,RB,Mr Steinfeld's Stars,207.26,12.19,202.3,12.64,16,79.84,C+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
8 - 8,78,Emeka Egbuka,WR,I'm Batman,176.01,10.35,193.9,12.12,16,79.79,C+,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
6 - 10,60,Travis Kelce,TE,All my homies hate Dallas,181.08,10.65,189.0,11.81,16,79.58,C+,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
7 - 8,68,Tetairoa McMillan,WR,"Michael, The Baker",235.26,13.84,200.9,12.56,16,79.58,C+,{5E530C03-3F19-48F0-A309-52B769E76347}
16 - 2,152,Ka'imi Fairbairn,K,Division iPad,130.36,7.67,164.0,11.71,14,79.57,C+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
5 - 9,49,DK Metcalf,WR,Division iPad,240.51,14.15,187.2,12.48,15,79.43,C+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
3 - 3,23,Brock Bowers,TE,I'm Batman,262.19,15.42,176.2,14.68,12,79.16,C+,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
4 - 4,34,Lamar Jackson,QB,Chicken Fried Chicken Meal,363.8,21.4,194.44,16.2,12,79.09,C+,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
9 - 5,85,Michael Pittman Jr.,WR,Griddy Little Liars,201.11,11.83,199.3,12.46,16,79.09,C+,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6}
5 - 3,43,TreVeyon Henderson,RB,I'm Batman,223.83,13.17,188.9,11.81,16,79.06,C+,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
5 - 5,45,George Kittle,TE,Griddy Little Liars,227.72,13.4,153.6,15.36,10,78.79,C+,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6}
13 - 1,121,Kyle Pitts Sr.,TE,All my homies hate Dallas,143.06,8.42,199.0,12.44,16,78.71,C+,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
7 - 3,63,DeVonta Smith,WR,I'm Batman,222.99,13.12,193.6,12.1,16,78.65,C+,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
7 - 6,66,Jaylen Waddle,WR,Mr Steinfeld's Stars,226.53,13.33,194.12,12.13,16,78.59,C+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
11 - 10,110,Dallas Goedert,TE,Scrappy Dub,156.88,9.23,185.1,12.34,15,78.46,C+,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
14 - 9,139,Cameron Dicker,K,AJ's Awesome Team,139.72,8.22,158.0,9.88,16,77.3,C+,{353273A6-6607-4A68-ADDE-CC045C217594}
12 - 6,116,Cam Skattebo,RB,Griddy Little Liars,139.35,8.2,127.7,15.96,8,77.28,C+,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6}
1 - 5,5,Justin Jefferson,WR,Griddy Little Liars,315.86,18.58,183.1,11.44,16,77.19,C+,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6}
9 - 8,88,Deebo Samuel,WR,"Michael, The Baker",203.14,11.95,184.1,12.27,15,77.07,C+,{5E530C03-3F19-48F0-A309-52B769E76347}
3 - 7,27,Ladd McConkey,WR,Chicken Fried Chicken Meal,243.24,14.31,180.9,11.31,16,76.87,C,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
5 - 2,42,Kenneth Walker III,RB,AJ's Awesome Team,238.79,14.05,174.6,10.91,16,76.78,C,{353273A6-6607-4A68-ADDE-CC045C217594}
13 - 4,124,Jake Ferguson,TE,3rd World Immigrant,150.38,8.85,186.6,11.66,16,76.44,C,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
9 - 9,89,Tyler Warren,TE,Division iPad,166.07,9.77,180.9,11.31,16,76.23,C,{A279F58E-795F-4115-B9F5-8E795F7115FC}
12 - 10,120,Keenan Allen,WR,All my homies hate Dallas,212.6,12.51,172.1,10.76,16,76.07,C,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
6 - 8,58,DJ Moore,WR,I'm Batman,237.95,14.0,168.08,10.51,16,75.81,C,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
11 - 6,106,Jauan Jennings,WR,Mr Steinfeld's Stars,192.74,11.34,165.8,11.84,14,75.57,C,{99C913F4-1FF6-4361-93D2-117EA19F759C}
7 - 7,67,Tony Pollard,RB,Chicken Fried Chicken Meal,222.13,13.07,176.3,11.02,16,75.34,C,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
4 - 3,33,Omarion Hampton,RB,"Michael, The Baker",259.42,15.26,135.7,15.08,9,75.28,C,{5E530C03-3F19-48F0-A309-52B769E76347}
15 - 3,143,Woody Marks,RB,I'm Batman,73.35,4.31,144.3,9.62,15,74.83,C,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
10 - 7,97,Jakobi Meyers,WR,3rd World Immigrant,219.64,12.92,166.4,11.09,15,74.56,C,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
11 - 4,104,Justin Fields,QB,3rd World Immigrant,299.32,17.61,142.66,15.85,9,74.56,C,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
13 - 5,125,Quinshon Judkins,RB,Griddy Little Liars,49.6,3.1,169.8,12.13,14,74.15,C,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6}
15 - 9,149,Colston Loveland,TE,Division iPad,155.19,9.13,140.0,9.33,15,74.08,C,{A279F58E-795F-4115-B9F5-8E795F7115FC}
15 - 1,141,Cairo Santos,K,All my homies hate Dallas,135.92,8.0,120.0,8.57,14,74.05,C,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
15 - 2,142,Vikings D/ST,D/ST,AJ's Awesome Team,133.82,7.87,133.0,8.31,16,74.01,C,{353273A6-6607-4A68-ADDE-CC045C217594}
9 - 10,90,Khalil Shakir,WR,Scrappy Dub,196.36,11.55,166.4,10.4,16,73.34,C,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
16 - 5,155,Zach Charbonnet,RB,Mr Steinfeld's Stars,137.02,8.06,162.7,10.85,15,73.24,C,{99C913F4-1FF6-4361-93D2-117EA19F759C}
7 - 4,64,Rome Odunze,WR,3rd World Immigrant,217.05,12.77,146.1,12.18,12,73.09,C,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
12 - 2,112,Rhamondre Stevenson,RB,Division iPad,173.08,10.18,143.5,11.04,13,73.04,C,{A279F58E-795F-4115-B9F5-8E795F7115FC}
7 - 2,62,David Montgomery,RB,AJ's Awesome Team,213.4,12.55,160.42,10.03,16,72.94,C-,{353273A6-6607-4A68-ADDE-CC045C217594}
10 - 3,93,Tucker Kraft,TE,"Michael, The Baker",159.96,9.41,117.2,14.65,8,72.86,C-,{5E530C03-3F19-48F0-A309-52B769E76347}
2 - 9,19,Bucky Irving,RB,AJ's Awesome Team,283.47,16.67,127.7,14.19,9,72.76,C-,{353273A6-6607-4A68-ADDE-CC045C217594}
14 - 3,133,Rashid Shaheed,WR,"Michael, The Baker",179.17,10.54,155.4,9.14,17,71.79,C-,{5E530C03-3F19-48F0-A309-52B769E76347}
4 - 9,39,Joe Burrow,QB,AJ's Awesome Team,330.46,19.44,113.32,16.19,7,71.36,C-,{353273A6-6607-4A68-ADDE-CC045C217594}
11 - 1,101,Eagles D/ST,D/ST,All my homies hate Dallas,106.54,6.27,133.0,8.31,16,70.63,C-,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
3 - 8,28,Jayden Daniels,QB,"Michael, The Baker",371.59,21.86,114.28,16.33,7,70.57,C-,{5E530C03-3F19-48F0-A309-52B769E76347}
14 - 4,134,Jake Bates,K,Chicken Fried Chicken Meal,141.35,8.31,126.0,7.88,16,70.42,C-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
4 - 10,40,Marvin Harrison Jr.,WR,All my homies hate Dallas,240.0,14.12,127.8,10.65,12,70.23,C-,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
2 - 8,18,Brian Thomas Jr.,WR,I'm Batman,270.04,15.88,130.9,10.07,13,70.23,C-,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
8 - 3,73,Tyrone Tracy Jr.,RB,"Michael, The Baker",206.87,12.17,132.9,9.49,14,69.97,D+,{5E530C03-3F19-48F0-A309-52B769E76347}
10 - 1,91,Jordan Addison,WR,Scrappy Dub,167.31,11.95,133.3,10.25,13,69.89,D+,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
13 - 8,128,Chase McLaughlin,K,"Michael, The Baker",142.64,8.39,131.0,8.19,16,69.87,D+,{5E530C03-3F19-48F0-A309-52B769E76347}
13 - 3,123,Broncos D/ST,D/ST,I'm Batman,145.76,8.57,138.0,8.62,16,69.81,D+,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
5 - 7,47,Sam LaPorta,TE,Chicken Fried Chicken Meal,191.77,11.28,106.9,11.88,9,69.61,D+,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
13 - 6,126,Chris Boswell,K,Mr Steinfeld's Stars,134.13,7.89,129.0,8.06,16,69.53,D+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
