Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
10 - 12,120,Austin Ekeler,RB,Get Money Gang,207.91,12.23,13.1,6.55,2,43.92,F-,{78CFA850-7ED9-4CF2-A523-9E8083CD4055}
12 - 3,135,Adam Thielen,WR,C. Kirk's revenge,106.95,6.29,32.3,2.15,15,43.48,F-,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
16 - 9,189,Braelon Allen,RB,Sh1tting on Laporta potty ,94.22,5.54,15.3,3.83,4,37.4,F-,{647A253D-3851-42DD-96BB-0155531AC0C3}
16 - 10,190,Najee Harris,RB,Najee Germany,95.08,5.59,11.6,3.87,3,36.22,F-,{4291ADF5-3463-4685-8B3A-BB2A74C31A3F}
17 - 10,202,Nick Westbrook-Ikhine,WR,C. Kirk's revenge,109.57,6.45,19.9,1.42,14,35.09,F-,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
9 - 10,106,Kaleb Johnson,RB,C. Kirk's revenge,159.93,9.41,8.8,0.88,10,33.79,F-,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
16 - 8,188,Jaydon Blue,RB,Sutton Deez Nuts,19.3,1.21,8.0,2.0,4,28.54,F-,{8FDD5AF7-2681-4166-9D5A-F72681316688}
7 - 9,81,Joe Mixon,RB,Team Daisey,118.15,13.13,0.0,0.0,0,24.55,F-,{67B022C6-A862-4E4E-B022-C6A8627E4E95}
11 - 3,123,Tyler Bass,K,Najee Germany,108.24,8.33,0.0,0.0,0,19.33,F-,{4291ADF5-3463-4685-8B3A-BB2A74C31A3F}
14 - 12,168,Jason Sanders,K,Get Money Gang,108.1,8.32,0.0,0.0,0,11.48,F-,{78CFA850-7ED9-4CF2-A523-9E8083CD4055}
15 - 6,174,Brandon Aiyuk,WR,CeeDee'sNUTZ,112.52,9.38,0.0,0.0,0,10.0,F-,{76625186-E5C0-4260-9AB2-240171B7C267}
