Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
7 - 5,77,Breece Hall,RB,Balls@ck Gafoor,226.04,13.3,207.66,12.98,16,82.72,B-,{ED03B9B7-0400-49D3-9ED6-622F04F546F8}
2 - 12,24,Nico Collins,WR,Club Penguins,289.12,17.01,226.2,15.08,15,82.48,B-,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE}
6 - 9,69,Courtland Sutton,WR,BetterThanDeanAtSF6,227.59,13.39,218.2,13.64,16,82.26,B-,{97D2EB78-E92D-4E1F-94B3-CE836B504199}
3 - 12,36,Davante Adams,WR,Papa Murphy’s Pizza,257.07,15.12,222.9,15.92,14,82.03,B-,{4F687E43-B817-4279-A344-79DC261E83B4}
1 - 7,7,Baker Mayfield,QB,dFIBulators,310.96,18.29,258.7,16.17,16,81.91,B-,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F}
4 - 5,41,Jordan Love,QB,Chill YNs,264.55,15.56,235.14,15.68,15,81.71,B-,{61563278-5915-4089-8B19-0BFACDFA9B38}
4 - 7,43,Drake London,WR,Ross' Sauces,267.38,15.73,184.1,16.74,11,81.48,B-,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB}
16 - 9,189,Sam Darnold,QB,BetterThanDeanAtSF6,241.69,14.22,226.6,14.16,16,81.24,B-,{97D2EB78-E92D-4E1F-94B3-CE836B504199}
3 - 11,35,A.J. Brown,WR,TUFF,275.63,16.21,220.3,14.69,15,81.07,B-,{B644AC1E-B15A-492F-90A8-E74A28ECCC48}
10 - 4,112,Jaylen Warren,RB,Yvng Killas,250.22,14.72,202.2,13.48,15,81.06,B-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
12 - 3,135,Cam Skattebo,RB,Dookey Dukes,139.35,8.2,127.7,15.96,8,80.61,B-,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4}
15 - 2,170,Seahawks D/ST,D/ST,Caleb's Calculated Team,121.19,7.13,173.0,10.81,16,80.56,B-,{73111650-DB56-4FEE-A451-8B9B298D4624}
5 - 9,57,Zay Flowers,WR,Yvng Killas,232.52,13.68,213.5,13.34,16,80.29,B-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
2 - 6,18,CeeDee Lamb,WR,dFIBulators,317.53,18.68,199.5,15.35,13,80.12,B-,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F}
7 - 8,80,Jaylen Waddle,WR,Chill YNs,226.53,13.33,194.12,12.13,16,80.04,B-,{61563278-5915-4089-8B19-0BFACDFA9B38}
6 - 5,65,Tetairoa McMillan,WR,Chill YNs,235.26,13.84,200.9,12.56,16,79.73,C+,{61563278-5915-4089-8B19-0BFACDFA9B38}
8 - 2,86,Jameson Williams,WR,TUFF,218.62,12.86,206.5,12.91,16,79.45,C+,{B644AC1E-B15A-492F-90A8-E74A28ECCC48}
16 - 12,192,Aaron Rodgers,QB,Club Penguins,232.61,13.68,209.32,13.95,15,79.35,C+,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE}
9 - 12,108,Michael Pittman Jr.,WR,Papa Murphy’s Pizza,201.11,11.83,199.3,12.46,16,79.13,C+,{4F687E43-B817-4279-A344-79DC261E83B4}
8 - 8,92,RJ Harvey,RB,Balls@ck Gafoor,207.26,12.19,202.3,12.64,16,78.91,C+,{ED03B9B7-0400-49D3-9ED6-622F04F546F8}
8 - 12,96,Stefon Diggs,WR,Club Penguins,160.77,9.46,203.0,12.69,16,78.53,C+,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE}
9 - 5,101,Emeka Egbuka,WR,Balls@ck Gafoor,176.01,10.35,193.9,12.12,16,78.5,C+,{ED03B9B7-0400-49D3-9ED6-622F04F546F8}
2 - 5,17,Tee Higgins,WR,Chill YNs,265.41,15.61,192.9,13.78,14,78.46,C+,{61563278-5915-4089-8B19-0BFACDFA9B38}
6 - 1,61,Travis Kelce,TE,Papa Murphy’s Pizza,181.08,10.65,189.0,11.81,16,78.44,C+,{4F687E43-B817-4279-A344-79DC261E83B4}
6 - 10,70,DeVonta Smith,WR,Chase Ball. Touchdown!,222.99,13.12,193.6,12.1,16,78.39,C+,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A}
6 - 3,63,TreVeyon Henderson,RB,Dookey Dukes,223.83,13.17,188.9,11.81,16,78.24,C+,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4}
13 - 12,156,Cameron Dicker,K,Papa Murphy’s Pizza,143.93,8.47,164.0,10.25,16,78.18,C+,{4F687E43-B817-4279-A344-79DC261E83B4}
6 - 6,66,DK Metcalf,WR,dFIBulators,240.51,14.15,187.2,12.48,15,78.13,C+,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F}
1 - 11,11,Brock Purdy,QB,TUFF,306.21,18.01,172.2,21.53,8,78.12,C+,{B644AC1E-B15A-492F-90A8-E74A28ECCC48}
5 - 6,54,Rashee Rice,WR,Ross' Sauces,163.06,14.82,150.1,18.76,8,78.01,C+,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB}
13 - 1,145,Quinshon Judkins,RB,Club Penguins,49.6,3.1,169.8,12.13,14,77.79,C+,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE}
11 - 6,126,Dallas Goedert,TE,Ross' Sauces,156.88,9.23,185.1,12.34,15,77.59,C+,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB}
2 - 11,23,Brock Bowers,TE,Caleb's Calculated Team,262.19,15.42,176.2,14.68,12,77.42,C+,{73111650-DB56-4FEE-A451-8B9B298D4624}
4 - 9,45,George Kittle,TE,BetterThanDeanAtSF6,227.72,13.4,153.6,15.36,10,77.36,C+,{97D2EB78-E92D-4E1F-94B3-CE836B504199}
7 - 2,74,Kenneth Walker III,RB,Caleb's Calculated Team,238.79,14.05,174.6,10.91,16,77.27,C+,{73111650-DB56-4FEE-A451-8B9B298D4624}
11 - 8,128,Jake Ferguson,TE,Chill YNs,150.38,8.85,186.6,11.66,16,77.06,C+,{61563278-5915-4089-8B19-0BFACDFA9B38}
10 - 1,109,Texans D/ST,D/ST,Papa Murphy’s Pizza,128.82,7.58,162.0,10.12,16,76.83,C,{4F687E43-B817-4279-A344-79DC261E83B4}
10 - 7,115,Bryce Young,QB,Ross' Sauces,267.9,15.76,201.5,13.43,15,76.79,C,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB}
