Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Rico Dowdle,RB,Daddy's Finally Home,83.98,4.94,215.3,13.46,16,100.0,A+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Dalton Schultz,TE,1900 Sleepers,126.09,7.42,166.4,10.4,16,97.91,A+,{FB64662C-A6C7-423B-B6EE-231900310D44}
Cam Little,K,Pho_King,133.01,7.82,144.0,9.0,16,95.87,A,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Michael Wilson,WR,Daddy's Finally Home,115.84,6.81,199.7,12.48,16,91.89,A-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Harold Fannin Jr.,TE,The Golden Receivers,53.49,3.15,186.4,11.65,16,91.17,A-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Browns D/ST,D/ST,Pho_King,73.15,4.3,130.0,8.12,16,90.15,A-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Troy Franklin,WR,19th St Halal Cart,79.7,4.69,177.1,11.07,16,88.96,B+,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
Kenneth Gainwell,RB,PAI Alcoholics Anonymous ,193.32,11.37,199.9,12.49,16,86.53,B,{0CE04EAF-1603-4259-869A-A567F9953F44}
Tre Tucker,WR,PAI Alcoholics Anonymous ,130.68,7.69,156.3,9.77,16,86.29,B,{0CE04EAF-1603-4259-869A-A567F9953F44}
Buccaneers D/ST,D/ST,The Golden Receivers,119.8,7.05,85.0,5.31,16,85.82,B,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Ka'imi Fairbairn,K,The Golden Receivers,132.46,7.79,164.0,11.71,14,82.95,B-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Jason Myers,K,Philadelphia Bills Mafia,133.76,7.87,187.0,11.69,16,79.73,C+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
Romeo Doubs,WR,PAI Alcoholics Anonymous ,126.55,7.44,165.4,10.34,16,78.49,C+,{0CE04EAF-1603-4259-869A-A567F9953F44}
Michael Carter,RB,1900 Sleepers,0.0,0.0,92.1,7.67,12,78.47,C+,{FB64662C-A6C7-423B-B6EE-231900310D44}
Jaguars D/ST,D/ST,Red Zone Risk Assessors,96.71,5.69,137.0,8.56,16,78.33,C+,{6FB8D500-4E34-47B8-9028-B156BEC56621}
Sam Darnold,QB,Pho_King,242.43,14.26,226.6,14.16,16,78.2,C+,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Dylan Sampson,RB,Philadelphia Bills Mafia,199.33,11.73,81.2,5.8,14,77.78,C+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
Trevor Lawrence,QB,Prahlad's Ghost,280.38,16.49,314.88,19.68,16,77.72,C+,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Darren Waller,TE,Pho_King,131.6,8.22,88.7,9.86,9,77.2,C+,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Devin Singletary,RB,PAI Alcoholics Anonymous ,19.97,1.17,98.2,6.14,16,76.77,C,{0CE04EAF-1603-4259-869A-A567F9953F44}
Kareem Hunt,RB,1900 Sleepers,100.0,5.88,138.9,8.68,16,75.9,C,{FB64662C-A6C7-423B-B6EE-231900310D44}
Alec Pierce,WR,cman,70.94,4.17,154.1,11.01,14,75.41,C,{3038B793-C0D8-4773-82BA-30F522EA1C1A}
Emanuel Wilson,RB,Prahlad's Ghost,32.14,1.89,88.7,5.54,16,75.21,C,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Juwan Johnson,TE,Philadelphia Bills Mafia,117.37,6.9,172.8,10.8,16,75.2,C,{A279F58E-795F-4115-B9F5-8E795F7115FC}
Quentin Johnston,WR,Christian McCalf-Injury,164.01,9.65,171.2,12.23,14,74.36,C,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1}
Rams D/ST,D/ST,PAI Alcoholics Anonymous ,99.92,5.88,127.0,7.94,16,72.05,C-,{0CE04EAF-1603-4259-869A-A567F9953F44}
Theo Johnson,TE,Red Zone Risk Assessors,122.08,7.18,127.8,8.52,15,71.35,C-,{6FB8D500-4E34-47B8-9028-B156BEC56621}
Kyle Monangai,RB,Prahlad's Ghost,51.56,3.03,140.8,8.8,16,70.07,C-,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Jaxson Dart,QB,The Golden Receivers,132.53,14.73,221.18,17.01,13,69.13,D+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Raiders D/ST,D/ST,Red Zone Risk Assessors,63.49,3.73,54.0,3.38,16,68.28,D+,{6FB8D500-4E34-47B8-9028-B156BEC56621}
Oronde Gadsden,TE,Eli,0.0,0.0,127.1,9.08,14,67.81,D+,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
Nick Folk,K,Christian McCalf-Injury,134.96,7.94,124.0,7.75,16,67.62,D+,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1}
Kimani Vidal,RB,19th St Halal Cart,0.0,0.0,115.9,9.66,12,66.49,D,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
Andy Borregales,K,19th St Halal Cart,121.83,7.17,129.0,8.06,16,66.44,D,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
Tyler Shough,QB,PAI Alcoholics Anonymous ,100.29,14.33,136.2,13.62,10,65.07,D,{0CE04EAF-1603-4259-869A-A567F9953F44}
AJ Barner,TE,Eli,81.85,4.81,143.9,8.99,16,64.96,D,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
Daniel Jones,QB,Red Zone Risk Assessors,213.41,16.42,226.44,17.42,13,64.58,D,{6FB8D500-4E34-47B8-9028-B156BEC56621}
Bam Knight,RB,Pho_King,6.63,0.39,92.9,7.74,12,64.2,D,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Falcons D/ST,D/ST,Christian McCalf-Injury,79.66,4.69,109.0,6.81,16,63.89,D,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1}
Chris Rodriguez Jr.,RB,The Golden Receivers,33.91,1.99,76.7,6.39,12,61.24,D-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Saints D/ST,D/ST,Eli,69.16,4.07,124.0,7.75,16,60.84,D-,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
John Metchie III,WR,Pho_King,1.17,0.07,66.9,4.46,15,60.81,D-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
