Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Cowboys D/ST,D/ST,Seigaku FC,64.55,3.8,163.0,9.59,17,100.0,A+,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
Mike Williams,WR,Pitman OBJYN,187.06,11.69,246.6,15.41,16,98.03,A+,{10F78273-9201-4EE8-B782-739201DEE809}
Jake Elliott,K,South East  Anbu ,122.19,7.19,147.0,8.65,17,96.93,A,{7C989087-DC3A-4135-A9F9-563E420927D1}
Dalton Schultz,TE,Abyss Diamond Eyes,94.0,5.88,208.8,12.28,17,95.93,A,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Amon-Ra St. Brown,WR,Seigaku FC,132.33,8.27,227.3,14.21,16,93.72,A,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
Patriots D/ST,D/ST,Hungry Dogs,104.96,6.17,148.0,8.71,17,91.16,A-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Cordarrelle Patterson,RB,Abyss Diamond Eyes,84.87,5.66,234.6,14.66,16,89.41,B+,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Marquise Brown,WR,Seigaku FC,193.6,12.1,226.3,14.14,16,88.24,B+,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
Nick Folk,K,Hungry Dogs,127.58,7.5,168.0,9.88,17,86.83,B,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Jaylen Waddle,WR,Seigaku FC,181.88,11.37,245.8,15.36,16,84.98,B,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
Hunter Renfrow,WR,South East  Anbu ,120.99,7.56,259.1,15.24,17,84.83,B,{7C989087-DC3A-4135-A9F9-563E420927D1}
James Conner,RB,Abyss Diamond Eyes,151.66,10.83,257.7,17.18,15,83.08,B,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Saints D/ST,D/ST,Sorry 🤷🏽‍♂️,112.65,6.63,133.0,7.82,17,82.08,B-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
Greg Joseph,K,Sorry 🤷🏽‍♂️,123.72,7.28,151.0,8.88,17,81.29,B-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
Cardinals D/ST,D/ST,Abyss Diamond Eyes,79.73,4.69,114.0,6.71,17,80.72,B-,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Melvin Gordon III,RB,Pleasant Valley Panthers,148.72,9.91,195.1,12.19,16,80.36,B-,{8DC6CB03-411B-4540-86CB-03411B854029}
Carson Wentz,QB,South East  Anbu ,237.54,15.84,258.02,15.18,17,78.98,C+,{7C989087-DC3A-4135-A9F9-563E420927D1}
Tyler Bass,K,Abyss Diamond Eyes,131.16,7.72,139.0,8.18,17,78.05,C+,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Mason Crosby,K,Pitman OBJYN,124.58,7.33,125.0,7.35,17,75.43,C,{10F78273-9201-4EE8-B782-739201DEE809}
Cole Beasley,WR,South East  Anbu ,171.9,10.74,159.3,9.96,16,75.19,C,{7C989087-DC3A-4135-A9F9-563E420927D1}
Eagles D/ST,D/ST,Hungry Dogs,77.33,4.55,99.0,5.82,17,74.79,C,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Boston Scott,RB,Pure Mature,69.99,4.67,98.6,8.22,12,74.79,C,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F}
Mike Gesicki,TE,Hungry Dogs,142.52,8.91,165.0,9.71,17,73.8,C,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Antonio Brown,WR,Pitman OBJYN,186.68,12.45,121.1,17.3,7,72.23,C-,{10F78273-9201-4EE8-B782-739201DEE809}
Michael Pittman Jr.,WR,Abyss Diamond Eyes,178.77,11.17,238.6,14.04,17,72.19,C-,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Dawson Knox,TE,Pitman OBJYN,110.95,6.93,164.1,10.94,15,71.11,C-,{10F78273-9201-4EE8-B782-739201DEE809}
Zach Ertz,TE,South East  Anbu ,112.73,7.52,180.7,10.63,17,70.16,C-,{7C989087-DC3A-4135-A9F9-563E420927D1}
Nelson Agholor,WR,South East  Anbu ,152.77,10.18,103.4,7.39,14,69.16,D+,{7C989087-DC3A-4135-A9F9-563E420927D1}
Van Jefferson,WR,South East  Anbu ,104.39,6.52,168.2,9.89,17,64.16,D,{7C989087-DC3A-4135-A9F9-563E420927D1}
Elijah Mitchell,RB,Pure Mature,57.48,3.83,165.0,15.0,11,56.8,F-,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F}
Tony Pollard,RB,South East  Anbu ,112.51,7.5,162.6,10.84,15,53.38,F-,{7C989087-DC3A-4135-A9F9-563E420927D1}
Ronald Jones II,RB,Hungry Dogs,119.5,7.97,79.2,5.28,15,44.71,F-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Ben DiNucci,QB,Hungry Dogs,0.0,0.0,0.0,0.0,0,10.0,F-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
