Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
10 - 2,110,Rachaad White,RB,I'm Sorry Mrs. Jackson,128.01,7.53,136.9,8.56,16,66.08,D,{71372B03-57FD-4FCB-AA0B-69957655412D}
4 - 2,38,T.J. Hockenson,TE,I'm Sorry Mrs. Jackson,184.54,10.86,112.8,7.52,15,65.72,D,{71372B03-57FD-4FCB-AA0B-69957655412D}
13 - 1,145,Vikings D/ST,D/ST,Cowtown Cowboys,116.27,6.84,110.0,6.88,16,65.63,D,{ED820BF3-C942-4041-820B-F3C9425041D9}
8 - 8,92,Cooper Kupp,WR,U Lost to a Red Bull Rookie,202.37,11.9,111.4,7.43,15,65.08,D,{DC54E68B-78AB-440A-9F0D-63BD7172C682}
5 - 8,56,Xavier Worthy,WR, Johnny  Dramas ,166.79,13.9,109.9,7.85,14,65.0,D,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
12 - 4,136,Broncos D/ST,D/ST,The Bill Croskey Show,126.72,7.45,106.0,6.62,16,64.75,D,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
8 - 10,94,Ricky Pearsall,WR,"No, This Is Patrick!",198.35,11.67,88.6,9.84,9,64.68,D,{95F44A62-C032-49BB-9961-F1B40077DCE9}
10 - 11,119,Steelers D/ST,D/ST,Claytons Team of Experts,126.24,7.43,105.0,6.56,16,64.67,D,{45196FC1-BEBD-41FC-A6D8-2527D65C9C56}
6 - 11,71,Jerry Jeudy,WR,Claytons Team of Experts,231.44,13.61,116.5,7.28,16,64.58,D,{45196FC1-BEBD-41FC-A6D8-2527D65C9C56}
13 - 6,150,Josh Downs,WR,Cans in My Hands,178.87,10.52,126.8,8.45,15,64.27,D,{72229BCA-0BDD-40B0-82E9-ACB1D4104500}
4 - 1,37,Alvin Kamara,RB,Frisco Full Can Field Goals 🏈,266.7,15.69,100.7,9.15,11,64.02,D,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
14 - 6,162,Shedeur Sanders,QB,Red Bulls On Parade,55.96,13.99,79.86,11.41,7,63.86,D,{D6421CA2-74FC-4D39-821C-A274FC9D39FE}
2 - 2,14,Malik Nabers,WR,I'm Sorry Mrs. Jackson,301.35,17.73,57.1,14.28,4,63.62,D,{71372B03-57FD-4FCB-AA0B-69957655412D}
3 - 7,31,Mike Evans,WR,Red Bulls On Parade,235.07,13.83,79.4,11.34,7,62.4,D-,{D6421CA2-74FC-4D39-821C-A274FC9D39FE}
11 - 12,132,Jordan Mason,RB,Frisco Full Can Field Goals 🏈,133.58,7.86,119.5,7.97,15,62.15,D-,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
2 - 1,13,Tyreek Hill,WR,Frisco Full Can Field Goals 🏈,263.67,15.51,53.5,13.38,4,62.12,D-,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
12 - 11,143,Jayden Higgins,WR,Claytons Team of Experts,161.48,9.5,119.2,7.45,16,62.07,D-,{45196FC1-BEBD-41FC-A6D8-2527D65C9C56}
11 - 3,123,Jake Elliott,K,"No, This Is Patrick!",139.03,8.18,103.0,6.44,16,61.93,D-,{95F44A62-C032-49BB-9961-F1B40077DCE9}
9 - 1,97,Chris Godwin Jr.,WR,Cowtown Cowboys,187.56,14.43,81.2,10.15,8,61.71,D-,{ED820BF3-C942-4041-820B-F3C9425041D9}
6 - 7,67,Evan Engram,TE,Cans in My Hands,168.69,9.92,95.3,6.35,15,61.18,D-,{72229BCA-0BDD-40B0-82E9-ACB1D4104500}
8 - 12,96,David Njoku,TE,Cowtown Cowboys,176.39,10.38,86.3,7.19,12,60.98,D-,{ED820BF3-C942-4041-820B-F3C9425041D9}
14 - 11,167,Cade Otton,TE,Claytons Team of Experts,138.34,8.14,99.8,6.65,15,60.77,D-,{45196FC1-BEBD-41FC-A6D8-2527D65C9C56}
9 - 7,103,Bills D/ST,D/ST,Red Bulls On Parade,110.64,6.51,83.0,5.19,16,60.27,D-,{D6421CA2-74FC-4D39-821C-A274FC9D39FE}
9 - 8,104,Keon Coleman,WR, Johnny  Dramas ,201.02,11.82,93.5,7.79,12,60.23,D-,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
6 - 5,65,Isiah Pacheco,RB, Johnny  Dramas ,213.79,12.58,87.3,6.72,13,59.06,F-,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
14 - 8,164,Colts D/ST,D/ST,U Lost to a Red Bull Rookie,115.34,6.78,81.0,5.06,16,58.88,F-,{DC54E68B-78AB-440A-9F0D-63BD7172C682}
7 - 4,76,Travis Hunter,WR,Dennis The Menace ,212.38,12.49,63.8,9.11,7,57.27,F-,{72E06046-9EEC-4999-A060-469EEC399959}
14 - 10,166,Nick Chubb,RB,"No, This Is Patrick!",119.72,7.04,88.3,5.89,15,56.43,F-,{95F44A62-C032-49BB-9961-F1B40077DCE9}
4 - 9,45,James Conner,RB,Dennis The Menace ,250.16,14.72,33.3,11.1,3,55.51,F-,{72E06046-9EEC-4999-A060-469EEC399959}
14 - 2,158,Lions D/ST,D/ST,I'm Sorry Mrs. Jackson,115.45,6.79,69.0,4.31,16,55.27,F-,{71372B03-57FD-4FCB-AA0B-69957655412D}
8 - 9,93,Matthew Golden,WR,Dennis The Menace ,203.16,11.95,68.2,5.25,13,54.74,F-,{72E06046-9EEC-4999-A060-469EEC399959}
13 - 3,147,Ravens D/ST,D/ST,"No, This Is Patrick!",122.03,7.18,72.0,4.5,16,54.63,F-,{95F44A62-C032-49BB-9961-F1B40077DCE9}
12 - 8,140,Jonnu Smith,TE,U Lost to a Red Bull Rookie,135.09,7.95,83.8,5.24,16,54.4,F-,{DC54E68B-78AB-440A-9F0D-63BD7172C682}
12 - 10,142,Xavier Legette,WR,"No, This Is Patrick!",165.76,9.75,84.1,6.01,14,54.36,F-,{95F44A62-C032-49BB-9961-F1B40077DCE9}
14 - 3,159,Chiefs D/ST,D/ST,Kill Bills ,96.17,5.66,65.0,4.06,16,53.81,F-,{1BA8396F-D6D7-448B-870B-539450FA06F7}
14 - 5,161,Buccaneers D/ST,D/ST, Johnny  Dramas ,115.56,6.8,65.0,4.06,16,53.67,F-,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
5 - 10,58,Calvin Ridley,WR,Kill Bills ,229.18,13.48,47.3,6.76,7,52.65,F-,{1BA8396F-D6D7-448B-870B-539450FA06F7}
13 - 2,146,Darnell Mooney,WR,Claytons Team of Experts,160.79,10.05,77.3,5.52,14,52.51,F-,{45196FC1-BEBD-41FC-A6D8-2527D65C9C56}
11 - 11,131,Jayden Reed,WR,I'm Sorry Mrs. Jackson,177.57,10.45,48.5,8.08,6,50.35,F-,{71372B03-57FD-4FCB-AA0B-69957655412D}
9 - 2,98,Austin Ekeler,RB,Claytons Team of Experts,207.49,12.21,13.1,6.55,2,42.4,F-,{45196FC1-BEBD-41FC-A6D8-2527D65C9C56}
10 - 6,114,Younghoe Koo,K,Red Bulls On Parade,123.26,7.25,29.0,4.83,6,42.22,F-,{D6421CA2-74FC-4D39-821C-A274FC9D39FE}
11 - 7,127,Tank Bigsby,RB,Red Bulls On Parade,109.42,6.44,36.2,2.26,16,40.4,F-,{D6421CA2-74FC-4D39-821C-A274FC9D39FE}
14 - 1,157,Adam Thielen,WR,Frisco Full Can Field Goals 🏈,106.93,6.29,32.3,2.15,15,38.38,F-,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
11 - 10,130,Braelon Allen,RB,Kill Bills ,94.17,5.54,15.3,3.83,4,33.46,F-,{1BA8396F-D6D7-448B-870B-539450FA06F7}
8 - 6,90,Kaleb Johnson,RB,Red Bulls On Parade,159.81,9.4,8.8,0.88,10,31.86,F-,{D6421CA2-74FC-4D39-821C-A274FC9D39FE}
9 - 10,106,Jaydon Blue,RB,Kill Bills ,19.29,1.21,8.0,2.0,4,28.96,F-,{1BA8396F-D6D7-448B-870B-539450FA06F7}
7 - 8,80,Joe Mixon,RB, Johnny  Dramas ,118.07,13.12,0.0,0.0,0,18.62,F-,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
10 - 8,116,Tyler Bass,K,U Lost to a Red Bull Rookie,105.45,8.11,0.0,0.0,0,10.0,F-,{DC54E68B-78AB-440A-9F0D-63BD7172C682}
