Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
3 - 7,27,Tee Higgins,WR,Leafy Water,265.41,15.61,192.9,13.78,14,79.54,C+,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21}
7 - 9,69,DeVonta Smith,WR,Dr@ft King$,222.99,13.12,193.6,12.1,16,79.45,C+,{3389AE65-1498-46A0-8119-84AC1B8D92A9}
6 - 1,51,DK Metcalf,WR,Matthew Golden's Goose,240.51,14.15,187.2,12.48,15,79.17,C+,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1}
3 - 3,23,Lamar Jackson,QB,Kevin Nichols The Third,363.8,21.4,194.44,16.2,12,78.77,C+,{E95CA752-6CD0-4670-853B-0AA8A2FDF295}
9 - 10,90,Tyler Warren,TE,Matthew Golden's Goose,166.07,9.77,180.9,11.31,16,78.17,C+,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1}
13 - 3,123,Brandon Aubrey,K,Kevin Nichols The Third,142.15,8.36,180.6,11.29,16,78.13,C+,{E95CA752-6CD0-4670-853B-0AA8A2FDF295}
5 - 6,46,TreVeyon Henderson,RB,Steenage Mutant Ninja Turtles,223.83,13.17,188.9,11.81,16,77.87,C+,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528}
4 - 10,40,George Kittle,TE,i just wasted $20,227.72,13.4,153.6,15.36,10,77.67,C+,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23}
2 - 7,17,Ladd McConkey,WR,yay football woo,243.24,14.31,180.9,11.31,16,77.52,C+,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
10 - 10,100,Deebo Samuel,WR,i just wasted $20,203.14,11.95,184.1,12.27,15,77.39,C+,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23}
1 - 4,4,Justin Jefferson,WR,yay football woo,315.86,18.58,183.1,11.44,16,77.31,C+,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
13 - 1,121,Texans D/ST,D/ST,i just wasted $20,128.82,7.58,162.0,10.12,16,77.28,C+,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23}
13 - 9,129,Dallas Goedert,TE,Dr@ft King$,156.88,9.23,185.1,12.34,15,77.15,C+,{3389AE65-1498-46A0-8119-84AC1B8D92A9}
13 - 10,130,Jake Ferguson,TE,Matthew Golden's Goose,150.38,8.85,186.6,11.66,16,76.63,C,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1}
11 - 3,103,Jauan Jennings,WR,Kevin Nichols The Third,192.74,11.34,165.8,11.84,14,76.43,C,{E95CA752-6CD0-4670-853B-0AA8A2FDF295}
4 - 3,33,Kenneth Walker III,RB,Matthew Dorchak,238.79,14.05,174.6,10.91,16,75.79,C,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
8 - 2,72,Tony Pollard,RB,Dr@ft King$,222.13,13.07,176.3,11.02,16,75.39,C,{3389AE65-1498-46A0-8119-84AC1B8D92A9}
6 - 2,52,DJ Moore,WR,Dr@ft King$,237.95,14.0,168.08,10.51,16,75.3,C,{3389AE65-1498-46A0-8119-84AC1B8D92A9}
10 - 1,91,Cam Skattebo,RB,Matthew Golden's Goose,139.35,8.2,127.7,15.96,8,74.99,C,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1}
10 - 4,94,Keenan Allen,WR,Leafy Water,212.6,12.51,172.1,10.76,16,74.89,C,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21}
13 - 7,127,Cameron Dicker,K,Leafy Water,143.93,8.47,164.0,10.25,16,74.71,C,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21}
4 - 8,38,Omarion Hampton,RB,Kevin Nichols The Third,259.42,15.26,135.7,15.08,9,74.49,C,{E95CA752-6CD0-4670-853B-0AA8A2FDF295}
8 - 10,80,Jakobi Meyers,WR,i just wasted $20,219.64,12.92,166.4,11.09,15,74.3,C,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23}
11 - 8,108,Zach Charbonnet,RB,Matthew Dorchak,137.02,8.06,162.7,10.85,15,74.25,C,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
7 - 7,67,Rome Odunze,WR,Leafy Water,217.05,12.77,146.1,12.18,12,74.08,C,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21}
14 - 2,132,Cam Little,K,Dr@ft King$,135.84,7.99,146.0,9.12,16,73.93,C,{3389AE65-1498-46A0-8119-84AC1B8D92A9}
7 - 1,61,David Montgomery,RB,i just wasted $20,213.4,12.55,160.42,10.03,16,73.72,C,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23}
10 - 7,97,Khalil Shakir,WR,yay football woo,196.36,11.55,166.4,10.4,16,73.7,C,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
13 - 5,125,Justin Fields,QB,Pickens Brown Hubbard @ Mahomes,299.32,17.61,142.66,15.85,9,73.3,C,{1E294587-F125-49A7-AD9D-7567C0C3DEE1}
10 - 2,92,Tucker Kraft,TE,Dr@ft King$,159.96,9.41,117.2,14.65,8,73.02,C,{3389AE65-1498-46A0-8119-84AC1B8D92A9}
11 - 7,107,Rhamondre Stevenson,RB,Leafy Water,173.08,10.18,143.5,11.04,13,72.17,C-,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21}
3 - 4,24,Bucky Irving,RB,yay football woo,283.47,16.67,127.7,14.19,9,72.14,C-,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
5 - 4,44,Joe Burrow,QB,yay football woo,330.46,19.44,113.32,16.19,7,71.9,C-,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
15 - 1,141,J.J. McCarthy,QB,i just wasted $20,282.57,16.62,117.4,13.04,9,71.89,C-,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23}
14 - 10,140,Chris Boswell,K,i just wasted $20,138.42,8.14,137.0,8.56,16,71.47,C-,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23}
12 - 6,116,Chase McLaughlin,K,Pickens Brown Hubbard @ Mahomes,147.01,8.65,141.0,8.81,16,70.87,C-,{1E294587-F125-49A7-AD9D-7567C0C3DEE1}
15 - 2,142,Jake Bates,K,The Real Kevin Nichols,146.36,8.61,132.0,8.25,16,70.85,C-,{DFBF45BA-746C-4337-BF45-BA746C73373F}
12 - 2,112,Rashid Shaheed,WR,Dr@ft King$,179.17,10.54,155.4,9.14,17,70.85,C-,{3389AE65-1498-46A0-8119-84AC1B8D92A9}
3 - 10,30,Jayden Daniels,QB,Matthew Golden's Goose,371.59,21.86,114.28,16.33,7,70.62,C-,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1}
2 - 8,18,Brian Thomas Jr.,WR,Kevin Nichols The Third,270.04,15.88,130.9,10.07,13,70.41,C-,{E95CA752-6CD0-4670-853B-0AA8A2FDF295}
14 - 1,131,Vikings D/ST,D/ST,Matthew Golden's Goose,120.67,7.1,120.0,7.5,16,70.17,C-,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1}
15 - 7,147,Eagles D/ST,D/ST,Leafy Water,97.75,5.75,120.0,7.5,16,69.84,D+,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21}
5 - 10,50,Marvin Harrison Jr.,WR,Matthew Golden's Goose,240.0,14.12,127.8,10.65,12,69.71,D+,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1}
15 - 10,150,Harrison Butker,K,Matthew Golden's Goose,138.62,8.15,129.0,8.06,16,69.68,D+,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1}
9 - 4,84,Tyrone Tracy Jr.,RB,yay football woo,206.87,12.17,132.9,9.49,14,69.53,D+,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
9 - 2,82,Jacory Croskey-Merritt,RB,The Real Kevin Nichols,163.77,9.63,137.4,8.59,16,69.37,D+,{DFBF45BA-746C-4337-BF45-BA746C73373F}
12 - 8,118,Broncos D/ST,D/ST,Kevin Nichols The Third,130.13,7.65,124.0,7.75,16,69.35,D+,{E95CA752-6CD0-4670-853B-0AA8A2FDF295}
10 - 8,98,Jordan Addison,WR,Kevin Nichols The Third,167.31,11.95,133.3,10.25,13,69.2,D+,{E95CA752-6CD0-4670-853B-0AA8A2FDF295}
15 - 3,143,Rachaad White,RB,Kevin Nichols The Third,128.09,7.53,136.9,8.56,16,69.11,D+,{E95CA752-6CD0-4670-853B-0AA8A2FDF295}
6 - 6,56,Sam LaPorta,TE,Pickens Brown Hubbard @ Mahomes,191.77,11.28,106.9,11.88,9,69.07,D+,{1E294587-F125-49A7-AD9D-7567C0C3DEE1}
6 - 3,53,Garrett Wilson,WR,Matthew Dorchak,241.4,14.2,99.5,12.44,8,68.42,D+,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
13 - 8,128,Colston Loveland,TE,Matthew Dorchak,155.19,9.13,140.0,9.33,15,68.38,D+,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
9 - 3,83,Mark Andrews,TE,Kevin Nichols The Third,173.38,10.2,127.6,7.98,16,68.36,D+,{E95CA752-6CD0-4670-853B-0AA8A2FDF295}
10 - 5,95,J.K. Dobbins,RB,Steenage Mutant Ninja Turtles,171.37,10.08,115.9,11.59,10,68.19,D+,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528}
4 - 1,31,Terry McLaurin,WR,Matthew Golden's Goose,247.66,14.57,104.5,11.61,9,68.12,D+,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1}
6 - 9,59,Aaron Jones Sr.,RB,The Real Kevin Nichols,216.32,12.72,118.7,9.89,12,67.6,D+,{DFBF45BA-746C-4337-BF45-BA746C73373F}
12 - 10,120,Dalton Kincaid,TE,i just wasted $20,146.83,8.64,118.3,10.75,11,67.58,D+,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23}
4 - 6,36,Chuba Hubbard,RB,Pickens Brown Hubbard @ Mahomes,258.55,15.21,121.7,8.69,14,67.3,D+,{1E294587-F125-49A7-AD9D-7567C0C3DEE1}
8 - 5,75,Kyler Murray,QB,Steenage Mutant Ninja Turtles,306.94,18.06,77.78,15.56,5,67.08,D+,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528}
12 - 3,113,Josh Downs,WR,Matthew Dorchak,179.09,10.53,126.8,8.45,15,66.13,D,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
7 - 6,66,T.J. Hockenson,TE,Steenage Mutant Ninja Turtles,184.54,10.86,112.8,7.52,15,65.77,D,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528}
12 - 9,119,Steelers D/ST,D/ST,The Real Kevin Nichols,132.67,7.8,109.0,6.81,16,65.72,D,{DFBF45BA-746C-4337-BF45-BA746C73373F}
11 - 6,106,Jordan Mason,RB,Steenage Mutant Ninja Turtles,133.58,7.86,119.5,7.97,15,65.53,D,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528}
6 - 10,60,Jerry Jeudy,WR,i just wasted $20,231.44,13.61,116.5,7.28,16,65.43,D,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23}
9 - 1,81,Cooper Kupp,WR,i just wasted $20,202.37,11.9,111.4,7.43,15,64.98,D,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23}
5 - 9,49,Xavier Worthy,WR,Dr@ft King$,166.79,13.9,109.9,7.85,14,64.94,D,{3389AE65-1498-46A0-8119-84AC1B8D92A9}
2 - 3,13,Malik Nabers,WR,Matthew Dorchak,301.35,17.73,57.1,14.28,4,64.9,D,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
4 - 7,37,Alvin Kamara,RB,yay football woo,266.7,15.69,100.7,9.15,11,64.62,D,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
5 - 3,43,Mike Evans,WR,Kevin Nichols The Third,235.07,13.83,79.4,11.34,7,64.23,D,{E95CA752-6CD0-4670-853B-0AA8A2FDF295}
11 - 1,101,Ricky Pearsall,WR,i just wasted $20,198.38,11.67,88.6,9.84,9,63.99,D,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23}
12 - 7,117,Jayden Higgins,WR,yay football woo,161.48,9.5,119.2,7.45,16,63.81,D,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
14 - 7,137,Jake Elliott,K,yay football woo,141.38,8.32,104.0,6.5,16,63.71,D,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
3 - 5,25,Tyreek Hill,WR,Pickens Brown Hubbard @ Mahomes,263.71,15.51,53.5,13.38,4,62.04,D-,{1E294587-F125-49A7-AD9D-7567C0C3DEE1}
11 - 10,110,Keon Coleman,WR,Matthew Golden's Goose,201.02,11.82,93.5,7.79,12,61.42,D-,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1}
12 - 5,115,Chris Godwin Jr.,WR,Steenage Mutant Ninja Turtles,187.56,14.43,81.2,10.15,8,61.26,D-,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528}
13 - 4,124,Tyjae Spears,RB,yay football woo,119.18,9.17,102.0,8.5,12,61.15,D-,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
11 - 4,104,Evan Engram,TE,yay football woo,168.69,9.92,95.3,6.35,15,60.98,D-,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
15 - 4,144,Lions D/ST,D/ST,yay football woo,122.53,7.21,85.0,5.31,16,60.45,D-,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
8 - 4,74,David Njoku,TE,Leafy Water,176.39,10.38,86.3,7.19,12,60.22,D-,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21}
8 - 6,76,Isiah Pacheco,RB,Pickens Brown Hubbard @ Mahomes,213.79,12.58,87.3,6.72,13,59.1,F-,{1E294587-F125-49A7-AD9D-7567C0C3DEE1}
9 - 8,88,Travis Hunter,WR,Matthew Dorchak,212.54,12.5,63.8,9.11,7,59.08,F-,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
14 - 5,135,Ravens D/ST,D/ST,Steenage Mutant Ninja Turtles,122.95,7.23,74.0,4.62,16,57.31,F-,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528}
5 - 8,48,James Conner,RB,Matthew Dorchak,250.16,14.72,33.3,11.1,3,56.58,F-,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
15 - 5,145,Darnell Mooney,WR,Pickens Brown Hubbard @ Mahomes,160.79,10.05,77.3,5.52,14,55.54,F-,{1E294587-F125-49A7-AD9D-7567C0C3DEE1}
7 - 10,70,Matthew Golden,WR,Matthew Golden's Goose,203.32,11.96,68.2,5.25,13,55.41,F-,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1}
15 - 9,149,Cardinals D/ST,D/ST,Dr@ft King$,97.74,5.75,68.0,4.25,16,54.88,F-,{3389AE65-1498-46A0-8119-84AC1B8D92A9}
14 - 4,134,Jayden Reed,WR,Leafy Water,177.77,10.46,48.5,8.08,6,54.77,F-,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21}
8 - 7,77,Calvin Ridley,WR,yay football woo,229.18,13.48,47.3,6.76,7,51.99,F-,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
9 - 7,87,Austin Ekeler,RB,Leafy Water,207.83,12.23,13.1,6.55,2,45.1,F-,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21}
10 - 3,93,Tank Bigsby,RB,Matthew Dorchak,109.66,6.45,36.2,2.26,16,44.68,F-,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
13 - 6,126,Jerome Ford,RB,Steenage Mutant Ninja Turtles,109.27,6.43,43.6,3.35,13,43.99,F-,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528}
15 - 8,148,Bengals D/ST,D/ST,Matthew Dorchak,61.73,3.63,35.0,2.19,16,43.09,F-,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
14 - 9,139,Najee Harris,RB,The Real Kevin Nichols,95.04,5.59,11.6,3.87,3,35.59,F-,{DFBF45BA-746C-4337-BF45-BA746C73373F}
11 - 5,105,Kaleb Johnson,RB,Pickens Brown Hubbard @ Mahomes,159.81,9.4,8.8,0.88,10,32.09,F-,{1E294587-F125-49A7-AD9D-7567C0C3DEE1}
10 - 6,96,Joe Mixon,RB,Pickens Brown Hubbard @ Mahomes,118.07,13.12,0.0,0.0,0,19.5,F-,{1E294587-F125-49A7-AD9D-7567C0C3DEE1}
14 - 3,133,Tyler Bass,K,Matthew Dorchak,108.24,8.33,0.0,0.0,0,10.0,F-,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
