Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
10 - 17,179,Vikings D/ST,D/ST,Shae's Sunday Scaries ,120.67,7.1,120.0,7.5,16,68.28,D+,{301FF24A-F501-4A68-A146-66AEDC81FB63}
14 - 12,246,Rams D/ST,D/ST,Lamb of Goedert,87.74,5.16,115.0,7.19,16,68.24,D+,{4DBC9875-C246-495B-9731-408DC5E2DFCE}
11 - 18,198,Patriots D/ST,D/ST,Becca’s Ballers,101.44,5.97,119.0,7.44,16,68.23,D+,{2CC13964-3B93-4869-A746-1634AE79F650}
10 - 3,165,Hollywood Brown,WR,Men in Tight(End)s,174.0,10.24,128.3,8.55,15,68.18,D+,{337D12A9-D79A-4DBC-BD12-A9D79ACDBCEB}
5 - 5,77,Jacory Croskey-Merritt,RB,Faith's Fantastic Team,163.77,9.63,137.4,8.59,16,68.18,D+,{06A97A56-FAD2-4E95-B9D4-B3702CA829AE}
12 - 18,216,Tyler Loop,K,Flock Around and Find Out,140.26,8.25,134.0,8.38,16,68.17,D+,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE}
5 - 3,75,Tyrone Tracy Jr.,RB,Sacks and the City,206.87,12.17,132.9,9.49,14,68.15,D+,{FD379251-A8A4-42A5-8FA5-83D1DA913174}
12 - 10,208,Cairo Santos,K,Face Down Sacks Up,140.6,8.27,127.0,9.07,14,68.14,D+,{406D4692-3C67-4DBA-B1E3-5736014C31B1}
4 - 12,66,Aaron Jones Sr.,RB,Lamb of Goedert,216.32,12.72,118.7,9.89,12,68.13,D+,{4DBC9875-C246-495B-9731-408DC5E2DFCE}
7 - 5,113,Josh Downs,WR,Faith's Fantastic Team,179.09,10.53,126.8,8.45,15,67.99,D+,{06A97A56-FAD2-4E95-B9D4-B3702CA829AE}
1 - 15,15,Brian Thomas Jr.,WR,Hurts so good,270.04,15.88,130.9,10.07,13,67.85,D+,{2CC644B9-3D0A-49C1-A594-91F37AAB004C}
