Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Chris Moore,WR,Breece’s  Pieces,59.16,3.7,91.1,5.69,16,55.95,F-,{AB606613-7901-4CE2-A066-1379013CE29D}
Tyler Conklin,TE,Free  Brady,68.04,4.25,102.5,6.03,17,55.47,F-,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
Bears D/ST,D/ST,Dirty Tone and  The Boys,66.9,3.94,32.0,1.88,17,54.69,F-,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
Chigoziem Okonkwo,TE,Breece’s  Pieces,14.41,0.9,81.2,4.78,17,51.36,F-,{AB606613-7901-4CE2-A066-1379013CE29D}
Zack Moss,RB,The  Dream crusher,30.4,2.03,59.0,4.54,13,49.92,F-,{600C56A6-5DB0-42B1-8C56-A65DB022B176}
Eno Benjamin,RB,Free  Brady,55.67,3.71,77.1,5.14,14,49.83,F-,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
Devin Duvernay,WR,Lucky #13s,87.11,5.44,97.6,6.97,14,49.06,F-,{1AE08E91-6882-4C36-A08E-9168821C36D0}
Daniel Bellinger,TE,Saving Private Ryan,46.4,2.9,60.0,5.0,12,48.78,F-,{A8781626-DB52-4D55-B816-26DB528D55B6}
Zonovan Knight,RB,Lucky #13s,0.0,0.0,52.5,6.56,8,47.29,F-,{1AE08E91-6882-4C36-A08E-9168821C36D0}
Tutu Atwell,WR,Crazy Kat,38.33,2.4,54.2,4.17,13,46.06,F-,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
Tony Jones Jr.,RB,Dirty Tone and  The Boys,14.56,1.04,7.9,1.32,6,44.89,F-,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
Josh Reynolds,WR,Wu-Tangs Killabeez,48.38,3.02,84.9,6.06,14,44.03,F-,{8BED9748-9839-4F55-AD97-4898394F5553}
Dare Ogunbowale,RB,Breece’s  Pieces,57.14,3.81,38.7,2.28,17,40.62,F-,{AB606613-7901-4CE2-A066-1379013CE29D}
Ryan Tannehill,QB,the   jadey bunch,251.37,15.71,161.24,13.44,12,39.37,F-,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
Ronnie Rivers,RB,the   jadey bunch,0.0,0.0,7.5,0.94,8,38.78,F-,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
Raiders D/ST,D/ST,The Truth Hurts,72.94,4.29,55.0,3.24,17,36.43,F-,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
Brock Purdy,QB,Lucky #13s,0.0,0.0,106.26,11.81,9,35.24,F-,{1AE08E91-6882-4C36-A08E-9168821C36D0}
Mike White,QB,The  Dream crusher,0.0,0.0,56.58,14.14,4,34.71,F-,{600C56A6-5DB0-42B1-8C56-A65DB022B176}
Deshaun Watson,QB,Breece’s  Pieces,112.35,18.73,85.58,14.26,6,26.9,F-,{AB606613-7901-4CE2-A066-1379013CE29D}
Gardner Minshew,QB,The Truth Hurts,33.1,8.28,36.82,7.36,5,21.65,F-,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
T.Y. Hilton,WR,Maid of Honor,0.0,0.0,15.6,5.2,3,21.18,F-,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
Odell Beckham Jr.,WR,Saving Private Ryan,0.0,0.0,0.0,0.0,0,13.09,F-,{A8781626-DB52-4D55-B816-26DB528D55B6}
Sony Michel,RB,Team Rodriguez,56.61,3.77,20.4,2.04,10,10.0,F-,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
