Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Greg Dortch,WR,Shae's Sunday Scaries ,60.02,3.53,75.1,6.26,12,55.54,F-,{301FF24A-F501-4A68-A146-66AEDC81FB63}
Keaton Mitchell,RB,Shae's Sunday Scaries ,27.47,1.62,55.2,4.6,12,53.95,F-,{301FF24A-F501-4A68-A146-66AEDC81FB63}
Ameer Abdullah,RB,Shae's Sunday Scaries ,0.0,0.0,31.4,2.62,12,51.65,F-,{301FF24A-F501-4A68-A146-66AEDC81FB63}
Michael Mayer,TE,Lamb of Goedert,73.01,4.29,66.1,5.51,12,51.45,F-,{4DBC9875-C246-495B-9731-408DC5E2DFCE}
Audric Estime,RB,Gridiron Grace,0.0,0.0,32.5,5.42,6,49.56,F-,{2C5A506D-2152-485A-A901-E0C1F08F8915}
Davis Mills,QB,Shae's Sunday Scaries ,2.27,0.13,65.96,13.19,5,45.46,F-,{301FF24A-F501-4A68-A146-66AEDC81FB63}
Chris Brooks,RB,Nothing Beats A Jets 2 Holiday,25.22,1.48,26.6,1.66,16,42.24,F-,{9979E92C-9818-4436-9671-ABA329BBE6D9}
Malik Willis,QB,Flock Around and Find Out,2.39,0.14,51.18,12.79,4,38.85,F-,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE}
Isaiah Hodgins,WR,Say Cheese 🧀💚🧀,0.0,0.0,27.5,4.58,6,38.48,F-,{A3DDC0EE-C12D-4E65-8469-41034B77D8F5}
Dont'e Thornton Jr.,WR,Shae's Sunday Scaries ,70.38,4.14,23.5,1.68,14,37.64,F-,{301FF24A-F501-4A68-A146-66AEDC81FB63}
Kirk Cousins,QB,Flock Around and Find Out,2.41,0.14,94.34,10.48,9,36.33,F-,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE}
Jaret Patterson,RB,Shae's Sunday Scaries ,0.0,0.0,19.0,3.8,5,26.73,F-,{301FF24A-F501-4A68-A146-66AEDC81FB63}
Terrell Jennings,RB,Shae's Sunday Scaries ,0.0,0.0,15.2,2.17,7,23.03,F-,{301FF24A-F501-4A68-A146-66AEDC81FB63}
Josh Johnson,QB,Sacks and the City,0.0,0.0,0.0,0.0,0,10.0,F-,{FD379251-A8A4-42A5-8FA5-83D1DA913174}
