Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 8,8,Christian McCaffrey,RB,OBJYN,318.41,18.73,404.9,25.31,16,100.0,A+,{10F78273-9201-4EE8-B782-739201DEE809}
2 - 2,12,Jonathan Taylor,RB,Pleasant Valley Panthers,288.77,16.99,356.4,22.27,16,100.0,A+,{8DC6CB03-411B-4540-86CB-03411B854029}
1 - 2,2,Bijan Robinson,RB,CeeDee's Nuts,339.37,19.96,363.5,22.72,16,100.0,A+,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F}
1 - 10,10,Puka Nacua,WR,Inter Miami CF,298.63,17.57,349.0,23.27,15,100.0,A+,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
4 - 10,40,Jaxon Smith-Njigba,WR,Abyss Diamond Eyes,240.91,14.17,345.5,21.59,16,99.06,A+,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
1 - 5,5,Jahmyr Gibbs,RB,First down syndrome ,317.28,18.66,346.6,21.66,16,98.25,A+,{CF59EECF-F236-4BE7-93F6-C873EFC4BF85}
4 - 4,34,Josh Allen,QB,Werewolves of London,367.87,21.64,364.62,22.79,16,97.46,A+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
13 - 7,127,Drake Maye,QB,Werewolves of London,285.26,16.78,336.22,21.01,16,97.43,A+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
2 - 1,11,De'Von Achane,RB,Inter Miami CF,307.53,18.09,322.8,20.18,16,96.35,A,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
3 - 7,27,Trey McBride,TE,Werewolves of London,259.22,15.25,302.4,18.9,16,96.09,A,{4656A2AD-A939-460B-96A2-ADA939760B8B}
8 - 2,72,George Pickens,WR,Pleasant Valley Panthers,221.36,13.02,290.0,18.12,16,94.48,A,{8DC6CB03-411B-4540-86CB-03411B854029}
2 - 4,14,Amon-Ra St. Brown,WR,Werewolves of London,290.62,17.1,299.1,18.69,16,94.09,A,{4656A2AD-A939-460B-96A2-ADA939760B8B}
3 - 9,29,James Cook III,RB,Pleasant Valley Panthers,269.9,15.88,300.7,18.79,16,93.47,A,{8DC6CB03-411B-4540-86CB-03411B854029}
1 - 1,1,Ja'Marr Chase,WR,Abyss Diamond Eyes,340.02,20.0,290.0,19.33,15,93.1,A,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
5 - 5,45,Patrick Mahomes,QB,First down syndrome ,324.92,19.11,285.68,20.41,14,92.13,A-,{CF59EECF-F236-4BE7-93F6-C873EFC4BF85}
12 - 1,111,Dak Prescott,QB,Inter Miami CF,285.8,16.81,313.08,19.57,16,91.97,A-,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
11 - 8,108,Caleb Williams,QB,OBJYN,279.79,16.46,301.6,18.85,16,91.26,A-,{10F78273-9201-4EE8-B782-739201DEE809}
7 - 2,62,Chris Olave,WR,CeeDee's Nuts,209.82,12.34,268.0,16.75,16,90.16,A-,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F}
7 - 6,66,Bo Nix,QB,THE POOL ,301.89,17.76,294.3,18.39,16,90.01,A-,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
4 - 3,33,Jalen Hurts,QB,OBJYN,365.49,21.5,299.06,18.69,16,89.83,B+,{10F78273-9201-4EE8-B782-739201DEE809}
11 - 3,103,Justin Herbert,QB,Jimoke Jukes,284.48,16.73,286.88,17.93,16,89.48,B+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
3 - 1,21,Chase Brown,RB,Abyss Diamond Eyes,281.22,16.54,263.6,16.48,16,88.97,B+,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
2 - 8,18,Derrick Henry,RB,Jimoke Jukes,281.74,16.57,266.9,16.68,16,88.94,B+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
10 - 4,94,Travis Etienne Jr.,RB,Werewolves of London,188.14,11.07,249.1,15.57,16,87.26,B+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
3 - 5,25,Kyren Williams,RB,First down syndrome ,284.05,16.71,252.2,15.76,16,87.24,B+,{CF59EECF-F236-4BE7-93F6-C873EFC4BF85}
6 - 8,58,Baker Mayfield,QB,Jimoke Jukes,310.96,18.29,258.7,16.17,16,85.82,B,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
2 - 7,17,Josh Jacobs,RB,Riley  Read option,282.87,16.64,237.1,15.81,15,85.61,B,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F}
2 - 5,15,Nico Collins,WR,THE POOL ,289.12,17.01,226.2,15.08,15,84.83,B,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
4 - 2,32,Davante Adams,WR,Pleasant Valley Panthers,257.07,15.12,222.9,15.92,14,84.49,B,{8DC6CB03-411B-4540-86CB-03411B854029}
12 - 8,118,Javonte Williams,RB,Jimoke Jukes,217.23,12.78,242.8,15.18,16,84.44,B,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
2 - 3,13,A.J. Brown,WR,OBJYN,275.63,16.21,220.3,14.69,15,84.07,B,{10F78273-9201-4EE8-B782-739201DEE809}
6 - 5,55,D'Andre Swift,RB,THE POOL ,226.78,13.34,222.8,14.85,15,84.05,B,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
