Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 12,12,Nico Collins,WR,Toon Squad,239.0,14.06,190.7,12.71,15,84.4,B,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
5 - 5,61,Brock Purdy,QB,Ertz When I Pee,306.21,18.01,172.2,21.52,8,84.35,B,{F3D1384A-36F5-4EFA-B444-3241073A1940}
1 - 7,7,Ashton Jeanty,RB,Peter Pan + the Lost Boys ,270.68,15.92,206.7,12.92,16,84.14,B,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
11 - 5,145,Brandon Aubrey,K,Ertz When I Pee,142.15,8.36,177.6,11.1,16,83.59,B,{F3D1384A-36F5-4EFA-B444-3241073A1940}
2 - 4,18,A.J. Brown,WR,the   jadey bunch,230.05,13.53,181.3,12.09,15,83.07,B,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
11 - 7,147,Ka'imi Fairbairn,K,Peter Pan + the Lost Boys ,135.89,7.99,164.0,11.71,14,82.46,B-,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
8 - 2,100,Deebo Samuel,WR,Crazy Kat,171.47,10.09,149.1,9.94,15,82.39,B-,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
5 - 4,60,Courtland Sutton,WR,Team Rodriguez,190.02,11.18,181.7,11.36,16,82.19,B-,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
7 - 13,97,Jaylen Warren,RB,Crazy Kat,220.23,12.95,184.7,12.31,15,81.88,B-,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
5 - 7,63,Jameson Williams,WR,Peter Pan + the Lost Boys ,185.78,10.93,177.0,11.06,16,81.21,B-,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
2 - 3,17,Lamar Jackson,QB,Toon Squad,363.8,21.4,194.44,16.2,12,81.11,B-,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
1 - 6,6,CeeDee Lamb,WR,Is it Hockey Season?,258.55,15.21,162.5,12.5,13,80.84,B-,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
11 - 2,142,Cameron Dicker,K,Chasing Flowers,143.93,8.47,164.0,10.25,16,80.83,B-,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
6 - 5,75,Tetairoa McMillan,WR,Wu-Tangs Killabeez,193.83,11.4,167.9,10.49,16,80.75,B-,{8BED9748-9839-4F55-AD97-4898394F5553}
5 - 14,70,Breece Hall,RB,Michael's Monstrous Team,203.58,11.98,189.66,11.85,16,80.72,B-,{7EB13D07-3786-475B-8AE7-B42DB70413CD}
6 - 3,73,RJ Harvey,RB,Toon Squad,184.27,10.84,179.3,11.21,16,80.66,B-,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
2 - 14,28,Tee Higgins,WR,Crunchwrap Crew,218.23,12.84,166.4,11.89,14,80.56,B-,{07C11068-0E2F-433A-AA64-CF7A44FB08B7}
2 - 7,21,Drake London,WR,Febreze Brothers,218.72,12.87,152.1,13.83,11,80.45,B-,{A8781626-DB52-4D55-B816-26DB528D55B6}
4 - 13,55,Zay Flowers,WR,Chasing Flowers,195.72,11.51,172.5,10.78,16,80.32,B-,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
