Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
9 - 6,86,Jaylen Warren,RB,Ler of the Rings,220.23,12.95,184.7,12.31,15,84.13,B,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
2 - 3,13,Nico Collins,WR,Case Closed ,239.0,14.06,190.7,12.71,15,84.07,B,{1EC10606-80E9-4A6D-A618-E448864CAA58}
1 - 8,8,Ashton Jeanty,RB,Case Closed ,270.68,15.92,206.7,12.92,16,83.75,B,{1EC10606-80E9-4A6D-A618-E448864CAA58}
15 - 7,147,Cameron Dicker,K,Jockstrap jubilee ,143.93,8.47,164.0,10.25,16,83.51,B,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
16 - 8,158,C.J. Stroud,QB,Sacks in the City,280.36,16.49,191.28,14.71,13,82.95,B-,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
6 - 6,56,Zay Flowers,WR,Hall Pass,195.72,11.51,172.5,10.78,16,82.69,B-,{9417088B-0880-4F8A-A127-759BF41D4603}
2 - 1,11,A.J. Brown,WR,Mhoney Hurts So Good,230.05,13.53,181.3,12.09,15,82.57,B-,{5918A112-DDF9-4368-8414-A143EC58B846}
5 - 6,46,Breece Hall,RB,Ler of the Rings,203.58,11.98,189.66,11.85,16,82.56,B-,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
9 - 4,84,Tetairoa McMillan,WR,Big Ballsy Bozos,193.83,11.4,167.9,10.49,16,81.91,B-,{9B611343-247D-458B-88C3-50BB33789365}
6 - 5,55,DK Metcalf,WR,Ler of the Rings,199.76,11.75,157.7,10.51,15,80.53,B-,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
4 - 3,33,Lamar Jackson,QB,Case Closed ,363.8,21.4,194.44,16.2,12,80.52,B-,{1EC10606-80E9-4A6D-A618-E448864CAA58}
1 - 3,3,CeeDee Lamb,WR,Sacks in the City,258.55,15.21,162.5,12.5,13,80.37,B-,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
3 - 8,28,Tee Higgins,WR,Case Closed ,218.23,12.84,166.4,11.89,14,80.31,B-,{1EC10606-80E9-4A6D-A618-E448864CAA58}
15 - 9,149,Kyle Pitts Sr.,TE,Natural rack,118.17,6.95,158.0,9.88,16,80.26,B-,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
14 - 2,132,Texans D/ST,D/ST,Natural rack,128.82,7.58,162.0,10.12,16,80.26,B-,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
3 - 5,25,Drake London,WR,Hall Pass,218.72,12.87,152.1,13.83,11,80.25,B-,{9417088B-0880-4F8A-A127-759BF41D4603}
9 - 10,90,Michael Pittman Jr.,WR,Mhoney Hurts So Good,157.86,9.29,160.3,10.02,16,80.09,B-,{5918A112-DDF9-4368-8414-A143EC58B846}
7 - 8,68,Jameson Williams,WR,Case Closed ,185.78,10.93,177.0,11.06,16,80.07,B-,{1EC10606-80E9-4A6D-A618-E448864CAA58}
8 - 8,78,RJ Harvey,RB,Sacks in the City,184.27,10.84,179.3,11.21,16,79.55,C+,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
8 - 1,71,Rashee Rice,WR,Mhoney Hurts So Good,131.65,11.97,123.6,15.45,8,79.29,C+,{5918A112-DDF9-4368-8414-A143EC58B846}
5 - 8,48,TreVeyon Henderson,RB,Case Closed ,202.25,11.9,171.4,10.71,16,79.28,C+,{1EC10606-80E9-4A6D-A618-E448864CAA58}
10 - 10,100,Dallas Goedert,TE,Chicken’s Cougars ,124.44,7.32,155.1,10.34,15,78.85,C+,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
8 - 5,75,Emeka Egbuka,WR,Ler of the Rings,147.25,8.66,162.9,10.18,16,78.53,C+,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
3 - 3,23,Brock Bowers,TE,Sacks in the City,207.33,12.2,144.2,12.02,12,78.45,C+,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
8 - 10,80,Stefon Diggs,WR,Chicken’s Cougars ,127.81,7.52,162.0,10.12,16,78.11,C+,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
7 - 3,63,Jaylen Waddle,WR,Sacks in the City,182.74,10.75,162.12,10.13,16,77.57,C+,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
5 - 9,49,Kenneth Walker III,RB,Natural rack,216.01,12.71,161.1,10.07,16,77.37,C+,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
15 - 3,143,Chris Boswell,K,Sacks in the City,138.42,8.14,137.0,8.56,16,77.26,C+,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
10 - 7,97,Deebo Samuel,WR,Big Ballsy Bozos,171.47,10.09,149.1,9.94,15,76.96,C,{9B611343-247D-458B-88C3-50BB33789365}
6 - 8,58,DJ Moore,WR,Sacks in the City,193.93,11.41,143.58,8.97,16,76.85,C,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
5 - 2,42,Jayden Daniels,QB,Hunks of Hanet ,371.59,21.86,114.28,16.33,7,76.65,C,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
10 - 3,93,Jake Ferguson,TE,Case Closed ,117.04,6.88,146.1,9.13,16,76.59,C,{1EC10606-80E9-4A6D-A618-E448864CAA58}
4 - 4,34,Travis Kelce,TE,Jockstrap jubilee ,142.76,8.4,152.5,9.53,16,76.59,C,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
3 - 10,30,George Kittle,TE,Mhoney Hurts So Good,186.46,10.97,127.6,12.76,10,76.49,C,{5918A112-DDF9-4368-8414-A143EC58B846}
6 - 4,54,David Montgomery,RB,Jockstrap jubilee ,195.38,11.49,148.92,9.31,16,76.45,C,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
8 - 6,76,Tony Pollard,RB,Hall Pass,198.95,11.7,161.3,10.08,16,76.34,C,{9417088B-0880-4F8A-A127-759BF41D4603}
5 - 3,43,Joe Burrow,QB,Sacks in the City,330.46,19.44,113.32,16.19,7,76.33,C,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
14 - 1,131,Quinshon Judkins,RB,Mhoney Hurts So Good,43.44,2.71,156.8,11.2,14,76.3,C,{5918A112-DDF9-4368-8414-A143EC58B846}
4 - 10,40,DeVonta Smith,WR,Chicken’s Cougars ,178.91,10.52,156.6,9.79,16,76.27,C,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
3 - 2,22,Ladd McConkey,WR,Hunks of Hanet ,197.15,11.6,147.9,9.24,16,76.14,C,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
15 - 2,142,Jake Bates,K,Hunks of Hanet ,146.36,8.61,132.0,8.25,16,76.06,C,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
1 - 5,5,Justin Jefferson,WR,Hall Pass,259.72,15.28,145.1,9.07,16,75.62,C,{9417088B-0880-4F8A-A127-759BF41D4603}
13 - 5,125,Chase McLaughlin,K,Hall Pass,147.01,8.65,141.0,8.81,16,75.57,C,{9417088B-0880-4F8A-A127-759BF41D4603}
14 - 5,135,Cam Ward,QB,Ler of the Rings,257.24,15.13,177.48,11.09,16,75.02,C,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
7 - 6,66,Tyler Warren,TE,Ler of the Rings,133.69,7.86,145.4,9.09,16,75.0,C,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
11 - 4,104,Justin Fields,QB,Big Ballsy Bozos,299.32,17.61,142.66,15.85,9,74.86,C,{9B611343-247D-458B-88C3-50BB33789365}
9 - 5,85,Jakobi Meyers,WR,Hall Pass,175.66,10.33,131.4,8.76,15,74.79,C,{9417088B-0880-4F8A-A127-759BF41D4603}
14 - 7,137,Zach Charbonnet,RB,Big Ballsy Bozos,122.04,7.18,154.2,10.28,15,74.57,C,{9B611343-247D-458B-88C3-50BB33789365}
12 - 3,113,Jauan Jennings,WR,Case Closed ,157.65,9.27,140.3,10.02,14,73.69,C,{1EC10606-80E9-4A6D-A618-E448864CAA58}
16 - 5,155,Harrison Butker,K,Ler of the Rings,138.62,8.15,129.0,8.06,16,73.44,C,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
8 - 4,74,Rome Odunze,WR,Jockstrap jubilee ,181.31,10.67,124.1,10.34,12,73.3,C,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
10 - 6,96,Broncos D/ST,D/ST,Hall Pass,130.13,7.65,124.0,7.75,16,73.23,C,{9417088B-0880-4F8A-A127-759BF41D4603}
