Round,Team 1,Seed 1,Score 1,LPI 1,Total Points 1,Record 1,Team 2,Seed 2,Score 2,LPI 2,Total Points 2,Record 2,Winner,Year,League,File Name
Quarter Final,Wakanda Forever,4,120.58,-7,1532.28,8-6-0,Team CTE,5,87.64,11,1520.44,8-6-0,Wakanda Forever,2022,Game of Yards!,Game of Yards! 2022.xlsx
Semi Final,Stiff Armed and Dangerous,1,152.28,20,1598.32,10-4-0,Wakanda Forever,4,99.46,-6,1532.28,8-6-0,Stiff Armed and Dangerous,2022,Game of Yards!,Game of Yards! 2022.xlsx
Semi Final,Pain Inflictors,2,97.66,11,1598.4,9-5-0,Team HebAchi,6,103.26,-8,1453.44,6-8-0,Team HebAchi,2022,Game of Yards!,Game of Yards! 2022.xlsx
Championship,Stiff Armed and Dangerous,1,90.6,24,1598.32,10-4-0,Team HebAchi,6,149.32,-2,1453.44,6-8-0,Team HebAchi,2022,Game of Yards!,Game of Yards! 2022.xlsx
Quater Final,Run CMC,1,131.42,36,1598.48,18-10-0,Bye,-,-,-,-,-,Run CMC,2023,Game of Yards!,Game of Yards! 2023.xlsx
Quater Final,Brown Munde,2,119.54,18,1610.14,17-11-0,Bye,-,-,-,-,-,Brown Munde,2023,Game of Yards!,Game of Yards! 2023.xlsx
Quater Final,THE BIGMADBLUE,3,123.82,11,1561.24,17-11-0,Kelce You Again!,9,84.78,32,1537.8,13-15-0,THE BIGMADBLUE,2023,Game of Yards!,Game of Yards! 2023.xlsx
Quater Final,Pain Inflictors,4,82.86,0,1551.78,17-11-0,Wakanda Forever,5,77.2,-13,1429.38,14-14-0,Pain Inflictors,2023,Game of Yards!,Game of Yards! 2023.xlsx
Semi Final,Run CMC,1,126.62,43,1598.48,18-10-0,Pain Inflictors,4,141.68,10,1551.78,17-11-0,Pain Inflictors,2023,Game of Yards!,Game of Yards! 2023.xlsx
Semi Final,Brown Munde,2,103.58,17,1610.14,17-11-0,THE BIGMADBLUE,3,120.54,12,1561.24,17-11-0,THE BIGMADBLUE,2023,Game of Yards!,Game of Yards! 2023.xlsx
Championship,Pain Inflictors,4,108.16,10,1551.78,17-11-0,THE BIGMADBLUE,3,118.78,14,1561.24,17-11-0,THE BIGMADBLUE,2023,Game of Yards!,Game of Yards! 2023.xlsx
Quater Final,The Chase is on,1,96.64,31,1901.26,21-7-0,Bye,-,-,-,-,-,The Chase is on,2024,Game of Yards!,Game of Yards! 2024.xlsx
Quater Final,Team HebAchi,2,128.4,36,1749.4,22-6-0,Bye,-,-,-,-,-,Team HebAchi,2024,Game of Yards!,Game of Yards! 2024.xlsx
Quater Final,Cooper Troopers,3,133.08,11,1684.36,17-11-0,Pain Inflictors,5,147.36,-23,1545.28,12-16-0,Pain Inflictors,2024,Game of Yards!,Game of Yards! 2024.xlsx
Quater Final,Brown Munde,4,117.58,12,1676.52,16-12-0,Groot-o-Matic,8,152.28,-6,1620.12,13-15-0,Groot-o-Matic,2024,Game of Yards!,Game of Yards! 2024.xlsx
Semi Final,The Chase is on,1,156.78,40,1901.26,21-7-0,Pain Inflictors,5,137.74,-17,1545.28,12-16-0,The Chase is on,2024,Game of Yards!,Game of Yards! 2024.xlsx
Semi Final,Team HebAchi,2,116.18,31,1749.4,22-6-0,Groot-o-Matic,8,112.16,-13,1620.12,13-15-0,Team HebAchi,2024,Game of Yards!,Game of Yards! 2024.xlsx
Championship,The Chase is on,1,146.38,43,1901.26,21-7-0,Team HebAchi,2,113.52,32,1749.4,22-6-0,The Chase is on,2024,Game of Yards!,Game of Yards! 2024.xlsx
Quarter Final,Vidhi's Spirited Team,1,155.3,26,1884.2,20-8-0,Bye,-,-,-,-,-,Vidhi's Spirited Team,2025,Game of Yards!,Game of Yards! 2025.xlsx
Quarter Final,Wakanda Forever,2,155.6,-18,1756.36,18-10-0,Brown Munde,7,133.78,10,1577.84,13-15-0,Wakanda Forever,2025,Game of Yards!,Game of Yards! 2025.xlsx
Quarter Final,Team HebAchi,3,121.3,40,1790.16,20-8-0,Bye,-,-,-,-,-,Team HebAchi,2025,Game of Yards!,Game of Yards! 2025.xlsx
Quarter Final,Team CTE,4,125.24,6,1687.66,14-14-0,BB,5,124.82,-2,1617.32,16-12-0,Team CTE,2025,Game of Yards!,Game of Yards! 2025.xlsx
Quarter Final,Groot-o-Matic,6,94.72,-10,1596.6,12-16-0,Obi-Wan Jakobi,8,115.3,-13,1622.1,11-17-0,Obi-Wan Jakobi,2025,Game of Yards!,Game of Yards! 2025.xlsx
Quarter Final,Vidhi's Spirited Team,1,112.36,24,1884.2,20-8-0,Team CTE,4,129.4,6,1687.66,14-14-0,Team CTE,2025,Game of Yards!,Game of Yards! 2025.xlsx
Quarter Final,Wakanda Forever,2,132.7,-17,1756.36,18-10-0,Team HebAchi,3,94.6,38,1790.16,20-8-0,Wakanda Forever,2025,Game of Yards!,Game of Yards! 2025.xlsx
Quarter Final,Obi-Wan Jakobi,8,124.54,-13,1622.1,11-17-0,Pain Inflictors,10,116.3,-23,1546.1,7-21-0,Obi-Wan Jakobi,2025,Game of Yards!,Game of Yards! 2025.xlsx
Semi Final,Team CTE,4,131.92,11,1687.66,14-14-0,Wakanda Forever,2,119.74,-14,1756.36,18-10-0,Team CTE,2025,Game of Yards!,Game of Yards! 2025.xlsx
Semi Final,Obi-Wan Jakobi,8,79.98,-24,1622.1,11-17-0,The Chase is on,9,95.2,-31,1520.92,9-19-0,The Chase is on,2025,Game of Yards!,Game of Yards! 2025.xlsx
Quarter Final,"No, This Is Patrick!",1,109.42,-3,1569.32,11-3-0,Bye,-,-,-,-,-,"No, This Is Patrick!",2025,OnP Fantasy,OnP Fantasy 2025.xlsx
Quarter Final,Red Bulls On Parade,2,101.4,12,1737.32,10-4-0,Bye,-,-,-,-,-,Red Bulls On Parade,2025,OnP Fantasy,OnP Fantasy 2025.xlsx
Quarter Final,The Bill Croskey Show,3,135.0,47,1874.84,10-4-0,U Lost to a Red Bull Rookie,6,128.28,25,1727.92,7-7-0,The Bill Croskey Show,2025,OnP Fantasy,OnP Fantasy 2025.xlsx
Quarter Final,Cowtown Cowboys,4,146.32,0,1654.06,8-6-0,Dennis The Menace ,5,141.28,2,1519.2,8-6-0,Cowtown Cowboys,2025,OnP Fantasy,OnP Fantasy 2025.xlsx
Semi Final,"No, This Is Patrick!",1,112.4,-1,1569.32,11-3-0,Cowtown Cowboys,4,159.86,4,1654.06,8-6-0,Cowtown Cowboys,2025,OnP Fantasy,OnP Fantasy 2025.xlsx
Semi Final,Red Bulls On Parade,2,125.02,16,1737.32,10-4-0,The Bill Croskey Show,3,136.9,53,1874.84,10-4-0,The Bill Croskey Show,2025,OnP Fantasy,OnP Fantasy 2025.xlsx
Championship,Cowtown Cowboys,4,140.84,13,1654.06,8-6-0,The Bill Croskey Show,3,141.04,64,1874.84,10-4-0,The Bill Croskey Show,2025,OnP Fantasy,OnP Fantasy 2025.xlsx
Quarter Final,Natural rack,1,158.8,42,1679.3,11-3-0,Bye,-,-,-,-,-,Natural rack,2025,Operators Football League,Operators Football League 2025.xlsx
Quarter Final,Mhoney Hurts So Good,2,120.26,-2,1552.2,10-4-0,Bye,-,-,-,-,-,Mhoney Hurts So Good,2025,Operators Football League,Operators Football League 2025.xlsx
Quarter Final,Ler of the Rings,3,91.42,34,1733.26,9-5-0,Hall Pass,6,107.52,35,1573.48,6-8-0,Hall Pass,2025,Operators Football League,Operators Football League 2025.xlsx
Quarter Final,Hunks of Hanet ,4,92.98,-11,1546.72,9-5-0,Big Ballsy Bozos,5,95.56,-16,1410.62,8-6-0,Big Ballsy Bozos,2025,Operators Football League,Operators Football League 2025.xlsx
Semi Final,Natural rack,1,125.4,44,1679.3,11-3-0,Big Ballsy Bozos,5,106.12,-16,1410.62,8-6-0,Natural rack,2025,Operators Football League,Operators Football League 2025.xlsx
Semi Final,Mhoney Hurts So Good,2,128.16,-4,1552.2,10-4-0,Hall Pass,6,87,31,1573.48,6-8-0,Mhoney Hurts So Good,2025,Operators Football League,Operators Football League 2025.xlsx
Championship,Natural rack,1,117.44,52,1679.3,11-3-0,Mhoney Hurts So Good,2,107.08,1,1552.2,10-4-0,Natural rack,2025,Operators Football League,Operators Football League 2025.xlsx
Quarter Final,Team Cogs,1,116.98,46,1640.26,12-2-0,Rizzo's Crash Test Dummy,8,105.4,-6,1431.64,6-8-0,Team Cogs,2022,Pennoni Younglings,Pennoni Younglings 2022.xlsx
Quarter Final,The Golden Receivers,2,106.7,30,1553.28,10-4-0,Came and Wentz,7,95.66,-4,1453.54,7-7-0,The Golden Receivers,2022,Pennoni Younglings,Pennoni Younglings 2022.xlsx
Quarter Final,19th St Halal Cart,3,93.1,15,1539.04,9-5-0,PAI Alcoholics Anonymous ,6,109.64,34,1463.36,7-7-0,PAI Alcoholics Anonymous ,2022,Pennoni Younglings,Pennoni Younglings 2022.xlsx
Quarter Final,Philadelphia British Army,4,136.56,8,1482.64,8-6-0,Book of MoreMoms,5,117.74,0,1467.52,7-7-0,Philadelphia British Army,2022,Pennoni Younglings,Pennoni Younglings 2022.xlsx
Semi Final,Team Cogs,1,84.26,46,1640.26,12-2-0,Philadelphia British Army,4,145.68,10,1482.64,8-6-0,Philadelphia British Army,2022,Pennoni Younglings,Pennoni Younglings 2022.xlsx
Semi Final,The Golden Receivers,2,96.8,29,1553.28,10-4-0,PAI Alcoholics Anonymous ,6,84.36,31,1463.36,7-7-0,The Golden Receivers,2022,Pennoni Younglings,Pennoni Younglings 2022.xlsx
Championship,Philadelphia British Army,4,53.0,1,1482.64,8-6-0,The Golden Receivers,2,27.0,18,1553.28,10-4-0,Philadelphia British Army,2022,Pennoni Younglings,Pennoni Younglings 2022.xlsx
Quarter Final,Team Cogs,1,126.36,7,1629.68,11-3-0,I'd_Tap_ That,8,91.48,-14,1436.46,6-8-0,Team Cogs,2023,Pennoni Younglings,Pennoni Younglings 2023.xlsx
Quarter Final,19th St Halal Cart,2,131.86,60,1661.48,10-4-0,PAI India Division Manager,7,120.14,29,1661.92,6-8-0,19th St Halal Cart,2023,Pennoni Younglings,Pennoni Younglings 2023.xlsx
Quarter Final,Book of MoreMoms,3,105.66,-3,1494.1,9-5-0,The Golden Receivers,6,97.42,2,1497.52,7-7-0,Book of MoreMoms,2023,Pennoni Younglings,Pennoni Younglings 2023.xlsx
Quarter Final,PAI Alcoholics Anonymous ,4,110.92,8,1511.42,8-6-0,Bli Erinker,5,116.56,24,1606.66,7-7-0,Bli Erinker,2023,Pennoni Younglings,Pennoni Younglings 2023.xlsx
Semi Final,Team Cogs,1,94.76,2,1629.68,11-3-0,Bli Erinker,5,96.82,21,1606.66,7-7-0,Bli Erinker,2023,Pennoni Younglings,Pennoni Younglings 2023.xlsx
Semi Final,19th St Halal Cart,2,87.78,58,1661.48,10-4-0,Book of MoreMoms,3,114.42,-3,1494.1,9-5-0,Book of MoreMoms,2023,Pennoni Younglings,Pennoni Younglings 2023.xlsx
Championship,Bli Erinker,5,93.18,24,1606.66,7-7-0,Book of MoreMoms,3,139.8,2,1494.1,9-5-0,Book of MoreMoms,2023,Pennoni Younglings,Pennoni Younglings 2023.xlsx
Quarter Final,Pho_King,1,89.94,-1,1657.6,10-4-0,Bye,-,-,-,-,-,Pho_King,2024,Pennoni Younglings,Pennoni Younglings 2024.xlsx
Quarter Final,Partners for What's Possible,2,142.58,19,1719.5,9-5-0,PAI Alcoholics Anonymous ,7,128.9,51,1805.66,6-8-0,Partners for What's Possible,2024,Pennoni Younglings,Pennoni Younglings 2024.xlsx
Quarter Final,19th St Halal Cart,3,115.94,-22,1703.48,9-5-0,Prahlad's Ghost,6,129.96,14,1678.7,7-7-0,Prahlad's Ghost,2024,Pennoni Younglings,Pennoni Younglings 2024.xlsx
Quarter Final,Came and Wentz,4,80.76,1,1651.04,9-5-0,The Golden Receivers,5,144.14,8,1686.36,8-6-0,The Golden Receivers,2024,Pennoni Younglings,Pennoni Younglings 2024.xlsx
Semi Final,Pho_King,1,125.22,2,1657.6,10-4-0,The Golden Receivers,5,138.64,13,1686.36,8-6-0,The Golden Receivers,2024,Pennoni Younglings,Pennoni Younglings 2024.xlsx
Semi Final,Partners for What's Possible,2,129.96,24,1719.5,9-5-0,Prahlad's Ghost,6,165.08,21,1678.7,7-7-0,Prahlad's Ghost,2024,Pennoni Younglings,Pennoni Younglings 2024.xlsx
Championship,The Golden Receivers,5,112.82,13,1686.36,8-6-0,Prahlad's Ghost,6,128,23,1678.7,7-7-0,Prahlad's Ghost,2024,Pennoni Younglings,Pennoni Younglings 2024.xlsx
Quarter Final,19th St Halal Cart,1,122.0,-5,1670.86,10-4-0,Bye,-,-,-,-,-,19th St Halal Cart,2025,Pennoni Younglings,Pennoni Younglings 2025.xlsx
Quarter Final,Philadelphia Bills Mafia,2,171.82,38,1770.28,9-5-0,PAI Alcoholics Anonymous ,7,125.82,38,1645.28,6-8-0,Philadelphia Bills Mafia,2025,Pennoni Younglings,Pennoni Younglings 2025.xlsx
Quarter Final,Prahlad's Ghost,3,197.9,39,1722.7,8-6-0,cman,6,127.46,14,1653.48,7-7-0,Prahlad's Ghost,2025,Pennoni Younglings,Pennoni Younglings 2025.xlsx
Quarter Final,Daddy's Finally Home,4,85.8,6,1687.78,8-6-0,Eli,5,146.2,4,1633.28,8-6-0,Eli,2025,Pennoni Younglings,Pennoni Younglings 2025.xlsx
Semi Final,19th St Halal Cart,1,115.1,-1,1670.86,10-4-0,Eli,5,146.12,10,1633.28,8-6-0,Eli,2025,Pennoni Younglings,Pennoni Younglings 2025.xlsx
Semi Final,Philadelphia Bills Mafia,2,149.56,41,1770.28,9-5-0,Prahlad's Ghost,3,98.2,40,1722.7,8-6-0,Philadelphia Bills Mafia,2025,Pennoni Younglings,Pennoni Younglings 2025.xlsx
Championship,Eli,5,116.28,14,1633.28,8-6-0,Philadelphia Bills Mafia,2,122.78,47,1770.28,9-5-0,Philadelphia Bills Mafia,2025,Pennoni Younglings,Pennoni Younglings 2025.xlsx
Quarter Final,Pickens Brown Hubbard @ Mahomes,1,81.26,-12,1797.18,10-3-1,Bye,-,-,-,-,-,Pickens Brown Hubbard @ Mahomes,2025,Philly Extra Special,Philly Extra Special 2025.xlsx
Quarter Final,Leafy Water,2,123.38,41,1782.84,10-4-0,Bye,-,-,-,-,-,Leafy Water,2025,Philly Extra Special,Philly Extra Special 2025.xlsx
Quarter Final,Dr@ft King$,3,162.1,44,1774.36,8-6-0,The Real Kevin Nichols,6,156.9,8,1629.38,6-8-0,Dr@ft King$,2025,Philly Extra Special,Philly Extra Special 2025.xlsx
Quarter Final,Matthew Dorchak,4,152.1,-13,1709.32,8-6-0,Steenage Mutant Ninja Turtles,5,117.62,16,1775.46,6-7-1,Matthew Dorchak,2025,Philly Extra Special,Philly Extra Special 2025.xlsx
Semi Final,Pickens Brown Hubbard @ Mahomes,1,128.18,-6,1797.18,10-3-1,Matthew Dorchak,4,132.9,-5,1709.32,8-6-0,Matthew Dorchak,2025,Philly Extra Special,Philly Extra Special 2025.xlsx
Semi Final,Leafy Water,2,141.2,49,1782.84,10-4-0,Dr@ft King$,3,126,50,1774.36,8-6-0,Leafy Water,2025,Philly Extra Special,Philly Extra Special 2025.xlsx
Championship,Matthew Dorchak,4,140.02,4,1709.32,8-6-0,Leafy Water,2,141.5,60,1782.84,10-4-0,Leafy Water,2025,Philly Extra Special,Philly Extra Special 2025.xlsx
Quarter Final, Johnny  Dramas ,1,157.2,18,,,Texadelphia,8,116.4,44,,, Johnny  Dramas ,2024,RRR On Premise ,RRR On Premise  2024.xlsx
Quarter Final,Claytons Team of Experts,2,120.54,-1,,,Plano Pipebombs ,7,136.8,7,,,Plano Pipebombs ,2024,RRR On Premise ,RRR On Premise  2024.xlsx
Quarter Final,Master and commanders,3,145.8,4,,,Stephen's Super Team,6,97.24,23,,,Master and commanders,2024,RRR On Premise ,RRR On Premise  2024.xlsx
Quarter Final,That's Purdy Koo,4,103.58,-19,,,Kill Bills ,5,132.68,6,,,Kill Bills ,2024,RRR On Premise ,RRR On Premise  2024.xlsx
Semi Final, Johnny  Dramas ,1,178.78,24,,,Kill Bills ,5,118.66,10,,, Johnny  Dramas ,2024,RRR On Premise ,RRR On Premise  2024.xlsx
Semi Final,Plano Pipebombs ,7,90.24,1,,,Master and commanders,3,123.72,0,,,Master and commanders,2024,RRR On Premise ,RRR On Premise  2024.xlsx
Championship, Johnny  Dramas ,1,172.52,29,,,Master and commanders,3,109.66,3,,, Johnny  Dramas ,2024,RRR On Premise ,RRR On Premise  2024.xlsx
Quarter Final,the   jadey bunch,1,119.08,55,1578.12,11-3-0,The Truth Hurts,8,113.3,5,1361.56,6-8-0,the   jadey bunch,2022,THE BEST OF THE BEST,THE BEST OF THE BEST 2022.xlsx
Quarter Final,Maid of Honor,2,67.82,-63,1259.32,10-4-0,The  Dream crusher,7,85.14,31,1550.78,7-7-0,The  Dream crusher,2022,THE BEST OF THE BEST,THE BEST OF THE BEST 2022.xlsx
Quarter Final,Crazy Kat,3,158.86,44,1574.02,11-3-0,Breece’s  Pieces,6,123.2,23,1430.86,8-6-0,Crazy Kat,2022,THE BEST OF THE BEST,THE BEST OF THE BEST 2022.xlsx
Quarter Final,Lucky #13s,4,71.16,-6,1400.58,10-4-0,Wu-Tangs Killabeez,5,103.78,20,1499.14,9-5-0,Wu-Tangs Killabeez,2022,THE BEST OF THE BEST,THE BEST OF THE BEST 2022.xlsx
Semi Final,the   jadey bunch,1,105.36,57,1578.12,11-3-0,Wu-Tangs Killabeez,5,90.84,20,1499.14,9-5-0,the   jadey bunch,2022,THE BEST OF THE BEST,THE BEST OF THE BEST 2022.xlsx
Semi Final,The  Dream crusher,7,119.46,39,1550.78,7-7-0,Crazy Kat,3,107.48,51,1574.02,11-3-0,The  Dream crusher,2022,THE BEST OF THE BEST,THE BEST OF THE BEST 2022.xlsx
Championship,the   jadey bunch,1,67.6,53,1578.12,11-3-0,The  Dream crusher,7,86.42,38,1550.78,7-7-0,The  Dream crusher,2022,THE BEST OF THE BEST,THE BEST OF THE BEST 2022.xlsx
Quarter Final,Peter Pan + the Lost Boys ,1,91.7,27,1647.74,10-4-0,the   jadey bunch,8,90.22,9,1521.34,6-8-0,Peter Pan + the Lost Boys ,2023,THE BEST OF THE BEST,THE BEST OF THE BEST 2023.xlsx
Quarter Final,The  Dream crusher,2,96.08,10,1595.4,10-4-0,Team Sunshine,7,122.02,21,1421.42,7-7-0,Team Sunshine,2023,THE BEST OF THE BEST,THE BEST OF THE BEST 2023.xlsx
Quarter Final,Off Script ,3,88.22,2,1556.32,9-5-0,Crazy Kat,6,77.04,-3,1430.84,7-7-0,Off Script ,2023,THE BEST OF THE BEST,THE BEST OF THE BEST 2023.xlsx
Quarter Final,Toon Squad,4,143.94,14,1550.0,8-6-0,Maid of Honor,5,138.74,27,1504.96,7-7-0,Toon Squad,2023,THE BEST OF THE BEST,THE BEST OF THE BEST 2023.xlsx
Semi Final,Peter Pan + the Lost Boys ,1,131.92,30,1647.74,10-4-0,Toon Squad,4,96.16,15,1550.0,8-6-0,Peter Pan + the Lost Boys ,2023,THE BEST OF THE BEST,THE BEST OF THE BEST 2023.xlsx
Semi Final,Team Sunshine,7,89.3,16,1421.42,7-7-0,Off Script ,3,110.18,-1,1556.32,9-5-0,Off Script ,2023,THE BEST OF THE BEST,THE BEST OF THE BEST 2023.xlsx
Championship,Peter Pan + the Lost Boys ,1,158.28,40,1647.74,10-4-0,Off Script ,3,124.3,8,1556.32,9-5-0,Peter Pan + the Lost Boys ,2023,THE BEST OF THE BEST,THE BEST OF THE BEST 2023.xlsx
Quarter Final,Team Rodriguez,1,121.7,72,1832.76,13-1-0,Dirty Tone and  The Boys,8,94.5,21,1512.36,6-8-0,Team Rodriguez,2024,THE BEST OF THE BEST,THE BEST OF THE BEST 2024.xlsx
Quarter Final,Peter Pan + the Lost Boys ,2,88.6,8,1532.54,10-4-0,Crazy Kat,7,134.02,-40,1370.56,7-7-0,Crazy Kat,2024,THE BEST OF THE BEST,THE BEST OF THE BEST 2024.xlsx
Quarter Final,Taco Tuesday Everyday,3,150.74,42,1682.34,10-4-0,Wu-Tangs Killabeez,6,87.66,6,1500.3,7-7-0,Taco Tuesday Everyday,2024,THE BEST OF THE BEST,THE BEST OF THE BEST 2024.xlsx
Quarter Final,It HURTS being an Eagles fan ,4,144.06,27,1568.32,9-5-0,Terrell Suggs to be you,5,136.84,28,1591.8,7-7-0,It HURTS being an Eagles fan ,2024,THE BEST OF THE BEST,THE BEST OF THE BEST 2024.xlsx
Semi Final,Team Rodriguez,1,125.96,70,1832.76,13-1-0,It HURTS being an Eagles fan ,4,101.18,24,1568.32,9-5-0,Team Rodriguez,2024,THE BEST OF THE BEST,THE BEST OF THE BEST 2024.xlsx
Semi Final,Crazy Kat,7,88.12,-40,1370.56,7-7-0,Taco Tuesday Everyday,3,146.1,44,1682.34,10-4-0,Taco Tuesday Everyday,2024,THE BEST OF THE BEST,THE BEST OF THE BEST 2024.xlsx
Championship,Team Rodriguez,1,127.64,75,1832.76,13-1-0,Taco Tuesday Everyday,3,124.8,46,1682.34,10-4-0,Team Rodriguez,2024,THE BEST OF THE BEST,THE BEST OF THE BEST 2024.xlsx
Quarter Final,Team Rodriguez,1,124.74,21,1600.66,10-4-0,Peter Pan + the Lost Boys ,8,102.26,4,1497.68,7-7-0,Team Rodriguez,2025,THE BEST OF THE BEST,THE BEST OF THE BEST 2025.xlsx
Quarter Final,The Upside Down,2,154.52,16,1560.74,9-5-0,Michael's Monstrous Team,7,121.36,-9,1492.0,8-6-0,The Upside Down,2025,THE BEST OF THE BEST,THE BEST OF THE BEST 2025.xlsx
Quarter Final,Toon Squad,3,118.42,15,1540.86,9-5-0,Febreze Brothers,6,147.62,-4,1497.0,8-6-0,Febreze Brothers,2025,THE BEST OF THE BEST,THE BEST OF THE BEST 2025.xlsx
Quarter Final,Is it Hockey Season?,4,129.08,13,1533.36,9-5-0,Chasing Flowers,5,164.66,26,1531.7,8-6-0,Chasing Flowers,2025,THE BEST OF THE BEST,THE BEST OF THE BEST 2025.xlsx
Semi Final,Team Rodriguez,1,140.22,27,1600.66,10-4-0,Chasing Flowers,5,115.8,30,1531.7,8-6-0,Team Rodriguez,2025,THE BEST OF THE BEST,THE BEST OF THE BEST 2025.xlsx
Semi Final,The Upside Down,2,158.78,24,1560.74,9-5-0,Febreze Brothers,6,116.2,2,1497.0,8-6-0,The Upside Down,2025,THE BEST OF THE BEST,THE BEST OF THE BEST 2025.xlsx
Championship,Team Rodriguez,1,123.26,35,1600.66,10-4-0,The Upside Down,2,102.32,30,1560.74,9-5-0,Team Rodriguez,2025,THE BEST OF THE BEST,THE BEST OF THE BEST 2025.xlsx
Quarter Final,Tush Push Director 🍑,1,107.3,15,1603.24,12-3-0,Bye,-,-,-,-,-,Tush Push Director 🍑,2025,The Girl's Room 💞🏈,The Girl's Room 💞🏈 2025.xlsx
Quarter Final,Flock Around and Find Out,2,161.96,60,1710.42,11-4-0,Bye,-,-,-,-,-,Flock Around and Find Out,2025,The Girl's Room 💞🏈,The Girl's Room 💞🏈 2025.xlsx
Quarter Final,Say Cheese 🧀💚🧀,3,148.4,33,1614.84,10-5-0,Nikki  ,6,110.78,1,1396.64,9-6-0,Say Cheese 🧀💚🧀,2025,The Girl's Room 💞🏈,The Girl's Room 💞🏈 2025.xlsx
Quarter Final,Becca’s Ballers,4,128.58,8,1593.16,10-5-0,Nothing Beats A Jets 2 Holiday,5,110.7,21,1511.66,9-6-0,Becca’s Ballers,2025,The Girl's Room 💞🏈,The Girl's Room 💞🏈 2025.xlsx
Semi Final,Tush Push Director 🍑,1,143.52,20,1603.24,12-3-0,Becca’s Ballers,4,100.66,12,1593.16,10-5-0,Tush Push Director 🍑,2025,The Girl's Room 💞🏈,The Girl's Room 💞🏈 2025.xlsx
Semi Final,Flock Around and Find Out,2,158.78,68,1710.42,11-4-0,Say Cheese 🧀💚🧀,3,106.34,40,1614.84,10-5-0,Flock Around and Find Out,2025,The Girl's Room 💞🏈,The Girl's Room 💞🏈 2025.xlsx
Championship,Tush Push Director 🍑,1,68.8,15,1603.24,12-3-0,Flock Around and Find Out,2,72.9,65,1710.42,11-4-0,Flock Around and Find Out,2025,The Girl's Room 💞🏈,The Girl's Room 💞🏈 2025.xlsx
Quarter Final,Sutton Deez Nuts,1,137.42,53,1934.18,11-3-0,Njigba's in Paris,8,119.5,-20,1657.16,7-7-0,Sutton Deez Nuts,2025,The Mike Daisy Sports IQ League,The Mike Daisy Sports IQ League 2025.xlsx
Quarter Final,CeeDee'sNUTZ,2,159.56,43,1936.66,10-4-0,Team Daisey,7,109.8,6,1731.18,7-7-0,CeeDee'sNUTZ,2025,The Mike Daisy Sports IQ League,The Mike Daisy Sports IQ League 2025.xlsx
Quarter Final,Salem County Durag Snatchers,3,125.66,16,1812.04,8-6-0,Sh1tting on Laporta potty ,6,170.44,10,1785.82,7-7-0,Sh1tting on Laporta potty ,2025,The Mike Daisy Sports IQ League,The Mike Daisy Sports IQ League 2025.xlsx
Quarter Final,Whole lotta gang sheed,4,119.7,2,1661.8,8-6-0,Get Money Gang,5,133.6,-17,1593.08,8-6-0,Get Money Gang,2025,The Mike Daisy Sports IQ League,The Mike Daisy Sports IQ League 2025.xlsx
Semi Final,Sutton Deez Nuts,1,122.3,51,1934.18,11-3-0,Get Money Gang,5,87.22,-21,1593.08,8-6-0,Sutton Deez Nuts,2025,The Mike Daisy Sports IQ League,The Mike Daisy Sports IQ League 2025.xlsx
Semi Final,CeeDee'sNUTZ,2,121.56,48,1936.66,10-4-0,Sh1tting on Laporta potty ,6,199.6,17,1785.82,7-7-0,Sh1tting on Laporta potty ,2025,The Mike Daisy Sports IQ League,The Mike Daisy Sports IQ League 2025.xlsx
Championship,Sutton Deez Nuts,1,86.08,53,1934.18,11-3-0,Sh1tting on Laporta potty ,6,190.12,21,1785.82,7-7-0,Sh1tting on Laporta potty ,2025,The Mike Daisy Sports IQ League,The Mike Daisy Sports IQ League 2025.xlsx
Semi Final,Trestleches,1,217.78,40,2230.78,10-4-0,Did I Set My Lineup?,4,227.62,-3,1886.46,7-7-0,Did I Set My Lineup?,2023,Turf On Grade 2.0,Turf On Grade 2.0 2023.xlsx
Semi Final,Team Date,2,310.22,22,1962.36,9-5-0,#18 gridIRON Reinforcements,3,281.42,-33,1836.82,8-6-0,Team Date,2023,Turf On Grade 2.0,Turf On Grade 2.0 2023.xlsx
Championship,Did I Set My Lineup?,4,232.48,-2,1886.46,7-7-0,Team Date,2,291.08,27,1962.36,9-5-0,Team Date,2023,Turf On Grade 2.0,Turf On Grade 2.0 2023.xlsx
Semi Final,Django Achane'd,1,269.18,26,1832.8,10-4-0,Control Machete,4,272.04,29,1780.64,8-6-0,Control Machete,2024,Turf On Grade 2.0,Turf On Grade 2.0 2024.xlsx
Semi Final,Trestleches,2,361.04,52,1859.26,9-5-0,OAC PADS,3,254.4,-46,1473.82,9-5-0,Trestleches,2024,Turf On Grade 2.0,Turf On Grade 2.0 2024.xlsx
Championship,Control Machete,4,291.96,35,1780.64,8-6-0,Trestleches,2,236.9,55,1859.26,9-5-0,Control Machete,2024,Turf On Grade 2.0,Turf On Grade 2.0 2024.xlsx
