Round,Team 1,Seed 1,Score 1,LPI 1,Total Points 1,Record 1,Team 2,Seed 2,Score 2,LPI 2,Total Points 2,Record 2,Winner,Year,League,File Name
Quarter Final,"Bad, Bad, A.J. Brown",3,126.18,10,1870.52,10-5-0,Team Schottler,6,117.88,-12,1742.34,7-7-1,"Bad, Bad, A.J. Brown",2025,BP- Loudoun 2025,BP- Loudoun 2025 2025.xlsx
Quarter Final,Yangblood Bravesheart,4,101.6,4,1850.86,9-6-0,Trash Panda Express,5,116.94,0,1860.06,8-6-1,Trash Panda Express,2025,BP- Loudoun 2025,BP- Loudoun 2025 2025.xlsx
Semi Final,At Risk of CTE,1,194.72,47,1941.22,11-4-0,Trash Panda Express,5,125.42,7,1860.06,8-6-1,At Risk of CTE,2025,BP- Loudoun 2025,BP- Loudoun 2025 2025.xlsx
Semi Final,Foxes Hopefuls,2,111.1,36,1930.44,11-4-0,"Bad, Bad, A.J. Brown",3,123.36,10,1870.52,10-5-0,"Bad, Bad, A.J. Brown",2025,BP- Loudoun 2025,BP- Loudoun 2025 2025.xlsx
Championship,At Risk of CTE,1,157.4,55,1941.22,11-4-0,"Bad, Bad, A.J. Brown",3,113.16,16,1870.52,10-5-0,At Risk of CTE,2025,BP- Loudoun 2025,BP- Loudoun 2025 2025.xlsx
Quarter Final,Killler jatt ,1,102.6,4,1640.04,11-3-0,Bye,-,-,-,-,-,Killler jatt ,2023,Brown Munde,Brown Munde 2023.xlsx
Quarter Final,Still Rollin',2,99.04,31,1706.28,10-4-0,Bye,-,-,-,-,-,Still Rollin',2023,Brown Munde,Brown Munde 2023.xlsx
Quarter Final,Team Padodara,3,130.56,34,1632.56,9-5-0,Eks Gonna Give It To Ya!,6,117.22,-7,1587.9,7-7-0,Team Padodara,2023,Brown Munde,Brown Munde 2023.xlsx
Quarter Final,NoHalfSends,4,102.22,34,1653.76,8-6-0,Green,5,99.22,-13,1478.98,8-6-0,NoHalfSends,2023,Brown Munde,Brown Munde 2023.xlsx
Semi Final,Killler jatt ,1,90.48,-1,1640.04,11-3-0,NoHalfSends,4,113.64,31,1653.76,8-6-0,NoHalfSends,2023,Brown Munde,Brown Munde 2023.xlsx
Semi Final,Still Rollin',2,164.58,38,1706.28,10-4-0,Team Padodara,3,148.36,38,1632.56,9-5-0,Still Rollin',2023,Brown Munde,Brown Munde 2023.xlsx
